N	2gram	Propp_Isto_6	Problemy
1	и в	26	43
2	и не	10	29
3	т е	22	26
4	может быть	11	23
5	как бы	4	22
6	не может	6	18
7	но и	9	14
8	как и	5	14
9	и т	10	13
10	в этом	12	13
11	что он	9	13
12	в нем	8	12
13	в одном	3	12
14	не в	3	11
15	не только	10	11
16	прежде всего	4	10
17	и на	12	10
18	но в	7	10
19	в его	5	10
20	как мы	4	10
21	никогда не	13	9
22	еще не	9	9
23	он не	2	9
24	то же	5	8
25	и его	7	8
26	или в	3	8
27	перед нами	2	7
28	до сих	4	7
29	и сам	2	7
30	в него	3	7
31	к себе	2	7
32	в то	5	7
33	то что	6	7
34	сих пор	4	7
35	что же	2	7
36	а не	2	7
37	в этих	2	6
38	в том	12	6
39	при этом	3	6
40	и наконец	3	6
41	у него	7	6
42	здесь не	2	6
43	на то	2	5
44	так что	3	5
45	нам кажется	2	5
46	по отношению	2	5
47	таким образом	12	5
48	все эти	8	5
49	а в	3	5
50	и с	6	5
51	но здесь	4	5
52	вовсе не	2	5
53	о том	7	5
54	но не	2	5
55	было бы	2	5
56	и что	5	5
57	отношению к	2	5
58	и он	4	5
59	в себе	3	5
60	что в	12	4
61	в своем	2	4
62	с другой	10	4
63	к тому	2	4
64	но это	4	4
65	т д	8	4
66	их в	3	4
67	но он	2	4
68	человека в	2	4
69	так как	18	4
70	или как	2	4
71	с его	4	4
72	с собой	2	4
73	в них	3	4
74	в своей	3	4
75	и до	2	4
76	но эти	2	4
77	там где	5	4
78	мы не	6	4
79	только в	5	4
80	далеко не	3	4
81	и это	8	4
82	же не	2	4
83	там в	3	3
84	должна быть	3	3
85	это не	4	3
86	в одной	2	3
87	есть и	4	3
88	он был	2	3
89	такой же	3	3
90	в последнем	2	3
91	кроме того	3	3
92	но для	2	3
93	здесь нет	2	3
94	образом и	2	3
95	и только	3	3
96	в одно	2	3
97	героя в	2	3
98	он и	2	3
99	его в	5	3
100	с ним	8	3
101	но при	2	3
102	если бы	3	3
103	стороны и	2	3
104	того же	2	3
105	она не	3	3
106	кажется что	2	3
107	мы уже	6	3
108	когда он	3	3
109	даже в	2	3
110	что и	4	3
111	все же	8	3
112	него в	2	3
113	на него	2	3
114	так и	5	3
115	уже не	7	3
116	другой стороны	8	3
117	можно было	2	3
118	ничего не	2	3
119	тем что	5	3
120	в виде	6	3
121	могут быть	3	3
122	и ее	3	3
123	и этим	5	3
124	в эту	2	3
125	например у	3	2
126	что у	2	2
127	но так	3	2
128	та же	3	2
129	из этих	4	2
130	в образе	10	2
131	вопрос о	3	2
132	для нас	2	2
133	ни в	2	2
134	и как	2	2
135	но все	2	2
136	из его	2	2
137	что это	2	2
138	например в	7	2
139	ту же	2	2
140	время как	3	2
141	и др	2	2
142	то это	5	2
143	на том	8	2
144	в форме	2	2
145	меня и	3	2
146	целый ряд	2	2
147	отличается от	2	2
148	то и	2	2
149	здесь мы	4	2
150	того что	2	2
151	так же	2	2
152	мы наблюдали	3	2
153	с ними	2	2
154	в своих	3	2
155	в которых	2	2
156	сказать что	3	2
157	известно что	2	2
158	как он	6	2
159	во всяком	2	2
160	это место	2	2
161	превращается в	7	2
162	с этим	2	2
163	у нас	5	2
164	одна из	2	2
165	то время	3	2
166	не есть	2	2
167	и соответствующие	2	2
168	ее в	6	2
169	как в	6	2
170	а с	2	2
171	и они	2	2
172	том что	10	2
173	что не	2	2
174	должны быть	2	2
175	и эта	3	2
176	почти всегда	3	2
177	что этот	2	2
178	и то	3	2
179	мы можем	7	2
180	того как	3	2
