N	2gram	Losev_Vesc_1	Analitik
1	не только	36	22
2	и в	21	18
3	как и	8	14
4	так и	3	14
5	в этом	4	14
6	но и	18	13
7	и его	2	13
8	том что	8	12
9	и не	29	12
10	а в	4	10
11	как бы	12	10
12	может быть	16	9
13	со стороны	5	9
14	что в	9	9
15	а не	19	9
16	в том	8	9
17	в первой	2	8
18	и даже	6	8
19	не случайно	2	8
20	с другой	6	7
21	но не	5	7
22	в его	2	7
23	как раз	9	7
24	к тому	3	6
25	не в	5	6
26	для него	4	6
27	еще не	8	6
28	в этой	3	6
29	о том	6	6
30	никогда не	2	5
31	в конце	2	5
32	прежде всего	9	5
33	в свою	4	5
34	того же	5	5
35	в самом	9	5
36	что и	3	5
37	другой стороны	2	5
38	в сущности	4	5
39	уже не	9	5
40	той же	2	5
41	в слове	2	5
42	в результате	3	5
43	мы имеем	7	5
44	я в	2	5
45	не менее	3	4
46	перед нами	2	4
47	отнюдь не	5	4
48	в своем	6	4
49	по крайней	4	4
50	в одном	2	4
51	по себе	13	4
52	можно сказать	6	4
53	и как	8	4
54	себя в	10	4
55	свою очередь	4	4
56	во втором	2	4
57	имеем дело	3	4
58	и а	2	4
59	не есть	49	4
60	крайней мере	4	4
61	все же	4	4
62	а и	9	4
63	таким образом	8	4
64	в данном	5	4
65	и без	3	3
66	в ее	7	3
67	и того	2	3
68	что они	6	3
69	было бы	14	3
70	только не	2	3
71	той или	2	3
72	с ее	6	3
73	не будет	12	3
74	дело не	2	3
75	данном случае	2	3
76	все это	5	3
77	то же	6	3
78	еще и	8	3
79	что не	5	3
80	мы не	6	3
81	ничего не	3	3
82	с этим	3	3
83	точки зрения	5	3
84	подобно тому	4	3
85	говорить о	6	3
86	в то	3	3
87	его в	2	3
88	как это	2	3
89	я и	6	3
90	сама по	3	2
91	бы и	5	2
92	все эти	3	2
93	а вот	3	2
94	это не	5	2
95	и от	3	2
96	в жизни	3	2
97	с нею	18	2
98	в нем	2	2
99	есть не	14	2
100	и ее	18	2
101	тем не	3	2
102	да и	3	2
103	в имени	15	2
104	то в	4	2
105	с самим	4	2
106	одна из	5	2
107	с тем	5	2
108	не предполагает	4	2
109	одной стороны	3	2
110	это и	6	2
111	совершенно не	5	2
112	по преимуществу	2	2
113	хотя и	4	2
114	в ней	12	2
115	об этом	3	2
116	от его	2	2
117	и потому	5	2
118	свое время	2	2
119	всяком случае	2	2
120	по своей	2	2
121	только к	2	2
122	один из	3	2
123	не с	7	2
124	то что	27	2
125	в первом	2	2
126	во всех	2	2
127	со мною	2	2
128	нам не	2	2
129	что она	15	2
130	не может	17	2
131	как к	4	2
132	с одной	3	2
133	но с	2	2
134	в себя	13	2
135	и вот	2	2
136	о которой	2	2
137	сводится к	2	2
138	в той	3	2
139	самом деле	4	2
140	с точки	3	2
141	и для	9	2
142	тому как	4	2
143	сказать что	17	2
144	во всяком	3	2
145	мы можем	4	2
146	тем что	2	2
147	на меня	3	2
148	в себе	14	2
149	и здесь	4	2
150	могла бы	3	2
151	что мы	14	2
152	только в	14	2
153	ними в	2	2
154	и все	5	2
155	в свое	2	2
156	дело в	4	2
157	когда мы	6	2
158	но в	5	2
