N	2gram	Savitsky_E_1	Psycholo
1	и в	37	38
2	то что	6	35
3	в том	11	25
4	в самом	4	25
5	что в	21	20
6	может быть	6	19
7	и что	2	18
8	на то	6	16
9	точки зрения	23	16
10	в ней	4	15
11	то есть	6	15
12	если бы	2	14
13	том что	6	14
14	как бы	6	14
15	потому что	3	14
16	в этой	2	13
17	и мы	3	13
18	в этом	12	13
19	мы видим	2	12
20	было бы	8	12
21	не только	18	12
22	таким образом	2	12
23	не в	5	12
24	что это	2	10
25	то же	15	10
26	и не	14	10
27	и все	2	10
28	с точки	17	9
29	того чтобы	6	9
30	с тем	3	8
31	с этим	2	8
32	в одном	2	8
33	вовсе не	6	8
34	для нас	4	8
35	как и	7	8
36	и как	2	8
37	для того	6	8
38	и то	2	8
39	с другой	7	7
40	в ее	8	7
41	а не	2	7
42	мы можем	3	7
43	не может	9	7
44	как мы	5	7
45	а в	2	7
46	заключается в	2	7
47	между тем	8	7
48	из них	3	6
49	с и	10	6
50	к тому	8	6
51	мы видели	3	6
52	она не	2	6
53	бы совершенно	2	6
54	и если	2	6
55	в котором	2	6
56	не имеет	4	6
57	он не	2	6
58	с одной	8	6
59	так как	7	6
60	как это	4	6
61	и на	6	6
62	в которых	3	6
63	о том	3	6
64	там где	3	6
65	должна быть	2	5
66	в своем	14	5
67	в какой	2	5
68	одной стороны	8	5
69	несмотря на	4	5
70	иначе говоря	2	5
71	в своей	8	5
72	время в	3	5
73	вместе с	2	5
74	но и	14	5
75	другой стороны	2	5
76	в той	5	5
77	к которым	5	5
78	или в	2	5
79	мы не	4	5
80	в его	2	5
81	которую мы	5	4
82	что если	2	4
83	никогда не	3	4
84	идет о	3	4
85	в свою	3	4
86	по своему	7	4
87	не можем	2	4
88	когда он	3	4
89	и для	3	4
90	во всех	6	4
91	но если	5	4
92	что и	3	4
93	ее в	3	4
94	как в	3	4
95	в течение	5	4
96	при помощи	2	4
97	того что	7	4
98	и даже	6	4
99	в своих	2	4
100	сказать что	4	4
101	только в	9	4
102	что эти	2	4
103	как будто	2	4
104	в себе	9	4
105	место в	3	3
106	как на	3	3
107	в них	3	3
108	что все	2	3
109	главным образом	2	3
110	и к	3	3
111	она в	3	3
112	того же	3	3
113	наряду с	2	3
114	наше внимание	2	3
115	и этот	2	3
116	не к	2	3
117	и только	3	3
118	в таком	3	3
119	к ним	3	3
120	и тем	3	3
121	из всех	3	3
122	тем что	3	3
123	далеко не	2	3
124	в то	16	3
125	бы в	2	3
126	но в	14	3
127	в общем	3	2
128	в данном	3	2
129	не могут	2	2
130	и более	2	2
131	и та	2	2
132	все более	9	2
133	в этих	2	2
134	отнюдь не	9	2
135	между собой	2	2
136	хотя бы	15	2
137	столь же	5	2
138	с этой	6	2
139	и во	2	2
140	во всяком	3	2
141	утверждать что	2	2
142	же в	2	2
143	как же	2	2
144	в силу	2	2
145	такой же	2	2
146	есть в	2	2
147	свою очередь	2	2
148	очевидно что	3	2
149	или вернее	2	2
150	ли это	3	2
151	совершенно прав	2	2
152	тем в	3	2
153	по преимуществу	2	2
154	к ней	4	2
155	всяком случае	3	2
156	можем сказать	2	2
157	в известных	2	2
158	все другие	2	2
159	данном случае	2	2
160	со стороны	5	2
161	говорит о	3	2
162	всех прочих	2	2
163	имеет место	2	2
164	что же	2	2
165	целый ряд	2	2
166	так же	9	2
167	в виде	5	2
168	не более	3	2
169	и наконец	2	2
170	и по	5	2
171	думать что	8	2
172	в качестве	14	2
173	и чем	2	2
174	представляет собой	3	2
175	но как	2	2
176	в истории	2	2
177	заметить что	2	2
178	в эту	2	2
