N	3gram	Bakhtin_sl_2	Freidism
1	с точки зрения	3	11
2	по отношению к	4	8
3	во всяком случае	2	7
4	не может быть	15	7
5	в большинстве случаев	5	5
6	то же время	4	4
7	в то же	4	4
8	в зависимости от	4	4
9	как мы уже	2	4
10	в свою очередь	2	3
11	в собственном смысле	3	3
12	для того чтобы	2	3
13	во всех областях	4	2
14	в узком смысле	4	2
15	ни в чем	2	2
16	так и в	3	2
17	не могут быть	2	2
18	с одной стороны	5	2
19	в отличие от	12	2
20	в чем не	2	2
21	в этом отношении	3	2
22	может быть и	2	2
23	до сих пор	2	2
24	но в то	3	2
