N	2gram	Bakhtin_KF_1	Problemy
1	и в	24	43
2	и не	26	29
3	может быть	45	23
4	как бы	9	22
5	не может	27	18
6	но и	9	14
7	как и	5	14
8	точки зрения	12	13
9	в этом	14	13
10	что он	2	13
11	слова в	2	12
12	в нем	28	12
13	в одном	4	12
14	в каждом	3	11
15	не в	12	11
16	по себе	2	11
17	не только	5	11
18	прежде всего	2	10
19	и на	3	10
20	но в	5	10
21	в его	40	10
22	никогда не	5	9
23	еще не	4	9
24	он не	6	9
25	для него	8	8
26	лишь в	8	8
27	то же	5	8
28	слово не	3	8
29	с точки	9	8
30	и его	17	8
31	в него	2	7
32	к себе	2	7
33	в то	3	7
34	то что	7	7
35	а не	17	7
36	в другом	3	7
37	в том	6	6
38	при этом	4	6
39	в котором	24	6
40	и все	7	6
41	не как	4	6
42	что я	5	6
43	о нем	4	6
44	здесь не	3	6
45	же время	2	5
46	к нему	12	5
47	все это	10	5
48	по отношению	26	5
49	все эти	10	5
50	а в	4	5
51	рядом с	3	5
52	но ведь	5	5
53	но здесь	3	5
54	вовсе не	7	5
55	о том	3	5
56	но не	12	5
57	было бы	8	5
58	отношению к	22	5
59	самом деле	3	5
60	в себе	21	5
61	я не	6	4
62	что в	4	4
63	в своем	16	4
64	до конца	3	4
65	но это	6	4
66	себе и	3	4
67	должно быть	6	4
68	или как	2	4
69	а как	2	4
70	как его	4	4
71	совершенно не	6	4
72	в своей	10	4
73	во всех	11	4
74	там где	5	4
75	мы не	3	4
76	только в	16	4
77	и это	12	4
78	не менее	3	3
79	должна быть	4	3
80	себя и	2	3
81	это не	10	3
82	или иной	2	3
83	но для	2	3
84	той или	3	3
85	в виду	3	3
86	здесь нет	2	3
87	и их	6	3
88	в их	8	3
89	и только	6	3
90	он и	2	3
91	и здесь	7	3
92	во всем	7	3
93	его в	5	3
94	с ним	5	3
95	себя как	2	3
96	между тем	4	3
97	в жизни	2	3
98	и свой	2	3
99	сознания и	3	3
100	если бы	8	3
101	в единстве	7	3
102	не знает	5	3
103	даны в	2	3
104	со всеми	2	3
105	кажется что	2	3
106	что и	7	3
107	все же	5	3
108	себя в	8	3
109	так и	2	3
110	в себя	7	3
111	уже не	7	3
112	и для	9	3
113	ничего не	3	3
114	тем что	3	3
115	в виде	2	3
116	могут быть	3	3
117	и ее	2	3
118	для другого	2	3
119	и этим	3	3
120	а лишь	3	2
121	с человеком	3	2
122	его и	2	2
123	та же	2	2
124	вопрос о	2	2
125	его к	2	2
126	тем не	2	2
127	для нас	4	2
128	ни в	12	2
129	себе а	2	2
130	и как	2	2
131	но все	5	2
132	из его	3	2
133	лишь как	2	2
134	времени и	4	2
135	мы здесь	2	2
136	что это	3	2
137	в целом	10	2
138	отношение к	5	2
139	меня и	3	2
140	для этого	2	2
141	но эта	5	2
142	здесь мы	4	2
143	не проникает	5	2
144	того что	3	2
145	чтобы не	2	2
146	с ними	3	2
147	в своих	3	2
148	в категориях	4	2
149	я и	2	2
150	ни было	4	2
151	и та	2	2
152	раз и	2	2
153	этом смысле	3	2
154	быть в	4	2
155	конечно в	2	2
156	но конечно	3	2
157	его жизни	3	2
158	по своему	3	2
159	не нужно	2	2
160	себе как	2	2
161	бы он	2	2
162	конечно не	7	2
163	не могу	3	2
164	этого слова	2	2
165	для себя	5	2
166	есть я	3	2
167	не есть	20	2
168	и пр	3	2
169	дело в	2	2
170	в процессе	2	2
171	быть и	3	2
172	момент его	8	2
173	бы и	3	2
174	как в	2	2
175	входит в	3	2
176	а с	2	2
177	еще более	2	2
178	том что	4	2
179	что не	3	2
180	и эта	2	2
181	хотя бы	4	2
182	что этот	3	2
183	и то	2	2
184	отношении к	2	2
185	бы не	3	2
186	автора как	2	2
