N	3gram	Bakhtin_sl_2	Marksizm
1	передачи чужой речи	8	24
2	с точки зрения	3	13
3	не может быть	15	10
4	то же время	4	8
5	в то же	4	8
6	по отношению к	4	8
7	в связи с	2	7
8	в том что	4	6
9	для того чтобы	2	6
10	в свою очередь	2	5
11	в большинстве случаев	5	5
12	может быть и	2	5
13	но в то	3	5
14	той или иной	5	4
15	в точном смысле	2	4
16	форм передачи чужой	2	4
17	в отношении к	4	4
18	в той или	3	3
19	как мы сказали	2	3
20	с одной стороны	5	3
21	как мы уже	2	3
22	в отличие от	12	3
23	до сих пор	2	3
24	или иной степени	3	2
25	в узком смысле	4	2
26	более или менее	2	2
27	в собственном смысле	3	2
28	в зависимости от	4	2
29	в значительной степени	6	2
30	во всяком случае	2	2
31	одной стороны и	3	2
