N	2gram	Propp_Morf_1	Analitik
1	в качестве	5	31
2	может быть	52	29
3	в том	6	27
4	не может	14	22
5	и не	12	21
6	в частности	2	19
7	и в	13	18
8	а не	11	17
9	но и	4	17
10	представляет собой	17	16
11	не только	4	15
12	тогда как	2	14
13	не в	3	14
14	как и	3	13
15	в этом	14	13
16	том что	4	12
17	состоит в	2	11
18	но не	4	10
19	то же	7	9
20	а в	7	9
21	в то	3	9
22	но в	2	8
23	к тому	4	7
24	это не	6	6
25	прежде всего	9	6
26	в сущности	3	6
27	далеко не	5	6
28	то что	8	6
29	по отношению	4	6
30	точки зрения	2	6
31	только в	2	6
32	мы имеем	9	6
33	и как	5	5
34	в этой	2	5
35	что в	8	5
36	как бы	3	5
37	отношению к	4	5
38	в целом	3	5
39	между тем	5	5
40	о том	2	5
41	на вопрос	2	4
42	того что	3	4
43	могут быть	16	4
44	себя и	2	4
45	с другой	8	4
46	не всегда	9	4
47	для того	2	4
48	не с	2	4
49	все же	7	4
50	так и	6	4
51	уже не	2	4
52	ни было	2	4
53	из которых	3	4
54	с точки	2	4
55	в другом	2	4
56	не могут	4	3
57	с его	2	3
58	и есть	2	3
59	однако в	2	3
60	в нашем	3	3
61	то ни	3	3
62	хотя бы	4	3
63	в собственном	3	3
64	и к	4	3
65	в ходе	4	3
66	что он	4	3
67	и т	41	3
68	еще не	3	3
69	означает что	2	3
70	никто не	3	3
71	он не	3	3
72	если в	5	3
73	дело не	2	3
74	что и	7	3
75	бы то	3	3
76	таким образом	21	3
77	а с	2	3
78	того чтобы	3	3
79	к нему	3	3
80	тому как	5	3
81	подобно тому	6	3
82	могла бы	4	3
83	как будто	2	3
84	что мы	2	3
85	а также	4	3
86	оно может	3	3
87	если бы	2	3
88	одному из	3	2
89	все эти	2	2
90	его и	2	2
91	между собой	4	2
92	в какой	3	2
93	первом случае	3	2
94	не является	3	2
95	к месту	2	2
96	представляет собою	6	2
97	вовсе не	4	2
98	вопрос о	7	2
99	как уже	2	2
100	можно сказать	2	2
101	в начале	3	2
102	то в	3	2
103	в пределах	3	2
104	или не	3	2
105	случае не	3	2
106	было бы	3	2
107	несмотря на	4	2
108	на его	4	2
109	в свое	2	2
110	не все	6	2
111	один из	5	2
112	представляют собой	11	2
113	он может	2	2
114	из них	3	2
115	со стороны	3	2
116	что же	2	2
117	который в	2	2
118	другой стороны	4	2
119	здесь не	2	2
120	на этом	3	2
121	на самом	4	2
122	самом деле	4	2
123	и по	2	2
124	как мы	6	2
125	также и	4	2
126	героя в	4	2
127	с двумя	2	2
128	см ниже	2	2
129	при помощи	9	2
130	в первом	3	2
131	так как	16	2
132	потому что	3	2
133	в которой	3	2
