N	2gram	Tiupa_Hudo_2	Russkaja
1	не может	4	22
2	и не	18	19
3	в том	15	17
4	в этом	13	17
5	и в	28	14
6	то что	6	13
7	то же	6	11
8	точки зрения	2	11
9	же время	4	10
10	но и	9	10
11	в то	6	10
12	том что	19	9
13	не только	11	9
14	в себе	9	9
15	с точки	2	9
16	может быть	8	9
17	прежде всего	3	8
18	того чтобы	4	8
19	как на	2	8
20	отнюдь не	2	7
21	к тому	7	7
22	не будет	2	7
23	самом деле	3	7
24	в данном	2	7
25	о том	12	7
26	и с	6	7
27	если бы	6	6
28	что он	8	6
29	и к	2	6
30	для него	5	6
31	для того	4	6
32	если в	2	6
33	все это	3	6
34	в своем	5	6
35	и для	2	6
36	себя и	2	5
37	жизни в	7	5
38	хотя бы	2	5
39	и на	3	5
40	или иной	2	5
41	при этом	11	5
42	до сих	2	5
43	было бы	3	5
44	в своей	6	5
45	он не	4	5
46	никогда не	5	5
47	в нем	3	5
48	сих пор	2	5
49	а между	4	5
50	и только	2	5
51	а в	6	5
52	потому что	2	5
53	только в	4	5
54	между тем	8	5
55	но не	4	4
56	что в	5	4
57	в мире	7	4
58	как и	11	4
59	все что	3	4
60	он будет	2	4
61	как бы	5	4
62	все же	2	4
63	себя в	8	4
64	жизни и	6	4
65	вместе с	2	4
66	со стороны	3	4
67	что же	2	4
68	приводит к	2	4
69	не в	13	4
70	можно было	3	4
71	и то	2	4
72	в этой	5	4
73	в его	11	4
74	и т.д	2	4
75	его в	2	4
76	он сам	2	3
77	что это	5	3
78	именно в	2	3
79	из этих	2	3
80	что все	3	3
81	с нею	3	3
82	о которых	2	3
83	да и	5	3
84	в другом	2	3
85	то в	4	3
86	лишь в	2	3
87	что они	4	3
88	в качестве	4	3
89	ибо в	2	3
90	еще не	3	3
91	несмотря на	3	3
92	в самом	5	3
93	одной из	3	3
94	что и	4	3
95	и т	4	3
96	из них	2	3
97	все они	3	3
98	данном случае	2	3
99	не было	6	3
100	сводится к	6	3
101	или в	3	3
102	приходит к	2	3
103	тем что	6	3
104	в виде	2	3
105	говорить о	2	3
106	она может	2	3
107	одна из	2	3
108	место в	2	2
109	только для	2	2
110	а с	3	2
111	в частности	7	2
112	у него	5	2
113	его и	2	2
114	и от	2	2
115	к той	2	2
116	к себе	3	2
117	состоит в	7	2
118	или иного	2	2
119	уже не	10	2
120	именно на	2	2
121	есть и	3	2
122	она не	5	2
123	и о	4	2
124	в ней	3	2
125	в котором	6	2
126	для нее	4	2
127	для себя	6	2
128	этом и	3	2
129	для нас	3	2
130	противоречие с	3	2
131	и тогда	2	2
132	тому что	4	2
133	по отношению	7	2
134	тогда как	7	2
135	и состоит	3	2
136	только на	5	2
137	тем самым	2	2
138	а не	14	2
139	к нему	3	2
140	так же	3	2
141	в других	4	2
142	в глазах	6	2
143	на себя	3	2
144	с самим	2	2
145	мы уже	3	2
146	того или	2	2
147	как будто	4	2
148	в этих	3	2
149	с ним	7	2
150	но в	2	2
151	любви к	2	2
