N	3gram	Tiupa_Hudo_1	KulturaY
1	и т п	8	18
2	в том что	6	15
3	и т д	3	14
4	с точки зрения	3	9
5	по отношению к	8	8
6	в самом деле	4	7
7	только потому что	2	6
8	в этом отношении	3	5
9	о том что	9	5
10	до сих пор	2	4
11	что же касается	2	4
12	не в том	2	4
13	тем не менее	3	4
14	только в том	2	3
15	можно было бы	4	3
16	о том как	2	3
17	в связи с	3	3
18	не может быть	2	3
19	того или иного	2	3
20	в первую очередь	2	2
21	то же время	8	2
22	к тому что	4	2
23	и в самом	3	2
24	на то что	2	2
25	в то же	8	2
26	речь идет о	2	2
27	так или иначе	2	2
