N	2gram	Propp_Russ_1	formyVre
1	и в	36	50
2	то есть	3	33
3	в этом	12	25
4	в нем	2	24
5	и не	6	14
6	как мы	10	14
7	в его	2	13
8	по существу	4	12
9	так и	7	12
10	может быть	8	11
11	таким образом	6	11
12	то же	3	11
13	и как	2	10
14	но в	2	10
15	в том	17	9
16	и др	4	9
17	в особенности	2	9
18	все эти	2	9
19	в других	11	9
20	не только	22	9
21	ничего не	3	9
22	и т	10	8
23	и их	4	8
24	но и	16	8
25	и на	10	8
26	как и	10	8
27	не было	2	7
28	это время	2	7
29	все же	5	6
30	в частности	2	6
31	это не	10	6
32	в дальнейшем	2	6
33	например в	2	6
34	в их	4	6
35	не может	4	6
36	так же	3	6
37	так как	15	6
38	у него	2	6
39	с этим	2	6
40	в жизни	2	6
41	связи с	4	6
42	во всех	4	6
43	то что	6	6
44	как в	5	6
45	между двумя	2	6
46	что в	19	5
47	и другие	13	5
48	в образе	2	5
49	и до	2	5
50	в связи	4	5
51	в разных	3	5
52	точки зрения	3	5
53	всех этих	2	5
54	но все	3	5
55	отнюдь не	2	5
56	но не	2	5
57	еще не	4	5
58	в основном	3	5
59	и у	5	5
60	могут быть	2	5
61	в своем	3	4
62	чтобы они	2	4
63	до конца	2	4
64	на этой	2	4
65	все это	6	4
66	не имеет	6	4
67	потому что	10	4
68	и с	2	4
69	в ней	2	4
70	между собой	2	4
71	в них	6	4
72	том что	19	4
73	и для	2	4
74	только в	4	4
75	себя и	2	3
76	в этих	3	3
77	к тому	4	3
78	связаны с	3	3
79	с тем	8	3
80	при этом	6	3
81	имеет место	2	3
82	хотя и	2	3
83	один из	8	3
84	и других	7	3
85	а в	9	3
86	и те	3	3
87	их в	3	3
88	одно из	5	3
89	в одном	3	3
90	но они	3	3
91	для них	3	3
92	к этому	4	3
93	значение и	2	3
94	в качестве	3	3
95	и потому	2	3
96	что и	7	3
97	вместе с	10	3
98	только на	3	3
99	а не	2	3
100	мы не	6	3
101	мы видим	2	3
102	или в	2	3
103	входит в	4	3
104	существенного значения	2	2
105	в течение	5	2
106	в нашем	2	2
107	его и	2	2
108	для нас	6	2
109	его от	2	2
110	они были	2	2
111	их к	2	2
112	в свою	3	2
113	к жизни	3	2
114	в целом	2	2
115	в некоторых	4	2
116	природы и	2	2
117	как по	2	2
118	всякого рода	3	2
119	того что	4	2
120	и по	8	2
121	этого времени	2	2
122	к ним	3	2
123	в которых	5	2
124	в более	2	2
125	их и	3	2
126	мы должны	2	2
127	как он	2	2
128	с ним	2	2
129	в дом	2	2
130	друг к	2	2
131	к другому	2	2
132	в различных	2	2
133	и к	3	2
134	об этом	9	2
135	одна из	4	2
136	чем в	2	2
137	не были	2	2
138	в это	3	2
139	том же	2	2
140	так называемый	2	2
141	к ней	2	2
142	а также	3	2
143	в этот	10	2
144	но она	2	2
145	в честь	3	2
146	этого момента	3	2
147	и всей	2	2
148	к другу	2	2
149	как бы	5	2
150	быть и	2	2
151	связь между	2	2
152	уже не	6	2
153	а мы	2	2
154	с точки	3	2
155	тем что	4	2
156	на себя	2	2
157	далеко не	3	2
158	там где	2	2
