N	2gram	Nazirov_Tv_2	Analitik
1	тогда как	3	19
2	в этом	8	18
3	в частности	2	16
4	и в	20	16
5	не только	13	16
6	так и	6	15
7	как и	6	14
8	в том	8	12
9	своего рода	3	12
10	но и	8	12
11	и не	9	12
12	том что	4	12
13	могут быть	2	10
14	как бы	11	10
15	при этом	8	10
16	а не	6	10
17	и даже	5	9
18	в этой	5	9
19	ничего не	4	9
20	то есть	5	9
21	отнюдь не	4	8
22	в целом	6	8
23	не случайно	2	8
24	в себе	3	7
25	то что	3	7
26	особенно в	2	7
27	о том	5	7
28	с другой	2	6
29	в самом	3	6
30	в мире	5	6
31	и на	5	6
32	говорить о	2	6
33	может быть	8	6
34	но в	4	6
35	не менее	2	4
36	в конце	6	4
37	у него	6	4
38	уже не	3	4
39	тому же	2	4
40	не в	4	4
41	читателя в	5	4
42	но не	5	4
43	тем самым	4	4
44	для него	3	4
45	как правило	2	4
46	по преимуществу	2	4
47	отношению к	3	4
48	как в	4	4
49	все это	6	4
50	по отношению	3	4
51	не может	7	4
52	и его	9	4
53	то же	7	4
54	не так	2	4
55	хотя и	4	4
56	только в	2	4
57	казалось бы	3	3
58	место в	3	3
59	сюжета и	2	3
60	никогда не	11	3
61	как о	2	3
62	не столько	2	3
63	по крайней	2	3
64	прежде всего	8	3
65	что на	2	3
66	одной из	3	3
67	так что	2	3
68	и сам	5	3
69	крайней мере	2	3
70	и если	2	3
71	на его	4	3
72	из них	2	3
73	в первой	2	3
74	в их	3	3
75	приводит к	2	3
76	если бы	4	3
77	именно в	6	3
78	главного героя	3	3
79	а в	4	3
80	с ними	2	3
81	тем что	3	3
82	сводится к	2	3
83	едва ли	2	3
84	он же	2	2
85	или даже	2	2
86	в одном	2	2
87	к этому	3	2
88	вовсе не	2	2
89	а затем	3	2
90	отличие от	2	2
91	в соответствии	4	2
92	соответствии с	4	2
93	превращается в	3	2
94	же время	7	2
95	что в	7	2
96	так например	3	2
97	мы узнаем	2	2
98	еще не	5	2
99	о жизни	3	2
100	в своей	6	2
101	в котором	3	2
102	один из	3	2
103	себя в	2	2
104	в отличие	2	2
105	вместе с	3	2
106	на него	2	2
107	что она	4	2
108	ли не	2	2
109	другой стороны	2	2
110	здравого смысла	2	2
111	таким образом	10	2
112	но эта	2	2
113	на этот	2	2
114	и он	2	2
115	так же	5	2
116	роль в	2	2
117	в таком	3	2
118	между тем	3	2
119	он не	3	2
120	и м	2	2
121	в то	10	2
122	в его	10	2
123	его в	3	2
124	таком случае	2	2
125	в устах	2	2
126	с ним	3	2
127	же не	2	2
