N	2gram	Tiupa_Lite_3	Formalny
1	и не	22	30
2	и в	16	27
3	может быть	12	25
4	не может	8	24
5	так и	9	21
6	и его	6	19
7	в этом	14	18
8	а не	12	17
9	точки зрения	7	16
10	самом деле	3	16
11	в нем	2	15
12	то же	9	15
13	как и	5	14
14	с точки	3	14
15	не в	10	12
16	если бы	2	12
17	в самом	3	11
18	в жизни	8	11
19	художественное произведение	2	11
20	место в	4	10
21	но и	14	10
22	лишь в	5	9
23	не только	14	9
24	так же	2	9
25	что в	2	8
26	при этом	15	8
27	как бы	8	8
28	отнюдь не	3	8
29	то что	12	8
30	как раз	2	8
31	входит в	4	8
32	как мы	2	8
33	только в	7	8
34	не менее	2	7
35	в том	12	7
36	же время	7	7
37	потому что	3	7
38	в то	9	7
39	его в	2	7
40	между тем	3	7
41	художественного произведения	2	7
42	совершенно не	3	7
43	в его	6	7
44	там где	3	7
45	все время	3	6
46	с другой	6	6
47	в своих	2	6
48	но в	3	6
49	произведения в	3	6
50	что он	5	6
51	более того	3	6
52	еще не	6	6
53	было бы	2	6
54	все же	2	6
55	в своей	7	6
56	и для	4	6
57	в данном	4	6
58	и ее	2	6
59	вместе с	5	6
60	никогда не	4	5
61	ни было	2	5
62	того чтобы	2	5
63	другой стороны	2	5
64	в единстве	3	5
65	но не	4	5
66	и потому	2	5
67	тому как	3	5
68	тем что	2	5
69	связи с	2	5
70	то ни	2	4
71	прежде всего	3	4
72	к тому	6	4
73	и как	3	4
74	до конца	4	4
75	для того	2	4
76	бы то	2	4
77	в целом	5	4
78	жизни и	3	4
79	данном случае	4	4
80	со стороны	7	4
81	о том	6	4
82	как это	3	4
83	по себе	2	4
84	в ее	5	4
85	в романе	3	4
86	том что	8	4
87	как в	5	4
88	в слове	3	4
89	подобно тому	2	4
90	установка на	2	4
91	бы и	3	3
92	это не	5	3
93	в конце	2	3
94	вследствие этого	2	3
95	можно сказать	2	3
96	мы и	2	3
97	между людьми	2	3
98	того что	9	3
99	одним из	4	3
100	и тем	3	3
101	по отношению	4	3
102	той же	3	3
103	этом отношении	5	3
104	действительности в	2	3
105	и на	2	3
106	и с	2	3
107	в основе	5	3
108	он и	2	3
109	жизни в	4	3
110	у нас	2	3
111	того же	2	3
112	же самое	2	3
113	во всех	2	3
114	о нем	2	3
115	еще в	3	3
116	оно не	2	3
117	отношению к	4	3
118	время в	2	3
119	ее в	2	3
120	а и	2	3
121	уже не	3	3
122	в себе	6	3
123	в поэзии	5	3
124	в сторону	3	2
125	а на	2	2
126	или иной	2	2
127	в этой	8	2
128	художественного творчества	2	2
129	как о	2	2
130	из них	4	2
131	в нас	2	2
132	и только	2	2
133	отношения к	3	2
134	и даже	2	2
135	романа и	2	2
136	с его	6	2
137	сознания и	2	2
138	однако в	4	2
139	в стихах	6	2
140	не как	2	2
141	в реальное	2	2
142	к этому	2	2
143	стороны и	2	2
144	с ее	3	2
145	то в	3	2
146	так чтобы	2	2
147	и тогда	2	2
148	на жизнь	2	2
149	ни с	2	2
150	даже в	4	2
151	что и	2	2
152	но уже	3	2
153	в отличие	5	2
154	человека в	2	2
155	ориентировано на	2	2
156	быть только	2	2
157	здесь не	2	2
158	отличие от	5	2
159	в области	3	2
