N	2gram	Bakhtin_sl_1	NovoeSre
1	а не	15	17
2	не может	14	16
3	и в	41	16
4	и не	16	11
5	он не	3	8
6	в том	3	8
7	как и	4	7
8	в этом	12	7
9	может быть	14	7
10	с его	4	6
11	никогда не	3	6
12	не в	7	6
13	лишь в	4	6
14	в нем	30	5
15	все это	5	5
16	с ее	4	5
17	и к	5	5
18	в ней	4	5
19	не только	16	5
20	перестает быть	2	4
21	в них	6	4
22	это не	6	4
23	и все	4	4
24	не было	3	4
25	и для	4	4
26	должно быть	2	4
27	эпохи и	2	4
28	потому что	2	4
29	по своему	2	4
30	прежде всего	8	4
31	о том	3	4
32	и потому	4	4
33	но и	16	3
34	не есть	2	3
35	в своей	7	3
36	в истории	3	3
37	с другой	5	3
38	в духе	2	3
39	во всех	17	3
40	к тому	3	3
41	всех сферах	3	3
42	в ее	2	3
43	в основе	5	3
44	смысле слова	2	3
45	конечно не	3	3
46	как в	8	3
47	она не	3	3
48	еще не	4	3
49	за пределы	4	3
50	сказать что	2	3
51	что все	2	2
52	том и	2	2
53	на протяжении	2	2
54	все время	3	2
55	себя в	9	2
56	у него	3	2
57	все они	7	2
58	так и	11	2
59	и формы	4	2
60	другой стороны	4	2
61	формы и	3	2
62	и от	4	2
63	а в	6	2
64	с одной	4	2
65	все эти	9	2
66	уже не	2	2
67	роль в	2	2
68	одной стороны	4	2
69	и даже	6	2
70	от всякого	2	2
71	хотя бы	3	2
72	но не	2	2
73	так же	2	2
74	по существу	3	2
75	время как	2	2
76	мы не	2	2
77	том что	2	2
78	все категории	2	2
79	в смысле	4	2
80	можно было	2	2
81	связана с	2	2
82	же как	2	2
83	одна из	2	2
84	и с	4	2
85	могут быть	19	2
86	с этим	3	2
87	и на	14	2
88	в себе	3	2
89	в то	14	2
90	не могла	2	2
91	такого рода	2	2
92	xviii века	2	2
93	хотя и	2	2
94	но в	8	2
