N	3gram	Vygotskiy__4	Psycholo
1	в том что	31	9
2	с таким образом	3	8
3	на то что	4	8
4	в самом деле	6	7
5	о том что	3	7
6	в том чтобы	2	7
7	во всяком случае	3	6
8	заключается в том	14	6
9	с одной стороны	9	5
10	с другой стороны	8	5
11	этой точки зрения	4	5
12	подобно тому как	2	5
13	для того чтобы	5	5
14	так же как	5	4
15	с этой точки	4	4
16	одной и той	4	3
17	и той же	4	3
18	точно так же	3	3
19	в отличие от	2	3
20	только в том	2	3
21	в собственном смысле	7	3
22	не только не	5	3
23	в одинаковой мере	2	2
24	мы видим что	2	2
25	в противоречие с	2	2
26	смысле этого слова	7	2
27	с точки зрения	11	2
28	то же самое	7	2
29	мы видели что	2	2
30	в целом ряде	2	2
31	в этом отношении	7	2
32	состоит в том	3	2
33	в настоящее время	2	2
34	вместе с тем	3	2
35	в этом смысле	8	2
