N	2gram	Ircho_Kome_3	Problema
1	то что	4	42
2	вовсе не	4	35
3	и в	22	32
4	и не	21	31
5	не менее	5	19
6	в этом	8	19
7	тем не	3	18
8	не только	5	17
9	потому что	10	16
10	а не	4	15
11	в себе	4	15
12	как бы	3	14
13	может быть	6	14
14	но в	5	14
15	в нем	3	13
16	что мы	2	13
17	как раз	6	13
18	что в	5	12
19	том что	13	12
20	так и	4	12
21	и т	4	11
22	и даже	3	11
23	о том	8	11
24	так как	11	11
25	если мы	2	11
26	то же	7	10
27	прежде всего	5	10
28	в этой	3	10
29	отнюдь не	4	10
30	об этом	7	10
31	нет ничего	2	10
32	ничего не	3	10
33	в том	12	9
34	но и	4	9
35	и что	6	9
36	так же	4	9
37	же самое	3	9
38	по своему	3	9
39	еще не	6	9
40	того чтобы	6	9
41	в таком	2	9
42	и это	2	9
43	на то	3	8
44	не может	3	8
45	и о	2	8
46	и на	2	8
47	он и	2	8
48	было бы	3	8
49	в своей	5	8
50	для того	6	8
51	и ее	2	8
52	никогда не	3	7
53	ни в	10	7
54	все это	5	7
55	в них	3	7
56	и все	2	7
57	что он	8	7
58	во всех	2	7
59	как мы	2	7
60	во всяком	3	7
61	тем что	5	7
62	здесь не	2	7
63	в конце	7	6
64	так что	6	6
65	при этом	7	6
66	в самом	9	6
67	и если	2	6
68	хотя и	5	6
69	в виду	2	6
70	таким образом	12	6
71	это не	2	6
72	и здесь	4	6
73	говорить о	3	6
74	его в	8	6
75	как это	5	6
76	о чем	7	6
77	в то	6	6
78	совершенно не	2	6
79	за пределы	2	6
80	в его	8	6
81	самом деле	6	6
82	в своем	8	5
83	в котором	2	5
84	что она	4	5
85	с тем	4	5
86	не является	4	5
87	тем более	4	5
88	связи с	5	5
89	все равно	3	5
90	далеко не	3	5
91	в других	3	5
92	тому что	2	4
93	не в	4	4
94	один из	3	4
95	после этого	2	4
96	в их	2	4
97	для обозначения	2	4
98	не было	2	4
99	а в	7	4
100	их в	3	4
101	как он	3	4
102	конце концов	2	4
103	если бы	8	4
104	а также	2	4
105	как в	2	4
106	даже если	2	4
107	если не	3	4
108	и для	4	4
109	мы можем	3	4
110	в связи	4	4
111	только для	2	3
112	уже в	2	3
113	прежде чем	3	3
114	что не	3	3
115	в отношении	4	3
116	с другой	4	3
117	его от	2	3
118	что его	5	3
119	но все	4	3
120	что они	2	3
121	несмотря на	4	3
122	всяком случае	3	3
123	хотя бы	4	3
124	из них	5	3
125	другой стороны	2	3
126	и его	6	3
127	в которых	5	3
128	с этим	3	3
129	точки зрения	4	3
130	и еще	3	3
131	с ним	5	3
132	нисколько не	3	3
133	и во	2	3
134	ясно что	6	3
135	не хочет	5	3
136	в ее	3	3
137	как и	3	3
138	того же	6	3
139	до сих	9	3
140	к тому	6	3
141	он не	5	3
142	сих пор	9	3
143	на этот	3	3
144	к нему	5	3
145	с точки	3	3
146	можно было	2	3
147	что их	2	2
148	не могут	2	2
149	все время	2	2
150	само собой	4	2
151	этом случае	2	2
152	без всякого	2	2
153	на его	2	2
154	не о	3	2
155	но если	3	2
156	так или	2	2
157	в комедии	10	2
158	здесь нет	4	2
159	не имеет	3	2
160	что для	2	2
161	в результате	2	2
162	больше чем	2	2
163	и с	4	2
164	не как	2	2
165	известной степени	2	2
166	между тем	2	2
167	том как	3	2
168	что ни	3	2
169	с его	3	2
170	однако в	4	2
171	сразу же	4	2
172	не мешает	2	2
173	о его	2	2
174	меньше всего	4	2
175	по существу	2	2
176	в качестве	2	2
177	она не	2	2
178	в сущности	2	2
179	о любви	2	2
180	нет и	4	2
181	и особенно	2	2
182	не будет	2	2
183	вместе с	9	2
184	только что	7	2
185	что к	4	2
186	мы не	2	2
187	или иначе	2	2
188	с другими	2	2
189	на себя	4	2
190	едва ли	7	2
191	в которой	3	2
192	в области	2	2
193	этот раз	2	2
