N	2gram	Voloshinov_1	Tragedij
1	и в	12	18
2	в этом	4	9
3	не только	4	8
4	и не	10	7
5	и на	4	7
6	и с	3	7
7	может быть	14	7
8	как бы	13	7
9	и его	13	6
10	но в	5	6
11	все же	4	5
12	так и	4	5
13	это не	2	5
14	не может	16	5
15	то же	5	5
16	как и	5	5
17	в то	2	5
18	но и	3	4
19	то что	5	4
20	что в	2	4
21	все это	3	4
22	прежде всего	8	4
23	и все	2	4
24	в нем	6	4
25	так же	3	4
26	том что	5	4
27	но это	2	4
28	и что	2	4
29	в себе	3	4
30	еще не	3	4
31	уже в	2	3
32	отнюдь не	5	3
33	в своем	2	3
34	как в	5	3
35	все эти	3	3
36	к нему	4	3
37	в основном	2	3
38	в его	2	3
39	для него	3	3
40	при этом	6	3
41	как это	2	3
42	с ним	3	3
43	что и	2	2
44	в душе	2	2
45	как же	2	2
46	данном случае	2	2
47	уже не	4	2
48	с его	2	2
49	вместе со	2	2
50	отношение к	4	2
51	не так	2	2
52	и здесь	2	2
53	ни в	3	2
54	в том	6	2
55	до конца	2	2
56	но все	2	2
57	не в	4	2
58	в данном	2	2
59	и то	2	2
60	и ее	3	2
61	еще раз	2	2
62	жизнью и	2	2
63	о том	3	2
64	его в	4	2
65	в самом	4	2
66	ничего не	2	2
67	он не	2	2
68	никогда не	5	2
69	имеет в	3	2
