N	2gram	Voloshinov_1	Analitik
1	в качестве	2	31
2	может быть	26	29
3	в том	6	27
4	не может	24	22
5	и не	26	21
6	в частности	2	19
7	и в	19	18
8	а не	7	17
9	но и	8	17
10	отнюдь не	6	15
11	не только	8	15
12	не в	5	14
13	как и	12	13
14	в его	6	13
15	в этом	16	13
16	том что	3	12
17	при этом	8	12
18	в себе	2	11
19	то же	7	9
20	а в	4	9
21	в то	3	9
22	не есть	3	8
23	нуждается в	3	8
24	но в	7	8
25	к тому	2	7
26	этого слова	2	7
27	прежде всего	13	6
28	или иной	3	6
29	же время	3	6
30	в самом	10	6
31	в сущности	3	6
32	далеко не	4	6
33	то что	8	6
34	в своей	3	6
35	в отличие	5	6
36	отличие от	5	6
37	по отношению	3	6
38	в основе	2	6
39	точки зрения	34	6
40	только в	9	6
41	и того	6	5
42	и как	3	5
43	что в	4	5
44	имеет место	2	5
45	как бы	15	5
46	внутренней речи	9	5
47	отношению к	2	5
48	и т.п	10	5
49	сводится к	3	5
50	лишь в	9	5
51	и его	19	5
52	между тем	3	5
53	и на	4	5
54	о том	2	5
55	того что	3	4
56	и более	2	4
57	могут быть	2	4
58	с другой	5	4
59	по себе	4	4
60	в литературе	2	4
61	ни в	2	4
62	того же	6	4
63	для того	4	4
64	в области	3	4
65	все же	8	4
66	так и	11	4
67	именно в	5	4
68	ни было	10	4
69	из которых	2	4
70	с точки	20	4
71	с другими	3	4
72	в другом	2	4
73	место в	3	3
74	том числе	2	3
75	не могут	3	3
76	однако не	2	3
77	и есть	3	3
78	в нашем	2	3
79	то ни	8	3
80	хотя бы	5	3
81	знакового материала	3	3
82	и все	5	3
83	в нем	10	3
84	и к	3	3
85	что он	2	3
86	она может	3	3
87	во внешнем	2	3
88	еще не	4	3
89	что не	2	3
90	одним из	2	3
91	он не	3	3
92	в котором	3	3
93	что и	2	3
94	не будет	4	3
95	бы то	8	3
96	таким образом	17	3
97	того чтобы	5	3
98	в таком	2	3
99	между двумя	3	3
100	более того	3	3
101	могла бы	2	3
102	как он	2	3
103	оно может	4	3
104	если бы	2	3
105	таком случае	2	3
106	никогда не	2	2
107	все эти	7	2
108	между собой	2	2
109	и внешнего	4	2
110	в какой	3	2
111	первом случае	3	2
112	не столько	4	2
113	установкой на	2	2
114	не является	4	2
115	из этих	2	2
116	не просто	2	2
117	вовсе не	5	2
118	вопрос о	4	2
119	его к	2	2
120	а как	3	2
121	можно сказать	3	2
122	как системе	2	2
123	творческий акт	2	2
124	в начале	5	2
125	то в	2	2
126	и потому	5	2
127	должно быть	2	2
128	для него	9	2
129	в пределах	6	2
130	было бы	4	2
131	и та	2	2
132	за пределы	5	2
133	совпадает с	2	2
134	внутреннего и	3	2
135	и является	2	2
136	одного из	3	2
137	за пределами	2	2
138	нет и	4	2
139	язык есть	4	2
140	науки о	4	2
141	не все	2	2
142	он может	3	2
143	из них	3	2
144	в процессе	14	2
145	не остается	2	2
146	что же	4	2
147	для данного	2	2
148	другой стороны	6	2
149	как к	2	2
150	той же	2	2
151	этом отношении	3	2
152	в двух	2	2
153	на самом	3	2
154	самом деле	10	2
155	науке о	3	2
156	следует что	3	2
157	не становится	3	2
158	как мы	13	2
159	из виду	2	2
160	в данном	4	2
161	одного и	5	2
162	же самое	3	2
163	жизни но	2	2
164	в первом	3	2
165	нет ничего	3	2
166	так как	2	2
167	в которой	3	2
168	в сознании	2	2
169	и с	2	2
