N	2gram	Voloshinov_1	Analitik
1	не только	4	22
2	и в	12	18
3	как и	5	14
4	так и	4	14
5	в этом	4	14
6	но и	3	13
7	и его	13	13
8	том что	5	12
9	и не	10	12
10	при этом	6	11
11	как бы	13	10
12	может быть	14	9
13	что в	2	9
14	а не	5	9
15	в том	6	9
16	с его	2	8
17	с другой	4	7
18	но не	2	7
19	в его	2	7
20	отношению к	11	7
21	по отношению	11	7
22	не в	4	6
23	для него	3	6
24	еще не	3	6
25	он не	2	6
26	о том	3	6
27	никогда не	5	5
28	прежде всего	8	5
29	в самом	4	5
30	что и	2	5
31	другой стороны	2	5
32	уже не	4	5
33	между тем	3	5
34	мы имеем	2	5
35	не менее	3	4
36	отнюдь не	5	4
37	в своем	2	4
38	по себе	3	4
39	можно сказать	5	4
40	и к	4	4
41	в пределах	3	4
42	не есть	2	4
43	все же	4	4
44	таким образом	12	4
45	и на	4	4
46	в данном	2	4
47	героя и	5	4
48	уже в	2	3
49	к этому	2	3
50	его как	2	3
51	тому же	2	3
52	к содержанию	6	3
53	известной степени	2	3
54	данном случае	2	3
55	как в	5	3
56	все это	3	3
57	дело с	2	3
58	то же	5	3
59	до известной	2	3
60	что не	4	3
61	мы не	3	3
62	ничего не	2	3
63	точки зрения	14	3
64	в то	2	3
65	его в	4	3
66	здесь не	3	3
67	в особенности	2	3
68	едва ли	2	3
69	как это	2	3
70	могут быть	2	2
71	все эти	3	2
72	все они	2	2
73	в них	3	2
74	это не	2	2
75	в жизни	5	2
76	в нем	6	2
77	как уже	2	2
78	и ее	3	2
79	произведения и	3	2
80	тем не	3	2
81	да и	3	2
82	автору и	3	2
83	одной стороны	2	2
84	с героем	3	2
85	в ней	6	2
86	и потому	2	2
87	то что	5	2
88	когда он	3	2
89	вместе с	2	2
90	связь с	2	2
91	в форме	2	2
92	не может	16	2
93	как к	3	2
94	на примере	2	2
95	с одной	2	2
96	те же	2	2
97	в себя	2	2
98	самом деле	3	2
99	высказывания как	4	2
100	с точки	2	2
101	и по	3	2
102	и для	3	2
103	сказать что	7	2
104	мы можем	2	2
105	в момент	2	2
106	нуждается в	3	2
107	в себе	3	2
108	и здесь	2	2
109	что мы	5	2
110	только в	6	2
111	и все	2	2
112	дело в	4	2
113	там где	2	2
114	но в	5	2
