N	2gram	Kanaev_Sov_1	FransuaR
1	и в	7	45
2	и не	6	15
3	не только	4	14
4	в этом	7	14
5	но в	3	14
6	в его	2	13
7	как бы	4	12
8	что в	2	12
9	то же	3	11
10	прежде всего	5	10
11	в том	4	10
12	в нем	3	10
13	как и	6	10
14	как мы	2	8
15	жизни и	4	8
16	таким образом	11	8
17	в конце	3	7
18	не в	3	7
19	мы видели	4	7
20	все это	3	7
21	и все	3	7
22	в этой	3	6
23	так как	4	6
24	и к	3	5
25	мы видим	2	5
26	на этом	2	5
27	со всеми	2	5
28	не может	17	5
29	все эти	5	5
30	самом деле	2	5
31	и во	2	4
32	мы не	9	4
33	у него	2	4
34	такой же	2	4
35	ничего не	6	4
36	в самом	2	4
37	а не	3	4
38	и даже	2	4
39	а в	4	4
40	той же	2	4
41	с этим	2	4
42	точки зрения	12	4
43	не менее	2	3
44	это не	4	3
45	из этих	2	3
46	в одном	3	3
47	вместе с	4	3
48	что она	3	3
49	с помощью	4	3
50	на этот	2	3
51	как он	3	3
52	не могут	2	2
53	если мы	4	2
54	и есть	2	2
55	говорить о	2	2
56	точку зрения	4	2
57	он должен	2	2
58	что все	2	2
59	в условиях	5	2
60	отличие от	2	2
61	конечно в	2	2
62	ведь это	3	2
63	было бы	3	2
64	что это	2	2
65	друг с	2	2
66	может быть	12	2
67	с другом	2	2
68	нет и	4	2
69	в каждом	8	2
70	все же	3	2
71	в целом	4	2
72	не будем	2	2
73	в отличие	2	2
74	на котором	2	2
75	при этом	3	2
76	и что	2	2
77	в системе	3	2
78	и наконец	5	2
79	с точки	5	2
80	роль в	2	2
81	не подлежит	3	2
82	мы можем	6	2
83	он в	3	2
84	же самое	2	2
85	но мы	3	2
86	и т.д	3	2
