N	2gram	Tiupa_Teor_1	Narrotol
1	не только	16	31
2	но и	9	27
3	и не	13	23
4	при этом	12	19
5	может быть	17	15
6	в частности	16	14
7	в качестве	24	14
8	в тексте	14	13
9	как и	4	13
10	а не	9	13
11	а в	13	13
12	только в	6	12
13	в этом	8	12
14	и в	18	11
15	в данном	8	11
16	состоит в	17	10
17	такого рода	8	10
18	своего рода	7	10
19	и его	8	10
20	тогда как	15	10
21	времени и	2	9
22	то что	3	9
23	во времени	3	9
24	то есть	12	9
25	то же	7	8
26	в том	16	8
27	данном случае	5	8
28	со стороны	2	8
29	и т.п	4	8
30	не может	4	8
31	уже не	4	8
32	иначе говоря	4	8
33	в рассказе	2	8
34	представляет собой	9	8
35	если бы	3	7
36	том что	9	7
37	но в	9	7
38	и т.д	3	6
39	к тому	2	6
40	об этом	2	6
41	а также	6	6
42	не в	7	6
43	в самом	4	6
44	как бы	5	6
45	один из	2	6
46	как раз	2	6
47	во втором	3	6
48	или в	3	6
49	в себе	9	6
50	в его	6	6
51	в этой	3	6
52	перед нами	2	5
53	можно сказать	3	5
54	в соответствии	3	5
55	в своей	6	5
56	так и	10	5
57	тем самым	4	5
58	столь же	2	5
59	потому что	3	5
60	между двумя	3	5
61	точки зрения	9	5
62	как правило	4	5
63	слова в	2	4
64	с его	5	4
65	никогда не	4	4
66	из этих	3	4
67	в литературе	2	4
68	или иной	4	4
69	соответствии с	2	4
70	для него	2	4
71	то в	2	4
72	но не	9	4
73	же время	5	4
74	прежде всего	2	4
75	еще не	4	4
76	имеет место	2	4
77	и тем	3	4
78	в нем	4	4
79	в мире	19	4
80	в первом	2	4
81	как в	5	4
82	так в	4	4
83	того что	4	4
84	в принципе	4	4
85	являет собой	2	4
86	хотя и	3	4
87	на себя	2	4
88	в то	6	4
89	в эпизоде	3	4
90	в одном	2	4
91	не менее	4	3
92	что в	9	3
93	обращается к	2	3
94	однако в	7	3
95	в следующей	2	3
96	в нашем	4	3
97	в своем	4	3
98	в прозе	2	3
99	текста в	3	3
100	это не	2	3
101	в пространстве	2	3
102	создает эффект	2	3
103	в жизни	2	3
104	сводится к	5	3
105	тем не	3	3
106	у нас	2	3
107	и как	2	3
108	в целом	3	3
109	может служить	2	3
110	и о	4	3
111	он не	3	3
112	в конечном	6	3
113	не является	4	3
114	отношению к	4	3
115	в ходе	4	3
116	по отношению	4	3
117	именно в	3	3
118	лишь в	6	3
119	к чему	2	3
120	в слове	3	3
121	о ней	2	3
122	и то	2	3
123	их в	3	3
124	и ее	3	3
125	в финале	3	3
126	как будто	2	3
127	в русской	6	3
128	присутствия в	6	3
129	в состав	6	3
130	всего лишь	6	3
131	как это	8	3
132	мы имеем	7	3
133	между тем	5	3
134	художественного высказывания	3	2
135	и составляет	3	2
136	казалось бы	2	2
137	отнюдь не	3	2
138	могут служить	2	2
139	в этих	3	2
140	между собой	3	2
141	тот кто	2	2
142	а на	3	2
143	не могло	2	2
144	в конце	2	2
145	этих двух	2	2
146	не сводится	4	2
147	в свою	3	2
148	что может	2	2
149	к его	2	2
150	равной степени	3	2
151	кто говорит	3	2
152	в романе	3	2
153	с ее	3	2
154	и того	3	2
155	свою очередь	2	2
156	по своему	2	2
157	между ними	4	2
158	имеем дело	2	2
159	в повести	2	2
160	в пределах	5	2
161	в войне	2	2
162	или иным	3	2
163	в первой	5	2
164	в роли	3	2
165	и является	2	2
166	не вполне	2	2
167	чем это	2	2
168	если в	2	2
169	к жизни	2	2
170	по сути	2	2
171	на две	3	2
172	себя в	6	2
173	не будет	2	2
174	вместе с	2	2
175	быть и	2	2
176	значения и	2	2
177	героя и	5	2
178	дело не	2	2
179	внутреннего зрения	11	2
180	в форме	2	2
181	другой стороны	5	2
182	жизни в	2	2
183	в отличие	6	2
184	текста как	4	2
185	ключ к	2	2
186	и вот	3	2
187	в той	2	2
188	высказывания в	3	2
189	который в	2	2
190	и даже	2	2
191	и притом	2	2
192	времени в	2	2
193	жизни как	4	2
194	с другой	7	2
195	и для	2	2
196	сводятся к	2	2
197	войне и	2	2
198	отличие от	6	2
199	и мире	2	2
200	роль в	2	2
201	сказать что	3	2
202	участок текста	2	2
203	с языком	2	2
204	в присутствии	2	2
205	я в	16	2
206	в равной	3	2
207	жизни но	2	2
208	системы эпизодов	2	2
209	дело в	2	2
210	в произведении	3	2
211	в кадры	2	2
212	в области	4	2
213	это было	2	2
214	за пределами	5	2
