N	2gram	Bakhtin_Pr_5	Narrotol
1	не только	10	32
2	может быть	14	25
3	но и	14	23
4	и не	27	20
5	и в	35	19
6	то есть	16	19
7	в том	5	18
8	в этом	14	17
9	том что	3	14
10	не в	10	14
11	а не	4	12
12	своего рода	2	12
13	то что	10	11
14	а в	7	11
15	не может	18	10
16	точки зрения	7	10
17	при этом	2	9
18	так и	8	9
19	в его	21	9
20	в мире	4	9
21	с другой	4	8
22	героя в	5	8
23	и т.п	6	8
24	в себе	5	8
25	времени и	2	7
26	и т.д	3	7
27	как и	18	7
28	еще не	7	7
29	к тому	6	7
30	все же	8	7
31	как в	5	7
32	по отношению	6	7
33	с его	7	6
34	что он	24	6
35	отношению к	7	6
36	то в	2	6
37	но не	6	6
38	в той	4	6
39	на протяжении	5	6
40	о том	2	6
41	но в	19	6
42	и как	2	5
43	нуждается в	3	5
44	по себе	4	5
45	или иной	4	5
46	тому же	3	5
47	себя в	2	5
48	в форме	3	5
49	уже не	3	5
50	к нему	13	5
51	и его	14	5
52	между двумя	2	5
53	в отличие	2	5
54	к себе	18	5
55	отличие от	2	5
56	за собой	3	4
57	прежде всего	12	4
58	в нем	16	4
59	у него	4	4
60	что не	4	4
61	то же	15	4
62	да и	5	4
63	но все	4	4
64	же время	10	4
65	было бы	3	4
66	одной из	2	4
67	той или	4	4
68	как бы	31	4
69	о нем	2	4
70	хотя бы	2	4
71	другой стороны	3	4
72	те же	2	4
73	не мог	3	4
74	в рассказе	2	4
75	сказать что	3	4
76	только в	6	4
77	героя и	10	4
78	пока еще	2	4
79	и с	12	4
80	же не	4	4
81	не менее	2	3
82	а с	3	3
83	ни было	3	3
84	что в	6	3
85	никогда не	4	3
86	уже в	3	3
87	ни в	2	3
88	это и	3	3
89	что они	6	3
90	обращает на	2	3
91	в сущности	14	3
92	хотя и	2	3
93	в ней	2	3
94	он не	13	3
95	и даже	5	3
96	мог бы	2	3
97	с ее	3	3
98	бы то	3	3
99	в первом	2	3
100	из них	3	3
101	когда он	3	3
102	в ее	3	3
103	на него	5	3
104	особенно в	2	3
105	то ни	3	3
106	как мы	8	3
107	сводится к	3	3
108	столь же	2	3
109	и он	2	3
110	и на	6	3
111	будто бы	2	3
112	между тем	4	3
113	тем что	4	3
114	не о	4	3
115	по своей	2	3
116	в то	11	3
117	как будто	4	3
118	героя к	2	3
119	что это	4	3
120	в произведении	2	3
121	бы не	2	2
122	он сам	6	2
123	с человеком	3	2
124	себя и	8	2
125	в своем	2	2
126	что у	6	2
127	та же	4	2
128	не как	3	2
129	себе самом	5	2
130	что на	2	2
131	точек зрения	2	2
132	говорит о	2	2
133	была и	2	2
134	о своей	3	2
135	для него	14	2
136	в пределах	11	2
137	было в	2	2
138	например в	2	2
139	к другому	16	2
140	наконец в	4	2
141	он уже	3	2
142	даже в	5	2
143	нет и	4	2
144	героя из	3	2
145	тогда в	2	2
146	приводит к	2	2
147	которого он	3	2
148	отношение к	6	2
149	так же	7	2
150	как раз	4	2
151	к самому	5	2
152	как к	5	2
153	одного сознания	3	2
154	собой не	2	2
155	все эти	3	2
156	самом деле	10	2
157	со словами	2	2
158	и для	8	2
159	с точки	2	2
160	это не	3	2
161	или в	2	2
162	можно было	2	2
163	тому как	2	2
164	не случайно	2	2
165	каждый из	2	2
166	однако в	2	2
167	подобно тому	2	2
168	всей своей	2	2
169	но как	4	2
170	говорить о	3	2
171	без исключения	2	2
172	этого слова	5	2
173	и все	15	2
174	его в	4	2
175	рассказ в	3	2
176	ничего не	3	2
