N	2gram	Berdyaev_M_2	Stilisti
1	и в	46	42
2	как бы	8	27
3	не только	18	27
4	прежде всего	12	22
5	хотя бы	7	17
6	но и	15	15
7	то же	5	15
8	и не	18	14
9	может быть	21	12
10	не может	15	12
11	точки зрения	2	11
12	как и	13	11
13	в этом	20	10
14	то что	5	9
15	для того	5	9
16	в ней	11	8
17	что же	2	8
18	в себе	10	8
19	и это	5	8
20	никогда не	18	7
21	и от	3	7
22	и на	3	7
23	потому что	12	7
24	так как	8	7
25	с его	4	7
26	а не	13	7
27	того чтобы	4	7
28	и его	5	7
29	только в	3	7
30	в которой	2	7
31	ничего не	2	7
32	или иной	2	6
33	не в	9	6
34	в этой	7	6
35	в свою	4	6
36	на его	2	6
37	в конце	5	6
38	в нем	22	6
39	во всех	2	6
40	так и	4	6
41	уже в	2	5
42	в нашем	7	5
43	тому что	4	5
44	и той	2	5
45	те же	5	5
46	а в	2	5
47	и с	3	5
48	в его	5	5
49	вместе с	2	5
50	той же	3	5
51	все время	2	4
52	что это	6	4
53	в каждом	3	4
54	к тому	5	4
55	было в	3	4
56	в самом	5	4
57	один из	5	4
58	того что	6	4
59	так же	6	4
60	о том	3	4
61	его в	3	4
62	бы в	2	4
63	но в	10	4
64	не существует	3	4
65	если бы	3	4
66	были бы	2	4
67	не что	3	4
68	и к	7	4
69	у нас	11	4
70	мы видим	2	4
71	человека не	4	4
72	мы увидим	2	4
73	себя в	4	4
74	к своему	2	4
75	уже не	4	4
76	можно было	2	4
77	вопроса о	4	4
78	в разных	2	3
79	что у	4	3
80	это не	5	3
81	и эта	2	3
82	не мог	3	3
83	но для	2	3
84	хотя и	2	3
85	жизни это	4	3
86	не к	2	3
87	жизни и	6	3
88	от того	3	3
89	и вот	5	3
90	лишь в	2	3
91	не так	3	3
92	сказать что	3	3
93	и здесь	6	3
94	та же	10	3
95	что было	3	3
96	то он	2	3
97	и все	5	3
98	если он	2	3
99	том что	4	3
100	что и	4	3
101	не будет	3	3
102	и социального	2	3
103	отношения к	2	3
104	да и	2	3
105	и для	7	3
106	связи с	2	3
107	не знает	9	3
108	и поэтому	2	3
109	место в	2	2
110	быть может	2	2
111	бы и	5	2
112	иное как	3	2
113	человека и	7	2
114	человека в	14	2
115	не всегда	2	2
116	вопрос о	6	2
117	в мире	7	2
118	в том	3	2
119	нас не	2	2
120	но это	8	2
121	и нет	3	2
122	для него	18	2
123	до конца	4	2
124	себе и	2	2
125	в этих	2	2
126	отношение к	8	2
127	в отношении	5	2
128	не было	11	2
129	но эта	2	2
130	должно быть	2	2
131	его не	2	2
132	и те	2	2
133	в своих	3	2
134	также и	4	2
135	что иное	3	2
136	по своей	3	2
137	нет ничего	3	2
138	к которому	3	2
139	я и	2	2
140	в жизни	4	2
141	в основе	2	2
142	не будут	2	2
143	себе в	2	2
144	с собой	2	2
145	перейти в	2	2
146	человек не	7	2
147	что он	7	2
148	есть не	5	2
149	связано с	3	2
150	тот же	2	2
151	и потому	7	2
152	перед ним	4	2
153	не есть	13	2
154	в своей	5	2
155	этот процесс	2	2
156	сих пор	3	2
157	как в	7	2
158	бы не	2	2
159	одной и	2	2
160	другого человека	2	2
161	к чему	4	2
162	и он	11	2
163	к нему	2	2
164	с ним	3	2
165	у них	4	2
166	тем что	3	2
167	которые в	2	2
168	одни и	2	2
