N	2gram	Bakhtin_Pr_1	Komedia
1	и в	29	22
2	т е	21	13
3	том что	7	12
4	в том	8	11
5	но и	14	11
6	не только	15	10
7	в то	10	10
8	как и	12	9
9	и т	4	9
10	может быть	24	9
11	в одном	10	8
12	таким образом	12	8
13	и не	31	8
14	и его	14	8
15	в этой	4	7
16	что в	8	6
17	в отношении	2	6
18	в конце	6	6
19	что он	8	6
20	ни в	3	6
21	то же	14	6
22	не в	7	6
23	а в	7	6
24	в которой	2	6
25	уже в	3	5
26	с другой	3	5
27	прежде всего	7	5
28	при этом	2	5
29	со своим	2	5
30	в его	24	5
31	один из	2	5
32	на его	2	5
33	в истории	2	5
34	так и	7	5
35	как в	6	5
36	все это	6	5
37	другой стороны	3	5
38	нового времени	3	5
39	и даже	2	5
40	потому что	8	5
41	т п	3	5
42	между тем	5	5
43	именно в	5	4
44	в их	3	4
45	несмотря на	6	4
46	как мы	4	4
47	же в	2	4
48	же время	9	4
49	в котором	2	4
50	в нем	19	4
51	что и	4	4
52	на него	3	4
53	тем что	4	4
54	в результате	4	4
55	точки зрения	19	4
56	из его	2	4
57	конце концов	5	4
58	так как	6	4
59	но в	7	4
60	однако в	2	3
61	и одновременно	3	3
62	в них	3	3
63	вопрос о	2	3
64	идет о	4	3
65	и как	7	3
66	тот же	2	3
67	и сам	2	3
68	и у	3	3
69	и о	5	3
70	у него	5	3
71	он не	5	3
72	даже в	4	3
73	все же	9	3
74	отношению к	8	3
75	в целом	6	3
76	отношение к	2	3
77	к этим	2	3
78	так же	6	3
79	по отношению	8	3
80	этом отношении	3	3
81	здесь мы	2	3
82	как раз	6	3
83	его творчества	3	3
84	и на	7	3
85	в этом	22	3
86	и с	4	3
87	могут быть	6	3
88	и ее	2	3
89	только в	10	3
90	его в	6	3
91	ничего не	5	3
92	в сознании	2	3
93	в противоположность	2	2
94	и здесь	3	2
95	ни было	2	2
96	за пределы	7	2
97	то ни	2	2
98	художественных приемов	2	2
99	и во	2	2
100	именно потому	2	2
101	вовсе не	7	2
102	от них	2	2
103	точек зрения	3	2
104	художественный образ	2	2
105	его творчество	2	2
106	должна была	4	2
107	хоть и	3	2
108	одна из	3	2
109	но не	9	2
110	именно на	2	2
111	в себя	3	2
112	до конца	8	2
113	до сих	2	2
114	еще не	5	2
115	было бы	5	2
116	в самом	10	2
117	и самого	4	2
118	всяком случае	3	2
119	ни одной	2	2
120	для себя	2	2
121	то что	15	2
122	бы то	2	2
123	в первой	2	2
124	все что	3	2
125	находится в	2	2
126	в настоящем	2	2
127	то и	2	2
128	в сущности	5	2
129	не может	12	2
130	в форме	7	2
131	из которых	2	2
132	к нему	6	2
133	правда в	2	2
134	но это	4	2
135	тем как	4	2
136	во всяком	5	2
137	но он	2	2
138	на себя	2	2
139	в своих	3	2
140	в себе	7	2
141	как будто	3	2
142	е в	2	2
143	сих пор	2	2
