N	2gram	Voloshinov_1	Myshleni
1	с помощью	6	42
2	в процессе	6	27
3	и в	12	25
4	в том	6	23
5	том что	5	20
6	внутренней речи	3	19
7	что в	2	17
8	так же	3	17
9	таким образом	12	17
10	как и	5	15
11	то что	5	15
12	в его	2	15
13	в этом	4	14
14	вместе с	2	14
15	может быть	14	13
16	между собой	2	13
17	так как	9	12
18	как бы	13	10
19	и не	10	10
20	и что	2	10
21	того что	3	10
22	что и	2	10
23	только в	6	10
24	как в	5	9
25	мы не	3	9
26	ни в	3	9
27	уже в	2	7
28	все эти	3	7
29	что мы	5	7
30	как это	2	7
31	по себе	3	7
32	мы можем	2	7
33	не менее	3	6
34	с другой	4	6
35	как уже	2	6
36	не в	4	6
37	совпадает с	2	6
38	не может	16	6
39	и на	4	6
40	в основном	2	6
41	в отношении	2	6
42	зависимости от	4	6
43	но не	2	6
44	не только	4	6
45	все же	4	6
46	точки зрения	14	6
47	все это	3	6
48	слова и	6	6
49	так и	4	5
50	тем не	3	5
51	но это	2	5
52	для него	3	5
53	одной стороны	2	5
54	при этом	6	5
55	значения и	2	5
56	с одной	2	5
57	и по	3	5
58	если бы	9	5
59	в зависимости	2	5
60	и к	4	5
61	о том	3	5
62	могут быть	2	5
63	независимо от	2	4
64	никогда не	5	4
65	в своем	2	4
66	в какой	2	4
67	прежде всего	8	4
68	отнюдь не	5	4
69	но и	3	4
70	от того	4	4
71	сказать что	7	4
72	в то	2	4
73	с ним	3	4
74	мы имеем	2	4
75	тогда когда	2	4
76	что слово	2	4
77	и все	2	4
78	еще не	3	4
79	он не	2	4
80	какой степени	2	4
81	речи в	2	4
82	там где	2	4
83	с этой	2	3
84	в себя	2	3
85	в самом	4	3
86	имеет место	2	3
87	в котором	3	3
88	другой стороны	2	3
89	по отношению	11	3
90	между тем	3	3
91	его в	4	3
92	в жизни	5	3
93	к этому	2	3
94	его к	2	3
95	не есть	2	3
96	связь с	2	3
97	дело с	2	3
98	когда он	3	3
99	и слово	2	3
100	между ними	2	3
101	место в	2	2
102	то же	5	2
103	все время	6	2
104	в этих	2	2
105	все они	2	2
106	этой точки	3	2
107	является для	2	2
108	для нас	7	2
109	ни было	4	2
110	но все	2	2
111	метод в	2	2
112	в нем	6	2
113	в корне	2	2
114	как на	2	2
115	от всех	2	2
116	и здесь	2	2
117	ни на	2	2
118	с его	2	2
119	находит свое	3	2
120	в них	3	2
121	ясно что	3	2
122	конечно в	2	2
123	но тем	2	2
124	мы в	2	2
125	и потому	2	2
126	оно не	2	2
127	отношению к	11	2
128	в своей	3	2
129	мы никогда	2	2
130	уже не	4	2
131	едва ли	2	2
132	и для	3	2
133	и его	13	2
134	с другими	2	2
135	и то	2	2
136	в каком	3	2
137	в себе	3	2
138	в чем	2	2
