N	2gram	Nazirov_Vr_1	Myshleni
1	в том	3	42
2	том что	3	35
3	таким образом	2	25
4	точки зрения	2	24
5	в этом	8	24
6	и в	8	20
7	что в	7	19
8	то же	5	16
9	то что	7	15
10	не только	9	15
11	при этом	4	12
12	может быть	4	12
13	так же	4	11
14	в его	3	11
15	с точки	2	11
16	на основе	2	10
17	в истории	4	10
18	и то	2	10
19	в себе	2	10
20	и как	3	9
21	но и	7	9
22	между тем	5	9
23	как и	6	9
24	и не	5	8
25	и что	8	8
26	вместе с	2	8
27	как бы	4	7
28	в своей	2	7
29	тем что	3	7
30	уже в	4	6
31	же как	2	6
32	не может	2	6
33	его в	3	6
34	что он	4	6
35	никогда не	2	5
36	целый ряд	4	5
37	это не	4	5
38	на то	3	5
39	и его	3	5
40	все же	6	5
41	о том	4	5
42	речь идет	3	5
43	в своем	3	4
44	для нас	4	4
45	из них	2	4
46	и с	6	4
47	к этому	3	4
48	на первый	2	4
49	не менее	2	3
50	на место	2	3
51	в этой	2	3
52	в виду	4	3
53	в связи	3	3
54	столь же	2	3
55	но в	6	3
56	отнюдь не	2	3
57	и во	3	3
58	наряду с	3	3
59	связи с	3	3
60	в чем	3	3
61	место в	2	2
62	по нашему	3	2
63	в свою	2	2
64	для него	2	2
65	в нашей	2	2
66	и у	3	2
67	одним из	3	2
68	в ней	4	2
69	в него	2	2
70	в нем	6	2
71	по мнению	2	2
72	а в	2	2
73	но как	2	2
74	в начале	6	2
75	их в	2	2
76	в известном	2	2
77	это в	2	2
78	у него	5	2
79	с которым	2	2
80	еще не	2	2
81	том же	2	2
82	далеко не	3	2
83	а также	2	2
84	раз в	3	2
85	и т.п	2	2
86	тогда как	2	2
87	а с	2	2
88	в той	2	2
89	и он	2	2
90	и это	2	2
91	же не	2	2
