N	2gram	Berdyaev_M_2	Tvorches
1	у достоевского	34	30
2	и в	46	20
3	не только	18	13
4	никогда не	18	11
5	как бы	8	11
6	в его	5	10
7	достоевского в	2	9
8	и его	5	9
9	и не	18	9
10	прежде всего	12	8
11	достоевского не	3	8
12	в том	3	8
13	ивана карамазова	7	8
14	но и	15	8
15	может быть	21	8
16	в этом	20	8
17	и с	3	8
18	это не	5	7
19	братьях карамазовых	2	7
20	что в	4	7
21	иван карамазов	13	7
22	не может	15	7
23	то же	5	7
24	достоевский в	3	7
25	потому что	12	7
26	у него	22	6
27	в конце	5	6
28	что он	7	6
29	в братьях	2	6
30	как и	13	6
31	из подполья	2	6
32	в своей	5	6
33	так и	4	6
34	в бесах	6	6
35	а не	13	6
36	если он	2	5
37	в мире	7	5
38	но это	8	5
39	достоевский не	5	5
40	так же	6	5
41	и на	3	5
42	в этой	7	5
43	о том	3	5
44	в творчестве	3	5
45	что у	4	4
46	настасье филипповне	2	4
47	и от	3	4
48	в духе	5	4
49	том что	4	4
50	мы видим	2	4
51	что они	3	4
52	на его	2	4
53	хотя и	2	4
54	что она	5	4
55	как в	7	4
56	творчество достоевского	3	4
57	не в	9	4
58	а в	2	4
59	в чем	3	4
60	настасья филипповна	4	4
61	герои достоевского	2	4
62	творчестве достоевского	3	4
63	и потому	7	4
64	ничего не	2	4
65	и достоевский	8	4
66	если бы	3	4
67	но в	10	4
68	место в	2	3
69	он сам	6	3
70	о великом	2	3
71	же как	3	3
72	жизни в	3	3
73	превращается в	2	3
74	человека и	7	3
75	в образе	3	3
76	с ним	3	3
77	в дневнике	2	3
78	отношению к	2	3
79	быть может	2	3
80	достоевского нет	2	3
81	великом инквизиторе	2	3
82	для него	18	3
83	что не	2	3
84	в самом	5	3
85	он не	10	3
86	один из	5	3
87	в нем	22	3
88	то что	5	3
89	и это	5	3
90	вместе с	2	3
91	сих пор	3	3
92	по отношению	2	3
93	так как	8	3
94	человека в	14	3
95	уже не	4	3
96	тем что	3	3
97	в своих	3	3
98	в себе	10	3
99	как у	2	3
100	его в	3	3
101	любви к	7	3
102	нет ничего	3	3
103	между тем	2	3
104	до сих	3	3
105	он же	3	2
106	уже в	2	2
107	но достоевский	3	2
108	все время	2	2
109	и есть	8	2
110	личности в	2	2
111	от этой	2	2
112	не означает	2	2
113	в такой	3	2
114	не знал	3	2
115	я не	5	2
116	человеческой личности	7	2
117	у нас	11	2
118	так что	2	2
119	не стоит	3	2
120	и если	2	2
121	достоевским в	3	2
122	себя в	4	2
123	дневнике писателя	2	2
124	самого достоевского	3	2
125	по преимуществу	5	2
126	преступление и	2	2
127	и тогда	3	2
128	к самому	2	2
129	бы не	2	2
130	не было	11	2
131	достоевского к	5	2
132	и других	2	2
133	достоевского и	2	2
134	но эта	2	2
135	и что	2	2
136	и он	11	2
137	не так	3	2
138	друг друга	12	2
139	из этой	2	2
140	образ и	5	2
141	не случайно	2	2
142	иваном карамазовым	2	2
143	в основе	2	2
144	для достоевского	8	2
145	в которой	2	2
146	с другим	3	2
147	только в	3	2
148	в русской	6	2
149	в россии	3	2
150	эта мысль	2	2
151	это все	2	2
152	только с	3	2
153	к которому	3	2
154	и поэтому	2	2
