N	2gram	Losev_Vesc_1	Istorich
1	и в	21	26
2	т е	55	22
3	так как	7	18
4	мы имеем	7	14
5	никогда не	2	13
6	потому что	16	13
7	что в	9	12
8	таким образом	8	12
9	в том	8	12
10	в этом	4	12
11	может быть	16	11
12	с другой	6	10
13	том что	8	10
14	и т	19	10
15	и не	29	10
16	не только	36	10
17	еще не	8	9
18	но и	18	9
19	в нем	2	8
20	все же	4	8
21	другой стороны	2	8
22	т д	19	8
23	все эти	3	8
24	и это	14	8
25	с ним	8	8
26	уже не	9	7
27	с одной	3	7
28	мы можем	4	7
29	одной стороны	3	7
30	и его	2	7
31	у него	2	7
32	о том	6	7
33	но в	5	7
34	то что	27	6
35	мы уже	3	6
36	не может	17	6
37	и с	8	6
38	мы не	6	6
39	и эти	2	5
40	у нас	7	5
41	как и	8	5
42	мы видим	2	5
43	в ней	12	5
44	в его	2	5
45	то это	3	5
46	не будет	12	5
47	так и	3	5
48	то же	6	5
49	и что	15	5
50	как это	2	5
51	тем что	2	5
52	в то	3	5
53	только в	14	5
54	его в	2	5
55	есть и	4	4
56	с тем	5	4
57	что между	2	4
58	это не	5	4
59	прежде всего	9	4
60	но это	10	4
61	как бы	12	4
62	и тем	3	4
63	что и	3	4
64	что оно	8	4
65	как мы	4	4
66	совершенно ясно	2	4
67	себе в	3	4
68	как только	4	3
69	ее не	2	3
70	при помощи	2	3
71	и ее	18	3
72	независимо от	5	3
73	если бы	5	3
74	вообще не	2	3
75	и от	3	3
76	в одном	2	3
77	должна быть	4	3
78	ее к	2	3
79	так что	5	3
80	не в	5	3
81	кроме того	4	3
82	она не	4	3
83	и эта	3	3
84	от того	3	3
85	один из	3	3
86	другими словами	5	3
87	в своей	5	3
88	данном случае	2	3
89	что она	15	3
90	со стороны	5	3
91	а в	4	3
92	и вот	2	3
93	вот почему	3	3
94	или в	2	3
95	в данном	5	3
96	и то	10	3
97	их в	3	3
98	сказать что	17	3
99	и только	3	3
100	в себе	14	3
101	не потому	6	3
102	от этого	2	3
103	с этой	4	2
104	перед нами	2	2
105	есть еще	3	2
106	и как	8	2
107	а потом	2	2
108	от нее	2	2
109	с собой	2	2
110	в своем	6	2
111	что у	5	2
112	но он	2	2
113	того же	5	2
114	отличается от	7	2
115	с этим	3	2
116	вовсе не	10	2
117	стороны и	2	2
118	на то	4	2
119	можно сказать	6	2
120	к тому	3	2
121	сводится к	2	2
122	для нас	2	2
123	что иное	7	2
124	что они	6	2
125	одна из	5	2
126	но не	5	2
127	только то	2	2
128	оно только	3	2
129	что мы	14	2
130	было бы	14	2
131	ее имя	3	2
132	но для	2	2
133	что из	2	2
134	в свое	2	2
135	относится к	5	2
136	начиная от	2	2
137	всяком случае	2	2
138	не есть	49	2
139	жизни и	2	2
140	что же	8	2
141	себя это	4	2
142	то и	4	2
143	только что	2	2
144	а с	3	2
145	есть условие	2	2
146	мы находим	2	2
147	и другое	4	2
148	а не	19	2
149	того что	8	2
150	и больше	9	2
151	что не	5	2
152	должны быть	4	2
153	то или	2	2
154	можно было	2	2
155	или другой	2	2
156	с ними	3	2
157	во всяком	3	2
158	быть только	3	2
159	в руки	2	2
160	к себе	4	2
161	из его	2	2
162	я могу	2	2
163	ту же	2	2
164	мы должны	2	2
165	в этой	3	2
166	что это	13	2
167	и формы	2	2
168	когда мы	6	2
169	не вполне	2	2
170	оно может	2	2
171	ничего не	3	2
172	е в	7	2
173	или как	2	2
174	значит что	24	2
