N	2gram	Potebnia_M_1	Istorich
1	и т	6	19
2	не только	21	18
3	т д	4	18
4	может быть	27	17
5	никогда не	4	15
6	и в	39	15
7	но и	20	14
8	так как	21	14
9	так же	5	13
10	что в	22	12
11	а в	5	12
12	то что	10	12
13	в этих	7	11
14	и не	18	11
15	в этом	15	11
16	то же	6	10
17	с тем	5	9
18	еще не	6	9
19	все же	6	9
20	потому что	52	9
21	связи с	3	8
22	мы увидим	3	8
23	он не	3	8
24	мы видим	4	8
25	мы можем	2	8
26	том что	16	7
27	в нем	20	7
28	вместе с	8	7
29	таким образом	13	7
30	не в	15	7
31	видно что	2	6
32	точно так	11	6
33	так что	16	6
34	что это	3	6
35	в его	5	6
36	как бы	6	6
37	то это	5	6
38	что и	6	6
39	и что	10	6
40	в том	26	6
41	только в	25	6
42	но в	9	6
43	и есть	2	5
44	с этим	7	5
45	прежде всего	4	5
46	в одном	8	5
47	к тому	4	5
48	но все	2	5
49	как в	10	5
50	она не	3	5
51	было бы	12	5
52	на него	3	5
53	так и	13	5
54	что при	5	5
55	не может	22	5
56	а не	21	5
57	к которому	3	5
58	с одной	3	4
59	в другой	3	4
60	вопрос о	4	4
61	показывает что	3	4
62	для нас	9	4
63	но это	5	4
64	в этой	3	4
65	при этом	6	4
66	но он	2	4
67	в ней	7	4
68	после этого	2	4
69	связь с	2	4
70	того как	6	4
71	и с	3	4
72	тем что	9	4
73	в себе	13	4
74	мы должны	3	4
75	к этой	3	4
76	как она	3	4
77	в состоянии	3	3
78	не мог	3	3
79	и его	5	3
80	из этих	4	3
81	на то	2	3
82	одной стороны	3	3
83	мог бы	2	3
84	между прочим	2	3
85	но если	2	3
86	по мере	6	3
87	о том	2	3
88	отношению к	13	3
89	в их	2	3
90	по отношению	13	3
91	хотя в	3	3
92	того что	8	3
93	увидим что	4	3
94	мы не	10	3
95	тому как	4	3
96	то чего	2	3
97	подобно тому	3	3
98	как будто	2	3
99	что мы	4	3
100	и это	3	3
101	в других	2	3
102	зависит от	5	2
103	не было	4	2
104	самого начала	3	2
105	и более	2	2
106	могут быть	9	2
107	он должен	2	2
108	с другой	7	2
109	это не	7	2
110	но с	2	2
111	в жизни	3	2
112	уже с	2	2
113	и вместе	2	2
114	нисколько не	2	2
115	о его	2	2
116	как и	9	2
117	мы видели	4	2
118	оно и	3	2
119	но не	8	2
120	могла бы	2	2
121	одно из	3	2
122	мере того	3	2
123	не что	2	2
124	и может	2	2
125	того чтобы	2	2
126	и если	2	2
127	мы в	2	2
128	и для	5	2
129	в сущности	2	2
130	не все	2	2
131	хотя бы	2	2
132	с ее	2	2
133	во всех	5	2
134	и их	3	2
135	не могла	2	2
136	и только	2	2
137	другой стороны	5	2
138	той же	3	2
139	в разных	2	2
140	с самого	3	2
141	ключ к	2	2
142	когда мы	2	2
143	то не	3	2
144	тем самым	4	2
145	и по	6	2
146	или в	2	2
147	и то	3	2
148	сказать что	3	2
149	то мы	2	2
150	к ней	2	2
151	что иное	2	2
152	слова в	2	2
153	его на	2	2
154	в таких	2	2
155	при помощи	2	2
156	нет ничего	2	2
157	так сказать	2	2
158	заметить что	2	2
159	в которой	2	2
160	иное как	2	2
161	в виду	2	2
162	из него	2	2
