N	2gram	Bakhtin_Fr_3	Hudozhes
1	в мире	4	23
2	то есть	18	18
3	и не	13	16
4	в том	8	15
5	и в	40	15
6	не только	13	15
7	в частности	3	13
8	может быть	9	13
9	при этом	3	12
10	а в	3	12
11	и его	17	12
12	но не	2	11
13	в этом	15	11
14	в себе	3	11
15	как бы	3	10
16	отношению к	2	10
17	но и	11	10
18	так и	3	10
19	по отношению	3	10
20	то же	7	10
21	а не	5	10
22	такого рода	3	9
23	в его	13	9
24	точки зрения	2	9
25	своего рода	2	8
26	с другой	2	7
27	или иной	2	7
28	в отличие	3	7
29	в то	6	7
30	отличие от	3	7
31	но в	8	7
32	в основе	5	6
33	с его	3	6
34	что в	12	6
35	в ее	3	6
36	том что	4	6
37	же время	6	6
38	отношение к	8	6
39	не может	3	6
40	можно сказать	2	5
41	а также	4	5
42	ни в	4	5
43	только в	3	5
44	в самом	6	5
45	той или	2	5
46	в нем	5	5
47	то что	5	5
48	между ними	3	5
49	и т.п	10	5
50	в их	4	5
51	в этих	6	4
52	прежде всего	16	4
53	и как	3	4
54	в другом	3	4
55	для него	5	4
56	еще не	3	4
57	например в	2	4
58	он не	9	4
59	в своей	6	4
60	в форме	2	4
61	сказать что	3	4
62	между тем	3	4
63	не менее	2	3
64	если бы	3	3
65	это не	2	3
66	что он	2	3
67	и к	3	3
68	того же	2	3
69	о чем	2	3
70	как раз	5	3
71	далеко не	2	3
72	к нему	2	3
73	в целом	2	3
74	в культуре	4	3
75	так в	4	3
76	таким образом	10	3
77	как и	11	3
78	в той	6	3
79	лишь в	2	3
80	во всей	3	3
81	и для	5	3
82	их в	3	3
83	потому что	2	3
84	но он	2	3
85	и ее	2	3
86	в данном	4	3
87	в которой	2	3
88	в области	4	3
89	в виду	7	3
90	слова в	2	2
91	на этом	2	2
92	том числе	3	2
93	числе и	2	2
94	в нашем	4	2
95	в своем	7	2
96	в них	9	2
97	в одном	7	2
98	вовсе не	12	2
99	для понимания	3	2
100	в литературе	5	2
101	роль в	4	2
102	об этом	3	2
103	основе своей	2	2
104	одна из	3	2
105	времени и	2	2
106	в значительной	3	2
107	и сам	2	2
108	значительной степени	2	2
109	во всех	6	2
110	и о	4	2
111	ни для	4	2
112	одной из	2	2
113	и потому	4	2
114	к жизни	2	2
115	даже в	4	2
116	и др	7	2
117	по преимуществу	2	2
118	дело не	3	2
119	как в	3	2
120	и прежде	3	2
121	здесь не	3	2
122	в романе	15	2
123	именно в	2	2
124	все эти	8	2
125	это и	2	2
126	в году	5	2
127	того чтобы	4	2
128	для того	3	2
129	и на	8	2
130	нового времени	2	2
131	у него	8	2
132	одно из	3	2
133	но как	2	2
134	начиная с	3	2
135	в этой	3	2
136	о том	4	2
137	и это	2	2
138	из этого	2	2
