N	2gram	Tiupa_Teor_1	Istorich
1	и в	18	26
2	так же	2	18
3	то что	3	16
4	не только	16	15
5	что в	9	14
6	может быть	17	14
7	но и	9	12
8	между двумя	3	12
9	так и	10	10
10	таким образом	3	10
11	и его	8	10
12	что и	2	9
13	и не	13	9
14	его в	2	9
15	то же	7	8
16	а в	13	8
17	в этих	3	7
18	превращается в	2	7
19	об этом	2	7
20	как и	4	7
21	в качестве	24	7
22	он не	3	7
23	как в	5	7
24	их в	3	7
25	в этом	8	7
26	мы имеем	7	7
27	еще не	4	6
28	вместе с	2	6
29	не может	4	6
30	а не	9	6
31	и то	2	6
32	потому что	3	6
33	могут быть	4	6
34	и как	2	5
35	это не	2	5
36	в одном	2	5
37	но не	9	5
38	в его	6	5
39	и что	3	5
40	уже не	4	5
41	и по	2	5
42	не в	7	5
43	и здесь	2	5
44	в другом	3	5
45	но в	9	5
46	с другой	7	4
47	на себя	2	4
48	вовсе не	3	4
49	а на	3	4
50	в своей	6	4
51	даже в	3	4
52	другой стороны	5	4
53	так в	4	4
54	тогда как	15	4
55	и даже	2	4
56	но он	3	4
57	перед нами	2	3
58	он должен	2	3
59	из этих	3	3
60	в том	16	3
61	том что	9	3
62	при этом	12	3
63	от своего	2	3
64	и другие	2	3
65	как бы	5	3
66	все эти	2	3
67	а также	6	3
68	данном случае	5	3
69	что она	2	3
70	а именно	2	3
71	не на	2	3
72	как это	8	3
73	между ними	4	3
74	или в	3	3
75	на смену	4	3
76	в данном	8	3
77	только в	6	3
78	в русской	6	3
79	человека с	2	3
80	не могут	2	2
81	не менее	4	2
82	никогда не	4	2
83	однако в	7	2
84	в своем	4	2
85	таких случаях	2	2
86	и тем	3	2
87	тем не	3	2
88	ни в	2	2
89	представляет собой	9	2
90	есть в	2	2
91	говорит что	2	2
92	если бы	3	2
93	такого рода	8	2
94	у нас	2	2
95	в частности	16	2
96	хотя и	3	2
97	в роли	3	2
98	по своей	3	2
99	не могло	2	2
100	в нем	4	2
101	себя в	6	2
102	в целом	3	2
103	отношение к	5	2
104	дело не	2	2
105	в тексте	14	2
106	в форме	2	2
107	все это	2	2
108	на языке	2	2
109	и вот	3	2
110	лишь в	6	2
111	того что	4	2
112	не случайно	5	2
113	сказать что	3	2
114	имеем в	3	2
115	в себе	9	2
116	в этой	3	2
117	этого слова	3	2
118	в области	4	2
