N	2gram	Propp_Isto_4	Sovremen
1	не может	6	17
2	может быть	14	12
3	таким образом	10	11
4	в этом	7	7
5	и в	26	7
6	и не	9	6
7	как и	7	6
8	мы можем	6	6
9	только одна	2	6
10	ничего не	5	6
11	все эти	3	5
12	как бы	3	4
13	мы видели	6	4
14	в целом	2	4
15	вместе с	6	4
16	это не	5	4
17	а в	8	4
18	вопрос о	4	4
19	не только	15	4
20	с помощью	2	4
21	же это	2	4
22	в том	3	4
23	в дальнейшем	6	4
24	их в	7	4
25	из них	2	4
26	мы должны	5	4
27	так как	9	4
28	уже в	2	3
29	но мы	3	3
30	все же	9	3
31	видели что	3	3
32	он может	2	3
33	все это	2	3
34	то же	8	3
35	в нем	2	3
36	а не	6	3
37	для нас	3	3
38	у нас	2	3
39	не в	5	3
40	в этой	2	3
41	одна из	2	3
42	еще не	6	3
43	он в	4	3
44	при этом	3	3
45	было бы	2	3
46	в одном	5	3
47	и все	2	3
48	как он	6	3
49	в себе	2	3
50	в области	2	3
51	что она	3	3
52	но в	5	3
53	не могут	2	2
54	что это	2	2
55	не менее	2	2
56	и есть	2	2
57	в виде	2	2
58	в некоторых	5	2
59	у него	5	2
60	на котором	3	2
61	и во	2	2
62	из этих	3	2
63	или же	3	2
64	как мы	5	2
65	уже не	5	2
66	и что	5	2
67	и пр	11	2
68	из которых	5	2
69	на этот	2	2
70	и даже	4	2
71	дает нам	4	2
72	и по	5	2
73	тем не	2	2
74	мы знаем	8	2
75	он должен	3	2
76	мы видим	6	2
77	но все	5	2
78	на этом	2	2
79	знаем что	7	2
80	а на	4	2
81	могут быть	6	2
82	с этим	2	2
83	и они	2	2
84	что в	14	2
85	не дает	2	2
86	же самое	2	2
87	которой он	2	2
88	на его	3	2
89	такого рода	2	2
90	в его	5	2
