N	2gram	Medvedev_V_1	PoTuStor
1	может быть	22	17
2	и в	26	16
3	прежде всего	13	9
4	таким образом	31	9
5	в этом	26	9
6	и его	6	8
7	точки зрения	3	8
8	не может	17	8
9	с его	3	7
10	сказать что	5	7
11	не только	25	7
12	и к	3	6
13	для него	8	6
14	все эти	6	5
15	что такое	2	5
16	в чем	2	5
17	еще не	2	5
18	как бы	5	5
19	в нем	6	4
20	и их	3	4
21	отнюдь не	3	4
22	но и	10	4
23	так и	5	4
24	все это	10	4
25	хотя бы	19	4
26	и не	19	4
27	и ее	4	4
28	можно сказать	4	4
29	и наконец	2	4
30	и даже	2	4
31	с ними	4	4
32	в этой	4	4
33	художественного творчества	18	4
34	и может	2	4
35	только в	7	4
36	его в	3	4
37	но в	2	4
38	в его	14	4
39	во время	3	3
40	мы знаем	3	3
41	что в	10	3
42	жизни и	3	3
43	и есть	5	3
44	во всех	6	3
45	и др	9	3
46	могут быть	5	3
47	вместе с	7	3
48	никаких оснований	2	3
49	даже не	2	3
50	в одном	4	3
51	крайней мере	2	3
52	в том	15	3
53	а в	3	3
54	том что	8	3
55	и как	3	3
56	с другими	2	3
57	то что	6	3
58	их в	6	3
59	по крайней	2	3
60	и художественного	3	3
61	в общем	2	3
62	и бессознательное	2	3
63	представлений и	2	3
64	мира и	3	3
65	на язык	2	3
66	как это	12	3
67	в области	2	3
68	в основном	5	3
69	в конечном	7	3
70	и потому	2	3
71	между ними	3	3
72	и этот	2	2
73	не менее	2	2
74	ее в	4	2
75	это делает	3	2
76	нет и	3	2
77	один из	5	2
78	не могут	7	2
79	что и	3	2
80	же как	2	2
81	конечном счете	5	2
82	в частности	11	2
83	никогда не	4	2
84	что не	3	2
85	в них	4	2
86	во всей	2	2
87	из этих	7	2
88	определить как	2	2
89	с этим	3	2
90	в жизни	2	2
91	то же	10	2
92	с нею	2	2
93	и через	2	2
94	что оно	3	2
95	к этому	9	2
96	нет никаких	2	2
97	сводится к	3	2
98	что он	4	2
99	сновидения и	2	2
100	что мы	2	2
101	у него	6	2
102	в науке	2	2
103	и по	3	2
104	и для	2	2
105	как и	7	2
106	на основе	5	2
107	они не	2	2
108	так же	3	2
109	и образы	3	2
110	знаем что	2	2
111	он не	2	2
112	образов и	4	2
113	можно определить	2	2
114	при всей	2	2
115	между собою	2	2
116	всех его	2	2
117	всех других	3	2
118	момент в	3	2
119	говорить о	2	2
120	в пределах	5	2
121	ту же	2	2
122	было бы	7	2
123	о том	10	2
124	в самом	4	2
125	во сне	21	2
126	но как	3	2
127	в своей	4	2
128	только то	2	2
