N	2gram	Potebnia_M_1	NovoeSre
1	а не	21	17
2	не может	22	16
3	и в	39	16
4	и не	18	11
5	и есть	2	10
6	что в	22	9
7	жизни и	2	8
8	он не	3	8
9	в том	26	8
10	не будет	2	7
11	как и	9	7
12	в этом	15	7
13	к новому	2	7
14	может быть	27	7
15	никогда не	4	6
16	не в	15	6
17	но это	5	6
18	в нем	20	5
19	в жизни	3	5
20	с ее	2	5
21	в ней	7	5
22	не только	21	5
23	не менее	6	4
24	то что	10	4
25	в них	3	4
26	это не	7	4
27	и все	3	4
28	не было	4	4
29	не имеет	5	4
30	и для	5	4
31	должно быть	7	4
32	потому что	52	4
33	прежде всего	4	4
34	о том	2	4
35	и потому	5	4
36	но и	20	3
37	не есть	10	3
38	не существует	2	3
39	должна быть	3	3
40	в своей	3	3
41	в истории	7	3
42	с другой	7	3
43	вопрос о	4	3
44	во всех	5	3
45	перейти к	2	3
46	эти формы	2	3
47	к тому	4	3
48	в мире	3	3
49	с тем	5	3
50	духа и	7	3
51	подобно тому	3	3
52	как в	10	3
53	она не	3	3
54	еще не	6	3
55	тому как	4	3
56	за пределы	2	3
57	сказать что	3	3
58	к ним	2	3
59	что все	3	2
60	времени и	2	2
61	том и	2	2
62	самый процесс	2	2
63	вместе с	8	2
64	в природе	6	2
65	все они	2	2
66	так и	13	2
67	для этого	2	2
68	мысли и	9	2
69	другой стороны	5	2
70	и от	3	2
71	а в	5	2
72	с одной	3	2
73	этом смысле	4	2
74	думать что	3	2
75	стремление к	2	2
76	из глубины	2	2
77	свободы и	3	2
78	уже не	2	2
79	того чтобы	2	2
80	одной стороны	3	2
81	зависит от	5	2
82	и даже	4	2
83	хотя бы	2	2
84	духовной жизни	2	2
85	но не	8	2
86	так же	5	2
87	мы не	10	2
88	том что	16	2
89	в смысле	4	2
90	есть в	2	2
91	и с	3	2
92	и что	10	2
93	могут быть	9	2
94	с этим	7	2
95	в себе	13	2
96	в то	4	2
97	не могла	2	2
98	как будто	2	2
99	познания и	2	2
100	и это	3	2
101	не имеют	5	2
102	ни одна	2	2
103	когда мы	2	2
104	и должно	2	2
105	мысли в	9	2
106	не могли	2	2
107	хотя и	3	2
108	к духу	4	2
109	но в	9	2
110	помнить что	3	2
