N	2gram	Ircho_Kome_3	Myshleni
1	в этом	8	29
2	точки зрения	4	28
3	и в	22	26
4	не только	5	24
5	то что	4	24
6	таким образом	12	23
7	с точки	3	21
8	представляет собой	3	19
9	и речи	4	19
10	того чтобы	6	19
11	в том	12	18
12	и не	21	18
13	для того	6	18
14	том что	13	17
15	потому что	10	16
16	как и	3	15
17	этом случае	2	14
18	так же	4	14
19	так как	11	14
20	как мы	2	14
21	с помощью	4	13
22	что в	5	12
23	вместе с	9	12
24	и его	6	12
25	в которой	3	11
26	но и	4	11
27	не может	3	11
28	что они	2	10
29	в развитии	2	10
30	по своему	3	9
31	тому что	2	9
32	в самом	9	9
33	по сравнению	2	9
34	что мы	2	9
35	в сущности	2	9
36	тем что	5	9
37	в себе	4	9
38	то же	7	8
39	что она	4	8
40	сравнению с	2	8
41	что он	8	8
42	самого начала	4	7
43	к тому	6	7
44	представление о	2	7
45	прежде всего	5	7
46	с самого	4	7
47	может быть	6	7
48	и к	3	7
49	мы не	2	7
50	в какой	3	6
51	по отношению	5	6
52	как бы	3	6
53	между собой	4	6
54	в ее	3	6
55	все что	3	6
56	и что	6	6
57	было бы	3	6
58	во всех	2	6
59	все же	4	6
60	самом деле	6	6
61	а не	4	6
62	что эта	2	6
63	на вопрос	2	5
64	с этой	3	5
65	что с	2	5
66	до конца	4	5
67	одной стороны	3	5
68	если бы	8	5
69	в виду	2	5
70	в целом	3	5
71	с одной	3	5
72	и с	4	5
73	себе в	3	5
74	в начале	3	5
75	же самое	3	5
76	бы в	4	5
77	как это	5	5
78	с тем	4	5
79	из всех	2	5
80	в силу	2	5
81	в качестве	2	5
82	она не	2	5
83	отношению к	3	5
84	только что	7	5
85	если мы	2	5
86	тем же	3	5
87	и для	4	5
88	не менее	5	4
89	не могут	2	4
90	никогда не	3	4
91	с другой	4	4
92	в конце	7	4
93	на то	3	4
94	так что	6	4
95	речи о	4	4
96	в котором	2	4
97	не по	7	4
98	целый ряд	2	4
99	друг друга	4	4
100	и во	2	4
101	в его	8	4
102	о том	8	4
103	но в	5	4
104	о чем	7	4
105	стороны и	2	4
106	связи с	5	4
107	чем в	3	4
108	еще не	6	4
109	одной из	3	4
110	как в	2	4
111	приводит к	3	4
112	ситуации в	3	4
113	не в	4	4
114	едва ли	7	4
115	в области	2	4
116	что ему	2	3
117	все это	5	3
118	это не	2	3
119	тем не	3	3
120	в ней	4	3
121	в основе	2	3
122	между ними	2	3
123	не является	4	3
124	этом отношении	2	3
125	он не	5	3
126	нуждается в	2	3
127	с ним	5	3
128	состоит в	2	3
129	об этом	7	3
130	о его	2	3
131	в то	6	3
132	до сих	9	3
133	и о	2	3
134	нет и	4	3
135	что и	8	3
136	в своей	5	3
137	сих пор	9	3
138	так и	4	3
139	как раз	6	3
140	из того	3	3
141	к нему	5	3
142	с другими	2	3
143	мы можем	3	3
144	в этой	3	3
145	уже в	2	2
146	прежде чем	3	2
147	себя и	2	2
148	столь же	3	2
149	само собой	4	2
150	одного из	3	2
151	то время	2	2
152	мы знаем	2	2
153	а по	5	2
154	ни в	10	2
155	его от	2	2
156	что его	5	2
157	ли не	2	2
158	которой мы	2	2
159	вывод что	2	2
160	свою очередь	6	2
161	в свою	7	2
162	на его	2	2
163	несмотря на	4	2
164	не мог	2	2
165	одним из	2	2
166	но если	3	2
167	в конечном	2	2
168	один из	3	2
169	в нем	3	2
170	отношение к	5	2
171	в их	2	2
172	отношения к	2	2
173	время как	2	2
174	не имеет	3	2
175	а в	7	2
176	что для	2	2
177	в своих	2	2
178	в которых	5	2
179	его в	8	2
180	к этой	2	2
181	во время	6	2
182	конечном счете	2	2
183	от нее	3	2
184	с этим	3	2
185	к этому	6	2
186	вовсе не	4	2
187	себя от	2	2
188	и здесь	4	2
189	а затем	2	2
190	раз в	2	2
191	идет о	3	2
192	совершенно не	2	2
193	наряду с	2	2
194	должно было	3	2
195	к ней	8	2
196	из этого	2	2
197	на основании	2	2
198	в отношении	4	2
199	даже если	2	2
200	что не	3	2
201	из которых	2	2
202	и он	2	2
203	какой мере	2	2
204	можно было	2	2
205	во всяком	3	2
206	и ее	2	2
207	не могла	3	2
208	на ее	3	2
209	если же	2	2
210	отличие от	2	2
211	ничего не	3	2
