N	2gram	Savitsky_P_1	Myshleni
1	в этом	10	29
2	точки зрения	3	28
3	и в	14	26
4	не только	17	24
5	то что	4	24
6	с точки	3	21
7	в том	9	18
8	и не	12	18
9	для того	3	18
10	том что	4	17
11	потому что	3	16
12	того что	2	14
13	что в	4	12
14	но и	6	11
15	не может	4	11
16	по сравнению	2	9
17	что мы	3	9
18	в себе	3	9
19	то же	9	8
20	тем самым	3	8
21	только в	7	8
22	прежде всего	3	7
23	может быть	5	7
24	и к	4	7
25	мы не	3	7
26	в смысле	6	6
27	и тем	2	6
28	именно в	2	6
29	заключается в	3	6
30	как на	2	6
31	мы должны	4	6
32	как бы	4	6
33	в ее	2	6
34	было бы	6	6
35	во всех	2	6
36	а не	2	6
37	одной стороны	3	5
38	если бы	4	5
39	с одной	3	5
40	никак не	2	5
41	и с	2	5
42	в начале	2	5
43	с тем	3	5
44	в силу	2	5
45	в качестве	9	5
46	является в	2	5
47	не менее	2	4
48	с другой	5	4
49	в котором	4	4
50	если в	2	4
51	в его	2	4
52	нужно было	2	4
53	но в	9	4
54	стороны и	2	4
55	не в	5	4
56	в области	11	4
57	друг другу	2	3
58	все это	2	3
59	это не	3	3
60	но также	4	3
61	слова но	2	3
62	есть в	2	3
63	из важнейших	2	3
64	в ней	6	3
65	по себе	4	3
66	есть не	2	3
67	в то	7	3
68	но не	3	3
69	и о	5	3
70	и потому	4	3
71	как раз	2	3
72	столь же	3	2
73	для нас	2	2
74	в нем	3	2
75	отношения к	2	2
76	и других	2	2
77	своем значении	2	2
78	должно быть	2	2
79	а в	4	2
80	в которых	5	2
81	и есть	2	2
82	с этим	2	2
83	на этих	2	2
84	наряду с	3	2
85	время в	2	2
86	во всей	2	2
87	в отношении	10	2
88	могут быть	3	2
89	может и	2	2
