N	2gram	Bakhtin_fo_2	Problema
1	и в	46	44
2	вовсе не	13	37
3	и не	9	35
4	то есть	10	34
5	может быть	7	28
6	потому что	8	25
7	по себе	2	25
8	то что	7	23
9	в том	10	21
10	только в	11	19
11	а не	4	18
12	в этом	22	17
13	также и	4	16
14	и даже	3	14
15	не только	11	14
16	не в	9	13
17	и т	14	13
18	т д	3	13
19	то же	8	13
20	так что	4	12
21	но в	10	12
22	том что	4	12
23	не является	3	11
24	но и	9	10
25	в виду	3	10
26	отнюдь не	4	10
27	у нас	2	10
28	как и	8	10
29	так и	7	10
30	это не	2	9
31	и от	2	9
32	в нем	5	9
33	и с	6	9
34	же самое	3	9
35	как бы	10	9
36	так как	6	9
37	что он	3	9
38	в то	5	9
39	в его	8	9
40	что и	3	9
41	в данном	2	9
42	во всяком	2	9
43	и это	2	9
44	таким образом	3	9
45	что в	5	8
46	или иной	2	8
47	смысле слова	2	8
48	того что	3	8
49	но это	2	8
50	было бы	2	8
51	он не	5	8
52	как мы	6	8
53	в себе	4	8
54	связи с	8	8
55	здесь не	2	8
56	с другой	2	7
57	вещи и	2	7
58	не может	2	7
59	в связи	8	7
60	уже не	3	7
61	все эти	5	7
62	с ним	4	7
63	и потому	2	7
64	значит что	2	7
65	никогда не	6	6
66	можно сказать	2	6
67	жизни и	8	6
68	и только	2	6
69	сами по	2	6
70	и к	2	6
71	о том	4	6
72	все же	6	6
73	не было	3	5
74	в конце	2	5
75	что они	4	5
76	с тем	2	5
77	и есть	2	5
78	хотя и	3	5
79	все это	6	5
80	в своем	5	5
81	а в	3	5
82	точки зрения	10	5
83	что здесь	2	5
84	значение и	4	5
85	этом случае	2	5
86	еще не	6	5
87	и о	2	5
88	как в	4	5
89	так же	2	5
90	и его	12	5
91	это значит	3	4
92	при этом	6	4
93	на первый	3	4
94	самое время	3	4
95	мы уже	9	4
96	а также	3	4
97	тем что	3	4
98	уже в	4	3
99	и другие	3	3
100	прежде всего	14	3
101	к тому	3	3
102	без всякого	2	3
103	и как	3	3
104	в этой	2	3
105	для него	3	3
106	кроме того	3	3
107	жизни а	2	3
108	отношения к	4	3
109	чем не	2	3
110	но эта	2	3
111	с этой	4	3
112	в которых	3	3
113	его в	6	3
114	же в	4	3
115	говорить о	2	3
116	то в	2	3
117	тем более	3	3
118	но не	5	3
119	в качестве	3	3
120	здесь в	6	3
121	она не	2	3
122	в заключение	2	3
123	быть и	2	3
124	если не	2	3
125	и все	6	3
126	в той	2	3
127	слова и	3	3
128	не был	2	2
129	мы будем	3	2
130	именно в	2	2
131	в частности	5	2
132	в этих	3	2
133	все они	3	2
134	в отношении	2	2
135	того же	3	2
136	что все	2	2
137	ее и	2	2
138	всех этих	7	2
139	до сих	2	2
140	совсем не	2	2
141	о чем	3	2
142	ни для	2	2
143	тем же	2	2
144	ii гл	12	2
145	в котором	4	2
146	друг от	2	2
147	из них	8	2
148	для чего	2	2
149	и до	2	2
150	еще нет	3	2
151	в их	3	2
152	она ни	3	2
153	за счет	3	2
154	с одной	2	2
155	бы нас	2	2
156	и по	3	2
157	столько же	2	2
158	как на	2	2
159	в основе	6	2
160	с этим	5	2
161	как это	2	2
162	мы имеем	2	2
163	том как	3	2
164	в самой	2	2
165	и более	2	2
166	и идей	3	2
167	на котором	2	2
168	на нас	3	2
169	и во	6	2
170	человеческую жизнь	2	2
171	о его	2	2
172	по существу	5	2
173	мы видели	2	2
174	по своему	2	2
175	есть и	4	2
176	от друга	2	2
177	во всех	11	2
178	бы она	2	2
179	вместе с	9	2
180	сих пор	2	2
181	человеческой жизни	4	2
182	жизнь и	3	2
183	этих образов	2	2
184	и у	5	2
185	и для	9	2
186	с точки	8	2
187	и всегда	2	2
188	у них	2	2
189	почти всегда	2	2
190	первый план	2	2
191	могут быть	2	2
192	в другом	3	2
193	жизни но	2	2
194	ни была	2	2
