N	2gram	Medvedev_U_1	formyVre
1	и в	14	50
2	в этом	7	25
3	прежде всего	8	15
4	и не	8	14
5	как раз	2	13
6	в его	2	13
7	по существу	2	12
8	может быть	6	11
9	таким образом	2	11
10	то же	5	11
11	но в	3	10
12	в конце	2	9
13	в том	2	9
14	же время	3	9
15	в то	3	9
16	не только	10	9
17	с его	2	9
18	ничего не	2	9
19	в самом	2	8
20	но и	4	8
21	как и	3	8
22	все же	3	6
23	в частности	3	6
24	это не	3	6
25	в их	4	6
26	не может	7	6
27	то что	7	6
28	не в	2	5
29	всех этих	2	5
30	если бы	2	5
31	но не	2	5
32	и у	2	5
33	могут быть	2	5
34	мы и	2	4
35	все это	5	4
36	и с	2	4
37	именно как	2	4
38	конечно не	4	4
39	том что	2	4
40	и для	2	4
41	и то	3	4
42	только в	2	4
43	не могут	2	3
44	формы и	2	3
45	этом отношении	2	3
46	а как	2	3
47	только к	3	3
48	что и	2	3
49	сих пор	2	3
50	а не	10	3
51	мы не	2	3
52	нас в	2	3
53	в себе	2	3
54	до сих	2	3
55	его и	2	2
56	с другой	4	2
57	что все	2	2
58	в широком	2	2
59	для него	3	2
60	не о	3	2
61	в некоторых	2	2
62	в буквальном	2	2
63	их и	2	2
64	и является	2	2
65	что мы	2	2
66	сколько угодно	2	2
67	для всех	2	2
68	не как	3	2
69	по себе	2	2
70	но конечно	2	2
71	было бы	3	2
72	в своей	3	2
73	хотя бы	5	2
74	тем что	2	2
