N	3gram	Bakhtin_Pr_3	Marksizm
1	с точки зрения	4	20
2	не может быть	6	13
3	в самом деле	3	9
4	и не может	2	9
5	то ни было	4	8
6	бы то ни	4	8
7	в отличие от	2	5
8	с другой стороны	3	5
9	как мы знаем	2	5
10	с самого начала	8	4
11	в отношении к	7	4
12	в большинстве случаев	2	3
13	все без исключения	2	3
14	в то же	12	3
15	то же время	12	3
16	в конце концов	3	3
17	вполне понятно что	2	3
18	внутреннего и внешнего	2	3
19	в высшей степени	3	3
20	в этом случае	2	3
21	смысле этого слова	2	2
22	слова и его	3	2
23	в пределах одного	2	2
24	тем не менее	2	2
25	сама по себе	2	2
26	но в то	3	2
27	во всяком случае	5	2
28	сводится к тому	2	2
29	и прежде всего	4	2
30	в этом смысле	4	2
31	по отношению к	5	2
32	как и все	2	2
