N	2gram	Savitsky_E_1	Freidism
1	таким образом	2	24
2	и не	14	23
3	не может	9	20
4	точки зрения	23	19
5	прежде всего	9	18
6	в этом	12	15
7	в его	2	15
8	мы можем	3	13
9	может быть	6	13
10	как и	7	11
11	как бы	6	11
12	то что	6	11
13	с точки	17	11
14	и потому	5	10
15	так и	10	10
16	как мы	5	10
17	но в	14	10
18	и в	37	9
19	во всех	6	9
20	в своей	8	8
21	он не	2	8
22	не только	18	8
23	то же	15	8
24	только в	9	8
25	и все	2	8
26	так как	7	8
27	к нему	2	7
28	во всяком	3	7
29	мы видели	3	7
30	в самом	4	7
31	что же	2	7
32	и наконец	2	7
33	сказать что	4	7
34	всяком случае	3	7
35	никогда не	3	6
36	вовсе не	6	6
37	того что	7	6
38	в ней	4	6
39	хотя бы	15	6
40	и с	2	6
41	культурного творчества	2	5
42	и к	3	5
43	он сам	2	5
44	в свою	3	5
45	можно сказать	4	5
46	не в	5	5
47	в этой	2	5
48	в то	16	5
49	в большинстве	2	5
50	что в	21	5
51	но и	14	5
52	и прежде	3	5
53	для того	6	5
54	а в	2	5
55	и на	6	5
56	могут быть	2	5
57	с этим	2	5
58	в каком	4	5
59	мы должны	2	5
60	большинстве случаев	3	5
61	но не	5	4
62	в котором	2	4
63	в этих	2	4
64	то ни	4	4
65	в пределах	25	4
66	не дает	3	4
67	с другими	2	4
68	к тому	8	4
69	же время	14	4
70	данном случае	2	4
71	на основании	2	4
72	между ними	2	4
73	того чтобы	6	4
74	и для	3	4
75	мы не	4	4
76	в таком	3	4
77	в данном	3	4
78	этот вопрос	2	4
79	потому что	3	4
80	не могут	2	3
81	главным образом	2	3
82	если бы	2	3
83	в них	3	3
84	во втором	2	3
85	и от	3	3
86	на себя	3	3
87	что все	2	3
88	всего к	2	3
89	в себе	9	3
90	и как	2	3
91	по своему	7	3
92	она не	2	3
93	было бы	8	3
94	в общем	3	3
95	ни на	3	3
96	ее в	3	3
97	бы то	4	3
98	жизни и	2	3
99	когда он	3	3
100	вместе с	2	3
101	этот процесс	2	3
102	со стороны	5	3
103	тому чтобы	2	3
104	как в	3	3
105	и что	2	3
106	свою очередь	2	3
107	на этот	2	3
108	можем сказать	2	3
109	и по	5	3
110	такой же	2	3
111	не является	3	3
112	в отношении	32	2
113	на всем	4	2
114	что это	2	2
115	между собой	2	2
116	в какой	2	2
117	того же	3	2
118	с другой	7	2
119	и теперь	2	2
120	для понимания	2	2
121	не можем	2	2
122	для нас	4	2
123	в ее	8	2
124	влияние на	2	2
125	ни было	4	2
126	том что	6	2
127	в прошлом	3	2
128	а не	2	2
129	связано с	3	2
130	одной стороны	8	2
131	лежат в	4	2
132	из них	3	2
133	но если	5	2
134	притом в	2	2
135	в процессе	4	2
136	в своем	14	2
137	точка зрения	2	2
138	в развитии	2	2
139	во второй	3	2
140	как не	2	2
141	также в	2	2
142	в их	11	2
143	во всей	2	2
144	и таким	2	2
145	этом отношении	3	2
146	с одной	8	2
147	из того	2	2
148	заметить что	2	2
149	и даже	6	2
150	и притом	4	2
151	так же	9	2
152	как на	3	2
153	на основе	2	2
154	мы видим	2	2
155	и то	2	2
156	от этого	5	2
157	в психологии	3	2
158	в своих	2	2
159	что и	3	2
160	но как	2	2
161	при помощи	2	2
162	как это	4	2
163	в области	11	2
164	в эту	2	2
165	и поэтому	2	2
