N	2gram	Bakhtin_Pr_5	UchenyiS
1	и в	35	14
2	а не	4	10
3	не только	10	10
4	и не	27	8
5	прежде всего	12	8
6	то что	10	7
7	в этом	14	7
8	не может	18	7
9	может быть	14	6
10	хотя бы	2	5
11	все это	14	5
12	то же	15	5
13	но и	14	4
14	конечно не	2	4
15	с другой	4	4
16	но в	19	3
17	как и	18	3
18	и то	5	3
19	все же	8	3
20	в своей	4	3
21	бы то	3	3
22	для этого	2	3
23	то ни	3	3
24	же время	10	3
25	другой стороны	3	3
26	для него	14	3
27	это не	3	3
28	в то	11	3
29	не как	3	3
30	было бы	3	3
31	и т.д	3	3
32	не о	4	3
33	ни было	3	3
34	но конечно	2	2
35	смысле этого	2	2
36	том что	3	2
37	но не	6	2
38	в том	5	2
39	с его	7	2
40	не в	10	2
41	всех этих	2	2
42	и для	8	2
43	но это	6	2
44	бы и	2	2
45	должна была	2	2
46	этом смысле	3	2
47	не случайно	2	2
48	это уже	2	2
49	только в	6	2
50	и с	12	2
51	тем что	4	2
52	его и	3	2
53	даже и	3	2
54	что он	24	2
55	и у	4	2
56	в себе	5	2
57	как раз	4	2
58	в конце	5	2
59	что все	2	2
60	в самом	6	2
61	в сторону	2	2
62	по себе	4	2
63	сводится к	3	2
64	надо было	2	2
65	ничего не	3	2
66	самом деле	10	2
67	а как	2	2
68	а между	3	2
69	что и	3	2
70	в его	21	2
71	между тем	4	2
72	конце концов	3	2
73	таким образом	7	2
74	материал для	2	2
75	же не	4	2
76	это было	2	2
