N	2gram	Propp_Isto_3	Tragedij
1	и в	22	18
2	в этом	17	9
3	не только	14	8
4	и не	12	7
5	и на	4	7
6	и с	4	7
7	может быть	11	7
8	что он	9	6
9	и его	4	6
10	у него	3	6
11	но в	10	6
12	все же	5	5
13	к жизни	2	5
14	так и	2	5
15	это не	6	5
16	не может	4	5
17	то же	6	5
18	а я	2	5
19	в дальнейшем	4	5
20	как и	3	5
21	в то	2	5
22	но и	12	4
23	то что	7	4
24	в целом	3	4
25	что в	15	4
26	я не	3	4
27	прежде всего	3	4
28	и все	3	4
29	в нем	9	4
30	и даже	2	4
31	так же	3	4
32	том что	8	4
33	но это	3	4
34	в этой	5	4
35	и что	2	4
36	еще не	10	4
37	один из	5	3
38	в своем	2	3
39	никто не	2	3
40	как в	2	3
41	все эти	4	3
42	и он	2	3
43	и как	3	3
44	к нему	5	3
45	в его	3	3
46	при этом	2	3
47	как будто	2	3
48	как это	4	3
49	не имеет	2	2
50	но они	2	2
51	что и	9	2
52	в частности	5	2
53	я буду	2	2
54	данном случае	3	2
55	то и	6	2
56	дома и	3	2
57	вопрос о	2	2
58	уже не	7	2
59	отношение к	4	2
60	к тому	3	2
61	и здесь	7	2
62	ни в	2	2
63	в том	9	2
64	друг друга	6	2
65	но все	2	2
66	так что	5	2
67	не в	4	2
68	точно так	2	2
69	в данном	4	2
70	и то	2	2
71	в русском	2	2
72	одна из	2	2
73	потому что	3	2
74	этим объясняется	3	2
75	с тем	2	2
76	тем что	4	2
77	в виде	2	2
78	он и	3	2
79	и ее	3	2
80	о том	3	2
81	его в	3	2
82	и это	2	2
83	не мог	2	2
84	ничего не	6	2
85	он не	5	2
86	в одном	2	2
87	что она	5	2
88	никогда не	3	2
89	одном из	3	2
