N	2gram	Vinokur_St_1	formyVre
1	и в	44	46
2	в этом	21	22
3	прежде всего	7	14
4	и т	30	14
5	вовсе не	19	13
6	и его	8	12
7	только в	10	11
8	не только	18	11
9	во всех	8	11
10	т п	9	11
11	во время	3	10
12	в том	36	10
13	как бы	4	10
14	точки зрения	11	10
15	то есть	2	10
16	но в	10	10
17	у него	2	9
18	не в	12	9
19	но и	10	9
20	и не	16	9
21	и для	3	9
22	как и	9	8
23	в его	9	8
24	жизни и	5	8
25	то же	5	8
26	того чтобы	11	8
27	для того	10	8
28	с точки	8	8
29	потому что	6	8
30	из них	8	8
31	всех этих	2	7
32	может быть	15	7
33	то что	18	7
34	так и	9	7
35	никогда не	5	6
36	и во	2	6
37	и все	2	6
38	при этом	2	6
39	еще не	3	6
40	его в	2	6
41	все же	8	6
42	все это	5	6
43	в основе	3	6
44	так как	5	6
45	и с	3	6
46	в частности	4	5
47	в своем	2	5
48	с этим	3	5
49	связанные с	3	5
50	по существу	2	5
51	в то	9	5
52	но не	3	5
53	он не	2	5
54	в нем	5	5
55	что в	30	5
56	все эти	5	5
57	и у	2	5
58	уже в	2	4
59	с этой	3	4
60	из этих	6	4
61	же время	4	4
62	том что	29	4
63	так что	6	4
64	что они	7	4
65	в котором	5	4
66	его жизни	3	4
67	и их	2	4
68	конечно не	2	4
69	как в	13	4
70	в эпоху	2	4
71	отношения к	2	4
72	еще более	4	4
73	а не	16	4
74	также и	9	4
75	их в	2	4
76	в себе	2	4
77	в истории	3	4
78	о том	17	4
79	том числе	2	3
80	не было	4	3
81	не является	3	3
82	того же	3	3
83	что он	10	3
84	тем более	4	3
85	в качестве	4	3
86	для него	6	3
87	том как	4	3
88	а также	2	3
89	что на	2	3
90	как можно	2	3
91	что и	6	3
92	отношение к	2	3
93	целый ряд	2	3
94	т д	21	3
95	таким образом	7	3
96	того что	9	3
97	и даже	5	3
98	и по	5	3
99	а в	17	3
100	в которых	5	3
101	тем что	5	3
102	в другом	3	3
103	в этих	2	3
104	и более	2	2
105	числе и	2	2
106	говорить о	2	2
107	гл ii	2	2
108	с другой	9	2
109	это не	8	2
110	и так	3	2
111	что все	2	2
112	представление о	4	2
113	очень часто	3	2
114	в отношении	9	2
115	все в	2	2
116	он был	3	2
117	без всякого	2	2
118	именно в	6	2
119	у нас	11	2
120	в этой	11	2
121	совсем не	2	2
122	а на	3	2
123	более что	2	2
124	она не	2	2
125	было бы	17	2
126	со всеми	2	2
127	в сущности	2	2
128	далее в	2	2
129	вплоть до	5	2
130	и потому	2	2
131	в уста	3	2
132	если в	2	2
133	сих пор	7	2
134	этом случае	2	2
135	быть и	2	2
136	не может	8	2
137	и только	3	2
138	если не	2	2
139	этом отношении	7	2
140	с одной	3	2
141	не для	2	2
142	в двух	3	2
143	в той	6	2
144	лишь в	3	2
145	тем же	3	2
146	эпохи и	3	2
147	так же	5	2
148	другом месте	2	2
149	в данном	14	2
150	но это	6	2
151	то в	3	2
152	от этого	2	2
153	мы имеем	2	2
154	могут быть	5	2
155	но он	2	2
156	что здесь	2	2
157	не могла	2	2
158	не знает	2	2
159	в конце	3	2
160	и это	2	2
161	большое значение	2	2
162	там где	5	2
163	как это	4	2
164	во всяком	6	2
165	значит что	3	2
166	до сих	7	2
