N	2gram	Vinokur_St_1	Problemy
1	и в	44	43
2	и не	16	29
3	т е	15	26
4	может быть	15	23
5	как бы	4	22
6	не может	8	18
7	но и	10	14
8	как и	9	14
9	и т	30	13
10	точки зрения	11	13
11	в этом	21	13
12	что он	10	13
13	в нем	5	12
14	в каждом	3	11
15	не в	12	11
16	не только	18	11
17	прежде всего	7	10
18	но в	10	10
19	в его	9	10
20	никогда не	5	9
21	еще не	3	9
22	в сущности	2	9
23	он не	2	9
24	т п	9	9
25	для него	6	8
26	лишь в	3	8
27	то же	5	8
28	с точки	8	8
29	и его	8	8
30	до сих	7	7
31	и сам	2	7
32	в самом	7	7
33	ведь и	3	7
34	в то	9	7
35	то что	18	7
36	сих пор	7	7
37	что же	6	7
38	а не	16	7
39	в другом	3	7
40	в этих	2	6
41	в том	36	6
42	при этом	2	6
43	в котором	5	6
44	и все	2	6
45	у него	2	6
46	на свой	2	6
47	на то	4	5
48	да и	3	5
49	так что	6	5
50	же время	4	5
51	к нему	2	5
52	все это	5	5
53	по отношению	3	5
54	таким образом	7	5
55	все эти	5	5
56	а в	17	5
57	и с	3	5
58	но ведь	8	5
59	это слово	4	5
60	вовсе не	19	5
61	о том	17	5
62	но не	3	5
63	было бы	17	5
64	и что	4	5
65	отношению к	3	5
66	в той	6	5
67	самом деле	11	5
68	в слове	5	5
69	в себе	2	5
70	я не	7	4
71	что в	30	4
72	в своем	2	4
73	с другой	9	4
74	но это	6	4
75	ни одного	2	4
76	т д	21	4
77	при чем	6	4
78	в результате	3	4
79	их в	2	4
80	же и	4	4
81	но он	2	4
82	во время	3	4
83	так как	5	4
84	то есть	2	4
85	а как	2	4
86	совершенно не	5	4
87	в своей	6	4
88	во всех	8	4
89	там где	5	4
90	на этот	3	4
91	мы не	2	4
92	как раз	4	4
93	этот вопрос	4	4
94	только в	10	4
95	и это	2	4
96	не менее	5	3
97	должна быть	3	3
98	в отношении	9	3
99	это не	8	3
100	он был	3	3
101	такой же	5	3
102	есть в	2	3
103	но для	2	3
104	и их	2	3
105	и только	3	3
106	и даже	5	3
107	ни на	2	3
108	его в	2	3
109	между тем	3	3
110	что так	3	3
111	чем у	2	3
112	если бы	9	3
113	не знает	2	3
114	по существу	2	3
115	того же	3	3
116	она не	2	3
117	со всеми	2	3
118	кажется что	3	3
119	не хочет	2	3
120	за пределы	2	3
121	даже в	3	3
122	что и	6	3
123	все же	8	3
124	на него	2	3
125	так и	9	3
126	другой стороны	7	3
127	также и	9	3
128	и для	3	3
129	не была	2	3
130	той же	5	3
131	можно было	13	3
132	ничего не	2	3
133	тем что	5	3
134	в виде	3	3
135	могут быть	5	3
136	уже в	2	2
137	но на	2	2
138	в сторону	2	2
139	что у	4	2
140	из этих	6	2
141	в конце	3	2
142	была бы	5	2
143	вопрос о	4	2
144	что на	2	2
145	тем не	2	2
146	для нас	7	2
147	ни в	3	2
148	без всякого	2	2
149	который не	2	2
150	но все	4	2
151	что это	4	2
152	например в	8	2
153	и очень	4	2
154	время как	2	2
155	то это	3	2
156	в целом	5	2
157	отношение к	2	2
158	и без	3	2
159	целый ряд	2	2
160	для этого	2	2
161	отношения к	2	2
162	того что	9	2
163	так же	5	2
164	в своих	2	2
165	в которых	5	2
166	а то	2	2
167	сказать что	7	2
168	и так	3	2
169	из них	8	2
170	в первом	2	2
171	во всяком	6	2
172	это место	2	2
173	превращается в	2	2
174	с этим	3	2
175	в такой	2	2
176	быть в	2	2
177	об этом	3	2
178	его жизни	3	2
179	в первой	12	2
180	у нас	11	2
181	то время	2	2
182	из истории	3	2
183	конечно не	2	2
184	этого слова	2	2
185	для себя	3	2
186	дело в	6	2
187	быть и	2	2
188	бы и	4	2
189	как в	13	2
190	это вовсе	2	2
191	а с	3	2
192	еще более	4	2
193	том что	29	2
194	что не	3	2
195	должны быть	3	2
196	тем же	3	2
197	хотя бы	6	2
198	в таком	3	2
199	что этот	2	2
200	и то	5	2
201	бы не	2	2
