N	2gram	Nazirov_Tv_2	Psycholo
1	в том	8	37
2	и в	20	32
3	и что	2	22
4	том что	4	21
5	то что	3	21
6	таким образом	10	21
7	в искусстве	2	21
8	потому что	7	21
9	то есть	5	21
10	что в	7	20
11	так же	5	18
12	может быть	8	18
13	не может	7	17
14	что она	4	16
15	самом деле	2	16
16	что он	6	13
17	при этом	8	13
18	то же	7	13
19	в этом	8	13
20	в самом	3	12
21	не только	13	12
22	так как	3	12
23	в основе	2	11
24	при помощи	2	10
25	как и	6	10
26	и т	13	10
27	когда он	4	10
28	но и	8	10
29	и не	9	10
30	никогда не	11	9
31	как в	4	9
32	в своих	3	9
33	тем что	3	9
34	не менее	2	8
35	не в	4	8
36	т п	2	8
37	такой же	2	7
38	а не	6	7
39	все эти	4	7
40	и его	9	7
41	только в	2	7
42	что они	4	7
43	все время	2	6
44	в этой	5	6
45	и мы	3	6
46	он не	3	6
47	как бы	11	6
48	о том	5	6
49	если бы	4	6
50	отнюдь не	4	5
51	что у	4	5
52	что его	2	5
53	до сих	3	5
54	сих пор	3	5
55	все это	6	5
56	и даже	5	5
57	и на	5	5
58	в то	10	5
59	же как	3	4
60	едва ли	2	4
61	с этой	3	4
62	что на	2	4
63	в чем	4	4
64	и сам	5	4
65	из этого	2	4
66	и по	2	4
67	в нем	3	4
68	все же	5	4
69	из них	2	4
70	наряду с	7	4
71	а в	4	4
72	мы видим	4	4
73	и с	8	4
74	могут быть	2	4
75	в целом	6	4
76	и это	3	4
77	в творчестве	5	4
78	ничего не	4	4
79	и поэтому	2	4
80	между тем	3	4
81	в частности	2	3
82	с другой	2	3
83	в конце	6	3
84	представление о	7	3
85	показывает что	4	3
86	об этом	4	3
87	так что	2	3
88	например в	5	3
89	в своей	6	3
90	может служить	2	3
91	не могли	2	3
92	один из	3	3
93	так и	6	3
94	и ее	2	3
95	в их	3	3
96	евгения онегина	3	3
97	и других	2	3
98	этот вопрос	3	3
99	что не	3	3
100	и он	2	3
101	отказаться от	2	3
102	действующих лиц	2	3
103	в которых	3	3
104	но в	4	3
105	мы не	4	3
106	место в	3	2
107	зависит от	2	2
108	казалось бы	3	2
109	это не	7	2
110	и от	4	2
111	точка зрения	2	2
112	с другими	2	2
113	в одном	2	2
114	а я	2	2
115	но эта	2	2
116	во всяком	2	2
117	сводится к	2	2
118	в романе	15	2
119	же время	7	2
120	еще не	5	2
121	но не	5	2
122	роман и	2	2
123	действия и	2	2
124	вовсе не	2	2
125	на его	4	2
126	том же	2	2
127	в его	10	2
128	всяком случае	2	2
129	в ее	2	2
130	не так	2	2
131	в процессе	2	2
132	вместе с	3	2
133	на него	2	2
134	и без	2	2
135	так в	2	2
136	бы не	2	2
137	другой стороны	2	2
138	т д	11	2
139	а с	3	2
140	не было	2	2
141	роль в	2	2
142	и у	2	2
143	на этот	2	2
144	отличие от	2	2
145	в таком	3	2
146	что этот	2	2
147	но это	5	2
148	их в	2	2
149	и далее	2	2
150	в себе	3	2
151	и вообще	2	2
152	и только	2	2
153	в свете	3	2
154	в которой	2	2
155	же с	9	2
156	к которому	2	2
