N	2gram	Tiupa_Hudo_1	Mirosoze
1	может быть	5	30
2	не только	12	29
3	и в	14	28
4	не может	7	28
5	но и	5	25
6	а не	12	25
7	он не	4	24
8	о человеке	2	23
9	в этом	11	20
10	не было	4	18
11	у него	9	17
12	не в	7	16
13	потому что	5	16
14	в ней	4	15
15	в своей	10	15
16	никогда не	6	14
17	до конца	2	14
18	в нем	3	13
19	человека в	6	13
20	и он	5	12
21	и это	4	12
22	для него	10	11
23	в самом	4	11
24	и не	2	11
25	что в	6	10
26	в своем	4	10
27	в мире	3	10
28	прежде всего	11	10
29	и все	4	10
30	что он	9	10
31	было бы	6	10
32	и потому	2	10
33	в творчестве	3	10
34	человек в	2	9
35	но он	3	9
36	в его	8	9
37	и его	5	9
38	но не	3	8
39	в человеке	2	8
40	быть может	7	7
41	того что	4	7
42	в конце	4	7
43	но в	5	7
44	нет ничего	2	7
45	в себе	11	7
46	в том	12	6
47	в этой	8	6
48	все это	2	6
49	лишь в	3	6
50	и на	3	6
51	он уже	4	6
52	только в	5	6
53	это не	7	5
54	как и	9	5
55	то что	8	5
56	в этих	5	4
57	с этой	2	4
58	не знает	2	4
59	человека не	2	4
60	в их	2	4
61	и по	3	4
62	а в	7	4
63	точки зрения	5	4
64	один из	4	4
65	от него	3	4
66	она не	4	4
67	уже не	7	4
68	тем что	3	4
69	себя и	2	3
70	к тому	7	3
71	в него	2	3
72	заключает в	2	3
73	не имеет	2	3
74	должно быть	2	3
75	особенно в	2	3
76	с этим	3	3
77	его в	3	3
78	и с	4	3
79	на этом	3	3
80	с его	5	3
81	интерес к	5	3
82	в ее	3	3
83	том что	16	3
84	ничего не	8	3
85	на том	2	3
86	себя в	4	3
87	человека его	2	3
88	не была	2	3
89	будто бы	3	3
90	его личности	2	3
91	по своему	3	2
92	и от	4	2
93	своих героев	2	2
94	вопрос о	2	2
95	живет в	2	2
96	о своей	2	2
97	себе и	2	2
98	возвращается к	3	2
99	жизни и	5	2
100	по отношению	8	2
101	все эти	3	2
102	и что	2	2
103	в начале	2	2
104	по своей	4	2
105	как бы	7	2
106	о том	12	2
107	как он	2	2
108	с ним	4	2
109	к этой	3	2
110	если бы	3	2
111	мысли о	2	2
112	жизни в	6	2
113	личности в	7	2
114	отношению к	8	2
115	не стал	2	2
116	в то	8	2
117	как будто	4	2
118	до сих	2	2
119	и к	4	2
120	и когда	3	2
121	о нем	3	2
122	еще в	3	2
123	все же	3	2
124	сих пор	2	2
125	как в	8	2
126	приводит к	3	2
127	человеческой жизни	4	2
128	в центре	4	2
129	т е	4	2
130	того чтобы	3	2
131	и для	3	2
132	эти слова	2	2
133	с того	2	2
