N	2gram	Voloshinov_1	EvropaiE
1	и в	16	37
2	в пределах	2	25
3	точки зрения	8	23
4	что в	3	21
5	не только	7	18
6	с точки	6	17
7	хотя бы	4	15
8	то же	2	15
9	но и	4	14
10	и не	4	14
11	но в	4	14
12	в этом	9	12
13	в том	3	11
14	в области	3	11
15	так и	4	10
16	отнюдь не	4	9
17	прежде всего	9	9
18	не может	8	9
19	только в	4	9
20	так же	2	9
21	было бы	2	8
22	в своей	2	8
23	как и	2	7
24	по своему	2	7
25	нам кажется	2	7
26	так как	4	7
27	с этой	2	6
28	том что	3	6
29	может быть	17	6
30	как бы	5	6
31	то что	3	6
32	во всех	3	6
33	и даже	4	6
34	и на	4	6
35	же как	2	5
36	в частности	2	5
37	как мы	4	5
38	и по	2	5
39	и потому	3	5
40	ни было	2	4
41	можно сказать	4	4
42	в самом	2	4
43	для нас	2	4
44	не на	2	4
45	мы не	2	4
46	и притом	3	4
47	сказать что	7	4
48	в каком	2	4
49	как это	3	4
50	и к	6	3
51	никогда не	2	3
52	в них	2	3
53	вообще не	2	3
54	этом смысле	3	3
55	в общем	3	3
56	мы можем	9	3
57	того же	2	3
58	и мы	2	3
59	всяком случае	3	3
60	что и	2	3
61	не будет	2	3
62	ее в	2	3
63	и только	9	3
64	и для	2	3
65	к ним	2	3
66	во всяком	3	3
67	о том	2	3
68	большинстве случаев	3	3
69	мира и	3	3
70	не могут	2	2
71	в этих	3	2
72	сравнению с	3	2
73	по сравнению	3	2
74	с этим	2	2
75	в большинстве	3	2
76	и все	4	2
77	в одном	3	2
78	и теперь	3	2
79	что на	2	2
80	и как	3	2
81	есть в	2	2
82	но как	2	2
83	между ними	3	2
84	не можем	2	2
85	что это	2	2
86	кажется что	2	2
87	на язык	3	2
88	он не	2	2
89	в его	4	2
90	и этот	2	2
91	не есть	2	2
92	в развитии	2	2
93	жизни и	3	2
94	как не	2	2
95	вместе с	3	2
96	во всей	2	2
97	и таким	2	2
98	а в	3	2
99	таким образом	9	2
100	на них	2	2
101	и других	2	2
102	и наконец	4	2
103	с другими	3	2
104	на основе	2	2
105	мы видим	2	2
106	и с	8	2
107	могут быть	3	2
108	в этой	4	2
109	между собой	2	2
110	можем сказать	2	2
