N	2gram	Propp_Isto_2	Problema
1	в его	6	43
2	и не	11	42
3	и в	15	38
4	не может	5	27
5	может быть	17	26
6	как бы	6	22
7	по отношению	3	21
8	отношению к	3	19
9	и с	4	17
10	и его	3	16
11	в нем	7	15
12	в этом	11	15
13	и т	19	14
14	прежде всего	5	13
15	только в	6	13
16	но не	2	12
17	ни в	2	11
18	к материалу	2	11
19	во всех	2	11
20	и для	2	11
21	к нему	5	10
22	в их	3	10
23	таким образом	7	10
24	но и	14	9
25	его в	10	9
26	не только	18	9
27	в том	6	8
28	и др	4	8
29	было бы	5	8
30	то что	12	8
31	слова в	2	7
32	что в	12	7
33	с другой	2	7
34	не в	7	7
35	как и	2	7
36	еще не	9	7
37	и наконец	5	6
38	а в	12	6
39	все же	9	6
40	самом деле	2	6
41	мы можем	8	6
42	ничего не	7	6
43	то же	10	5
44	это не	2	5
45	при этом	4	5
46	никогда не	15	5
47	все эти	4	5
48	так и	5	5
49	а не	5	5
50	могут быть	2	5
51	материал в	2	4
52	на самом	2	4
53	в ней	4	4
54	в виду	2	4
55	другой стороны	2	4
56	и только	2	4
57	в других	3	4
58	с ними	2	4
59	сказать что	2	4
60	о том	3	4
61	к которому	5	4
62	но в	6	4
63	но они	4	4
64	как в	5	4
65	тем самым	2	4
66	мы здесь	6	4
67	хотя бы	2	4
68	можно было	5	4
69	в себе	4	4
70	здесь не	2	4
71	себя и	2	3
72	дано в	2	3
73	в тех	2	3
74	да и	2	3
75	но это	4	3
76	кроме того	2	3
77	одной стороны	3	3
78	например в	2	3
79	все это	3	3
80	с одной	4	3
81	они не	4	3
82	в область	4	3
83	и на	4	3
84	особенно часто	3	3
85	том что	7	3
86	мы увидим	8	3
87	одной из	4	3
88	мы в	2	3
89	не будем	4	3
90	он не	8	3
91	на него	5	3
92	связь с	4	3
93	приводит к	2	3
94	но с	2	3
95	с другими	2	3
96	не знает	2	3
97	и это	3	3
98	я не	2	2
99	и другие	4	2
100	и есть	5	2
101	в этих	11	2
102	на то	3	2
103	в нашей	2	2
104	в каких	3	2
105	и пр	7	2
106	что это	6	2
107	в котором	5	2
108	здесь нет	2	2
109	другими словами	4	2
110	в связи	5	2
111	в особенности	2	2
112	не было	2	2
113	здесь мы	3	2
114	и что	6	2
115	того что	3	2
116	дает нам	2	2
117	его не	2	2
118	и здесь	9	2
119	к себе	2	2
120	мы должны	4	2
121	как это	3	2
122	в него	2	2
123	мы имеем	15	2
124	следовательно не	2	2
125	и более	2	2
126	он должен	2	2
127	не все	2	2
128	что он	24	2
129	по существу	2	2
130	связи с	8	2
131	одна из	2	2
132	здесь в	2	2
133	она не	5	2
134	в некоторых	2	2
135	так называемый	2	2
136	что и	6	2
137	и именно	2	2
138	всех сторон	4	2
139	человека в	2	2
140	в себя	3	2
141	того чтобы	2	2
142	случае мы	2	2
143	к чему	2	2
144	или в	2	2
145	тем что	4	2
146	и ее	2	2
147	в другом	9	2
148	показать что	2	2
149	в таких	2	2
150	что эта	2	2
151	со всех	4	2
