N	2gram	Tiupa_Vved_1	Marksizm
1	может быть	18	26
2	и не	12	26
3	не может	7	24
4	и в	13	19
5	и его	5	19
6	таким образом	4	17
7	в этом	21	16
8	как бы	4	15
9	прежде всего	7	13
10	как мы	3	13
11	как и	11	12
12	так и	8	11
13	и для	3	11
14	в самом	2	10
15	в нем	5	10
16	в слове	3	10
17	и т.п	9	10
18	самом деле	3	10
19	для него	3	9
20	лишь в	2	9
21	в результате	3	9
22	только в	6	9
23	при этом	26	8
24	но и	19	8
25	не только	20	8
26	все же	6	8
27	то что	6	8
28	без исключения	2	8
29	точка зрения	3	7
30	в направлении	2	7
31	но в	6	7
32	язык как	2	7
33	во всех	2	7
34	бытия в	2	7
35	то же	5	7
36	а не	15	7
37	в том	10	6
38	в пределах	2	6
39	другой стороны	2	6
40	отнюдь не	7	6
41	в его	4	6
42	и того	2	6
43	мы не	4	6
44	так сказать	2	6
45	с другой	5	5
46	не в	6	5
47	до конца	3	5
48	те же	2	5
49	в начале	3	5
50	и все	4	5
51	к этому	2	5
52	в отличие	2	5
53	отличие от	2	5
54	что в	3	4
55	не менее	4	4
56	в ней	4	4
57	не является	3	4
58	не столько	4	4
59	а в	6	4
60	и на	3	4
61	жизни в	4	4
62	по себе	2	4
63	еще не	7	4
64	было бы	4	4
65	что же	3	4
66	как в	4	4
67	в данном	13	4
68	далеко не	4	4
69	он является	2	3
70	место в	2	3
71	этом отношении	4	3
72	в какой	4	3
73	и от	2	3
74	одного из	3	3
75	или иной	3	3
76	можно сказать	4	3
77	высшей степени	2	3
78	же время	3	3
79	в котором	8	3
80	по отношению	7	3
81	не было	2	3
82	того что	6	3
83	не имеет	2	3
84	в то	4	3
85	в высшей	2	3
86	не существует	2	3
87	и к	2	3
88	не утрачивая	2	3
89	том что	7	3
90	он не	3	3
91	в первом	2	3
92	в своей	5	3
93	быть и	2	3
94	целый ряд	2	3
95	на самом	4	3
96	сводится к	4	3
97	между двумя	3	3
98	в области	3	3
99	зависит от	2	2
100	должна быть	2	2
101	в частности	13	2
102	никогда не	4	2
103	в своем	5	2
104	слова но	2	2
105	тем не	3	2
106	свою очередь	4	2
107	в свою	4	2
108	одним из	5	2
109	в нашем	6	2
110	жизни и	7	2
111	имеет место	4	2
112	во втором	2	2
113	ситуации и	3	2
114	можно было	2	2
115	в своих	2	2
116	в одной	2	2
117	из этих	3	2
118	к его	3	2
119	о том	5	2
120	как он	2	2
121	за пределами	3	2
122	бы в	3	2
123	в сознании	4	2
124	и с	2	2
125	в основе	3	2
126	и более	3	2
127	для них	3	2
128	если бы	7	2
129	между собой	2	2
130	установкой на	2	2
131	нового времени	3	2
132	не как	2	2
133	но при	5	2
134	в литературе	2	2
135	в себе	5	2
136	в романе	6	2
137	с установкой	2	2
138	одна из	4	2
139	в качестве	8	2
140	в данной	2	2
141	к тому	6	2
142	не могло	2	2
143	не все	2	2
144	что и	2	2
145	отношению к	7	2
146	бы и	4	2
147	как раз	2	2
148	что такое	18	2
149	мира и	2	2
150	на смену	2	2
151	или иначе	2	2
152	мы можем	2	2
153	тем что	2	2
154	могут быть	4	2
155	могла бы	3	2
156	и т.д	5	2
157	как оно	2	2
