N	3gram	Losev_Vesc_1	Dialekti
1	и т д	19	19
2	с точки зрения	3	12
3	это значит что	19	9
4	сама по себе	3	8
5	в том что	4	7
6	сам по себе	3	6
7	внутреннего и внешнего	2	6
8	не есть ни	3	6
9	по крайней мере	4	4
10	той или другой	2	4
11	одно и то	4	4
12	на то что	2	4
13	с другой стороны	2	4
14	я утверждаю что	2	4
15	и то же	4	4
16	можно сказать что	3	3
17	в конце концов	2	3
18	только то что	2	3
19	содержит в себе	4	3
20	не может быть	6	3
21	но это –	3	3
22	как она есть	3	3
23	и – мы	2	2
24	по сравнению с	6	2
25	к тому что	2	2
26	т д и	5	2
27	что не есть	3	2
28	о том что	4	2
29	и с другой	2	2
30	было бы и	3	2
31	мы говорим что	3	2
32	то что я	2	2
33	с одной стороны	3	2
34	то и другое	4	2
35	даже больше того	4	2
36	значит ли это	4	2
37	то это значит	2	2
38	во всяком случае	2	2
39	д и т	5	2
40	ничто не мешает	2	2
41	я мог бы	4	2
42	что это –	2	2
43	и даже не	3	2
44	ли это что	3	2
45	тех или других	4	2
