N	2gram	Medvedev_F_1	VLabPisa
1	таким образом	13	27
2	в этом	15	26
3	и в	24	25
4	и т	12	24
5	не только	7	22
6	может быть	14	21
7	хотя бы	5	20
8	и не	20	19
9	т е	34	17
10	не может	16	17
11	в его	23	15
12	т д	8	15
13	в процессе	9	14
14	прежде всего	22	13
15	в том	6	13
16	в частности	4	12
17	все это	9	12
18	как это	6	12
19	с другой	5	11
20	в художественном	3	10
21	что в	4	9
22	для него	3	9
23	и др	5	9
24	но и	7	9
25	то же	10	9
26	т п	4	9
27	все эти	6	8
28	в своем	11	8
29	произведения в	8	7
30	в году	2	7
31	же в	3	7
32	как и	11	7
33	было бы	6	7
34	отношению к	4	7
35	во всех	5	7
36	вместе с	2	7
37	по отношению	4	7
38	не было	3	7
39	произведения и	8	7
40	а не	10	7
41	это не	2	6
42	художественного произведения	23	6
43	в себе	3	6
44	это и	3	6
45	то что	8	6
46	более или	6	6
47	главным образом	4	6
48	в основном	3	6
49	в нем	14	6
50	в зависимости	2	6
51	так и	18	6
52	или менее	6	6
53	и его	10	6
54	между тем	2	6
55	в то	9	6
56	в результате	2	5
57	же время	8	5
58	все же	3	5
59	зависимости от	3	5
60	в пределах	6	5
61	связи с	3	5
62	действительности и	3	5
63	в искусстве	5	5
64	как бы	6	5
65	один из	3	5
66	в их	11	5
67	приводит к	2	5
68	на основе	6	5
69	только в	2	5
70	не в	8	5
71	произведения как	2	5
72	к тому	3	4
73	в единстве	7	4
74	никогда не	4	4
75	в одном	2	4
76	в целом	6	4
77	что он	3	4
78	с его	4	4
79	художественном произведении	3	4
80	в ее	8	4
81	одна из	2	4
82	в своей	11	4
83	в самом	5	4
84	должен быть	5	4
85	когда он	3	4
86	художественное произведение	6	4
87	как раз	2	4
88	в них	3	4
89	в связи	4	4
90	чем же	2	4
91	в этой	6	4
92	познания и	4	4
93	и к	4	3
94	всех этих	3	3
95	и ее	10	3
96	с тем	2	3
97	и как	3	3
98	даже и	2	3
99	и от	7	3
100	у нас	5	3
101	по существу	2	3
102	мы видели	2	3
103	как о	4	3
104	с этим	2	3
105	у тургенева	2	3
106	нет и	2	3
107	его в	3	3
108	что и	2	3
109	жизни и	7	3
110	и их	10	3
111	именно в	8	3
112	сводится к	3	3
113	того что	5	3
114	так же	4	3
115	его не	2	3
116	в работе	2	3
117	как на	4	3
118	точки зрения	16	3
119	данного произведения	2	3
120	она не	6	3
121	бы в	3	3
122	не менее	11	2
123	в каждом	3	2
124	только не	2	2
125	и непосредственно	3	2
126	отличается от	3	2
127	формы и	5	2
128	своем содержании	4	2
129	в жизни	3	2
130	вовсе не	10	2
131	а как	2	2
132	по себе	5	2
133	и заключается	2	2
134	стороны и	4	2
135	не приходится	2	2
136	до сих	6	2
137	и потому	9	2
138	но не	3	2
139	но для	3	2
140	в различных	2	2
141	так например	3	2
142	в системе	2	2
143	еще не	6	2
144	одной стороны	4	2
145	и может	4	2
146	в общем	3	2
147	одной из	2	2
148	если бы	4	2
149	том чтобы	2	2
150	на язык	3	2
151	в науке	2	2
152	в ней	10	2
153	и даже	3	2
154	всяком случае	4	2
155	отнюдь не	6	2
156	ни одного	2	2
157	каждой из	3	2
158	не по	3	2
159	сих пор	6	2
160	от того	2	2
161	искусства не	2	2
162	во всей	2	2
163	а в	6	2
164	в особенности	3	2
165	с одной	4	2
166	чтобы не	2	2
167	этом процессе	2	2
168	должны быть	5	2
169	что такое	2	2
170	между ними	3	2
171	у них	3	2
172	художественной структуры	6	2
173	с другими	4	2
174	в своих	2	2
175	во всяком	4	2
176	лишь в	8	2
177	не о	3	2
178	он в	2	2
179	он не	3	2
180	они не	3	2
181	того или	2	2
182	в которой	4	2
183	в области	3	2
184	же как	2	2
185	могло бы	2	2
186	но в	5	2
