N	2gram	Tiupa_Disk_2	Myshleni
1	внутренней речи	3	67
2	в этом	16	29
3	точки зрения	4	28
4	речи в	2	27
5	и в	16	26
6	не только	10	24
7	для себя	2	24
8	то что	5	24
9	с точки	2	21
10	представляет собой	11	19
11	в том	8	18
12	и не	15	18
13	том что	10	17
14	потому что	4	16
15	как и	16	15
16	этом случае	2	14
17	в ходе	2	12
18	что в	5	12
19	вместе с	2	12
20	и его	3	12
21	но и	11	11
22	не может	9	11
23	по своей	6	10
24	в себе	19	9
25	же как	2	8
26	то же	6	8
27	что он	2	8
28	тем самым	6	8
29	той же	2	8
30	только в	3	8
31	прежде всего	7	7
32	может быть	16	7
33	и то	4	7
34	по отношению	4	6
35	именно в	2	6
36	как на	3	6
37	как бы	4	6
38	все эти	3	6
39	все же	6	6
40	а не	14	6
41	можно сказать	3	5
42	одной стороны	4	5
43	в целом	2	5
44	данном случае	6	5
45	с одной	4	5
46	и с	2	5
47	одно из	4	5
48	в качестве	16	5
49	отношению к	4	5
50	и для	2	5
51	в данном	7	5
52	не менее	7	4
53	никогда не	2	4
54	с другой	5	4
55	отношения между	2	4
56	в котором	3	4
57	и наконец	3	4
58	в его	3	4
59	о том	4	4
60	но в	11	4
61	о чем	2	4
62	стороны и	2	4
63	еще не	6	4
64	как в	8	4
65	приводит к	3	4
66	в той	2	4
67	не в	3	4
68	в области	2	4
69	содержит в	2	3
70	все это	2	3
71	это не	3	3
72	из этих	3	3
73	одно и	2	3
74	но это	3	3
75	такой же	2	3
76	есть в	2	3
77	момент в	2	3
78	для него	5	3
79	из важнейших	2	3
80	совпадает с	2	3
81	в ней	2	3
82	в основе	4	3
83	из двух	3	3
84	не является	4	3
85	этом отношении	4	3
86	он не	3	3
87	состоит в	16	3
88	в пределе	3	3
89	переходе от	2	3
90	в то	5	3
91	но не	7	3
92	что и	2	3
93	в своей	6	3
94	так и	9	3
95	в этой	4	3
96	и состоит	2	3
97	перед нами	3	2
98	в этих	3	2
99	столь же	3	2
100	одного из	4	2
101	что на	2	2
102	входит в	2	2
103	ни в	7	2
104	является не	2	2
105	в большинстве	2	2
106	в нем	7	2
107	с ее	2	2
108	отношение к	2	2
109	того и	2	2
110	по природе	2	2
111	ситуации и	2	2
112	должно быть	2	2
113	а в	2	2
114	в своих	6	2
115	также и	3	2
116	к его	4	2
117	его в	3	2
118	и другого	2	2
119	к этому	4	2
120	идет о	2	2
121	об одном	3	2
122	время в	2	2
123	с ней	2	2
124	что же	2	2
125	в отличие	12	2
126	в период	4	2
127	могут быть	3	2
128	и ее	3	2
129	ключом к	2	2
130	отличие от	12	2
131	может и	2	2
