N	2gram	Vinokur_St_3	Narrotol
1	не только	12	26
2	а не	5	17
3	но и	9	15
4	в том	20	14
5	в качестве	4	14
6	и не	10	14
7	том что	15	13
8	и в	25	13
9	в этом	24	13
10	состоит в	4	12
11	такого рода	5	12
12	только в	6	11
13	может быть	19	10
14	своего рода	3	9
15	к тому	2	9
16	так и	5	9
17	а в	6	9
18	то есть	2	9
19	то что	12	8
20	не может	7	8
21	не в	6	8
22	в рамках	2	6
23	никогда не	2	6
24	в жизни	4	6
25	прежде всего	10	6
26	можно сказать	4	6
27	и к	4	6
28	того что	5	6
29	в его	12	6
30	со стороны	3	6
31	все же	4	6
32	у него	9	6
33	как бы	6	6
34	а также	4	6
35	ничего не	4	6
36	но в	5	6
37	место в	6	5
38	точки зрения	7	5
39	не столько	2	5
40	тем не	2	5
41	что он	19	5
42	одной стороны	3	5
43	он не	5	5
44	в котором	5	5
45	и тем	4	5
46	как в	6	5
47	в форме	2	5
48	таким образом	10	5
49	с одной	2	5
50	с другой	5	5
51	на протяжении	4	5
52	в то	7	5
53	о том	8	5
54	ответ на	5	5
55	что это	16	4
56	не менее	2	4
57	если бы	4	4
58	в конце	6	4
59	об этом	5	4
60	как и	4	4
61	времени и	2	4
62	что в	19	4
63	для него	3	4
64	при всей	2	4
65	не является	3	4
66	в своей	4	4
67	то же	5	4
68	в какой	3	4
69	уже не	3	4
70	и у	2	4
71	в рассказе	3	4
72	в другом	3	4
73	в этой	14	4
74	а как	4	3
75	с его	3	3
76	тому что	3	3
77	мы имеем	5	3
78	точку зрения	2	3
79	это не	7	3
80	или иной	2	3
81	о которой	2	3
82	что я	3	3
83	что они	2	3
84	одна из	2	3
85	но не	2	3
86	же время	3	3
87	в произведениях	2	3
88	к ней	4	3
89	как раз	3	3
90	один из	2	3
91	в целом	4	3
92	внимание на	2	3
93	то и	2	3
94	все эти	3	3
95	самом деле	2	3
96	и по	2	3
97	и для	4	3
98	и его	3	3
99	с этой	3	3
100	этом отношении	4	3
101	сказать что	4	3
102	между тем	6	3
103	действующих лиц	4	3
104	так сказать	2	3
105	можно назвать	4	2
106	должен был	2	2
107	одно из	2	2
108	а то	2	2
109	что у	2	2
110	из этих	6	2
111	но также	2	2
112	вовсе не	2	2
113	и здесь	3	2
114	в свою	2	2
115	на то	5	2
116	и т	8	2
117	в начале	4	2
118	тем более	3	2
119	и более	3	2
120	как о	2	2
121	отношения между	5	2
122	еще не	2	2
123	было бы	7	2
124	в самом	2	2
125	несмотря на	3	2
126	в центре	4	2
127	он может	2	2
128	подчеркнуть что	3	2
129	а с	2	2
130	у нас	4	2
131	в течение	4	2
132	и что	3	2
133	только что	2	2
134	с точки	4	2
135	не имеет	2	2
136	как на	6	2
137	той же	2	2
138	мы не	2	2
139	это был	2	2
140	в чем	4	2
141	но это	4	2
142	в результате	2	2
143	в ней	4	2
144	в виде	3	2
145	но он	3	2
146	в своих	8	2
147	т п	6	2
148	говорить о	3	2
149	во время	3	2
150	чтобы в	2	2
151	в каждой	2	2
152	потому что	5	2
153	в области	6	2
154	к которому	3	2
