N	2gram	Losev_Vlad_3	Tragedij
1	и в	40	18
2	в году	10	9
3	в этом	16	9
4	не только	25	8
5	он сам	2	7
6	и не	25	7
7	и на	6	7
8	и с	9	7
9	может быть	8	7
10	как бы	3	7
11	что он	5	6
12	и его	10	6
13	же время	2	6
14	у него	24	6
15	но в	4	6
16	все же	4	5
17	что это	9	5
18	так и	6	5
19	это не	3	5
20	не может	14	5
21	то же	4	5
22	в дальнейшем	4	5
23	как и	7	5
24	в то	7	5
25	несмотря на	7	5
26	но и	18	4
27	то что	28	4
28	в целом	2	4
29	что в	17	4
30	он всегда	2	4
31	я не	3	4
32	прежде всего	10	4
33	и все	4	4
34	в нем	3	4
35	и даже	6	4
36	так же	8	4
37	том что	18	4
38	но это	6	4
39	в этой	8	4
40	и что	8	4
41	в себе	9	4
42	еще не	4	4
43	об этом	6	4
44	уже в	3	3
45	отнюдь не	5	3
46	в своем	8	3
47	в конце	12	3
48	все эти	5	3
49	тем самым	2	3
50	жизнь и	3	3
51	и как	7	3
52	к нему	3	3
53	в основном	4	3
54	должно быть	5	3
55	в его	14	3
56	для него	8	3
57	при этом	3	3
58	мог бы	4	3
59	в мире	2	3
60	как это	4	3
61	то есть	24	3
62	еще в	5	2
63	не имеет	4	2
64	перед нами	3	2
65	не могут	2	2
66	не был	8	2
67	что и	7	2
68	только к	2	2
69	как говорит	2	2
70	она должна	2	2
71	раз и	8	2
72	и за	2	2
73	в отличие	3	2
74	данном случае	2	2
75	который в	2	2
76	то и	2	2
77	по мнению	4	2
78	что все	7	2
79	вопрос о	4	2
80	не просто	10	2
81	уже не	9	2
82	бы и	4	2
83	с его	2	2
84	к тому	7	2
85	не так	3	2
86	и здесь	6	2
87	ни в	10	2
88	он был	2	2
89	в том	18	2
90	до конца	4	2
91	друг друга	2	2
92	говорит о	4	2
93	отличие от	3	2
94	но все	3	2
95	так что	14	2
96	в таком	3	2
97	не в	3	2
98	что этот	3	2
99	тут же	5	2
100	точно так	4	2
101	году в	3	2
102	в данном	5	2
103	и то	9	2
104	потому что	11	2
105	с тем	7	2
106	тем что	5	2
107	в виде	13	2
108	в глаза	4	2
109	только о	3	2
110	еще раз	2	2
111	бросается в	2	2
112	в это	2	2
113	о том	11	2
114	его в	2	2
115	и это	6	2
116	в самом	4	2
117	не мог	6	2
118	ничего не	5	2
119	он не	8	2
120	в одном	5	2
121	что она	2	2
122	никогда не	11	2
