N	2gram	Kanaev_Sov_1	slovoVRo
1	и в	7	41
2	в нем	3	30
3	могут быть	2	19
4	и не	6	16
5	точки зрения	12	16
6	не только	4	16
7	а не	3	15
8	то же	3	14
9	может быть	12	14
10	не может	17	14
11	в его	2	13
12	как бы	4	12
13	в этом	7	12
14	или иной	2	9
15	таким образом	11	9
16	все эти	5	9
17	может не	3	8
18	прежде всего	5	8
19	на его	2	8
20	но в	3	8
21	как мы	2	8
22	с точки	5	8
23	не в	3	7
24	все же	3	7
25	во всяком	2	7
26	это не	4	6
27	при этом	3	6
28	и даже	2	6
29	а в	4	6
30	в самом	2	5
31	всяком случае	2	5
32	все это	3	5
33	своего предмета	2	5
34	и к	3	5
35	еще более	2	5
36	он в	3	5
37	так сказать	2	5
38	в каждом	8	4
39	с одной	2	4
40	и наконец	5	4
41	в которой	2	4
42	и все	3	4
43	как и	6	4
44	еще не	3	4
45	и потому	3	4
46	быть и	2	4
47	ничего не	6	4
48	не могут	2	3
49	точку зрения	4	3
50	из этих	2	3
51	в том	4	3
52	в свою	2	3
53	в зависимости	4	3
54	из них	4	3
55	в результате	6	3
56	в первом	3	3
57	так как	4	3
58	у него	2	3
59	и во	2	3
60	с этим	2	3
61	в себе	3	3
62	зависимости от	4	3
63	было бы	3	3
64	свою очередь	2	2
65	что все	2	2
66	для нас	3	2
67	на этом	2	2
68	друг с	2	2
69	такого рода	2	2
70	и по	2	2
71	в целом	4	2
72	уже не	2	2
73	у каждого	3	2
74	он может	3	2
75	между собой	3	2
76	в одном	3	2
77	из одного	2	2
78	в условиях	5	2
79	у нас	3	2
80	мы видим	2	2
81	одна из	3	2
82	а на	2	2
83	совершенно не	2	2
84	если мы	4	2
85	той же	2	2
86	роль в	2	2
87	мы не	9	2
88	в виде	2	2
89	с другом	2	2
