N	2gram	Savitsky_E_1	Tragedij
1	и в	37	18
2	в этом	12	9
3	не только	18	8
4	он сам	2	7
5	и не	14	7
6	и на	6	7
7	и с	2	7
8	может быть	6	7
9	как бы	6	7
10	же время	14	6
11	но в	14	6
12	что это	2	5
13	так и	10	5
14	не может	9	5
15	то же	15	5
16	как и	7	5
17	в то	16	5
18	несмотря на	4	5
19	но и	14	4
20	то что	6	4
21	что в	21	4
22	прежде всего	9	4
23	и все	2	4
24	и даже	6	4
25	так же	9	4
26	том что	6	4
27	в этой	2	4
28	и что	2	4
29	в себе	9	4
30	отнюдь не	9	3
31	в своем	14	3
32	как в	3	3
33	тем самым	5	3
34	и как	2	3
35	к нему	2	3
36	в его	2	3
37	как будто	2	3
38	мог бы	2	3
39	в мире	2	3
40	как это	4	3
41	то есть	6	3
42	не имеет	4	2
43	не могут	2	2
44	что и	3	2
45	на всем	4	2
46	только к	2	2
47	как же	2	2
48	в частности	5	2
49	данном случае	2	2
50	в известной	3	2
51	что все	2	2
52	вопрос о	4	2
53	бы и	3	2
54	к тому	8	2
55	столь же	5	2
56	в ее	8	2
57	в том	11	2
58	говорит о	3	2
59	в таком	3	2
60	не в	5	2
61	в данном	3	2
62	и то	2	2
63	потому что	3	2
64	с тем	3	2
65	тем что	3	2
66	в виде	5	2
67	о том	3	2
68	что эти	2	2
69	в самом	4	2
70	он не	2	2
71	в одном	2	2
72	никогда не	3	2
73	одном из	2	2
74	имеет в	2	2
