N	2gram	Losev_Vlad_3	Formalny
1	и не	25	30
2	вовсе не	13	28
3	и в	40	27
4	может быть	8	25
5	не может	14	24
6	так и	6	21
7	и его	10	19
8	таким образом	11	18
9	в этом	16	18
10	а не	8	17
11	точки зрения	13	16
12	в нем	3	15
13	то же	4	15
14	на самом	3	14
15	как и	7	14
16	с точки	6	14
17	не в	3	12
18	если бы	3	12
19	и от	6	11
20	в самом	4	11
21	в жизни	2	11
22	но и	18	10
23	не могут	2	10
24	так как	7	9
25	не только	25	9
26	так же	8	9
27	что в	17	8
28	ни в	10	8
29	при этом	3	8
30	как бы	3	8
31	отнюдь не	5	8
32	и все	4	8
33	то что	28	8
34	как раз	10	8
35	как мы	8	8
36	только в	13	8
37	не менее	9	7
38	в том	18	7
39	же время	2	7
40	потому что	11	7
41	в то	7	7
42	его в	2	7
43	с тем	7	7
44	совершенно не	2	7
45	в его	14	7
46	если мы	4	7
47	с другой	5	6
48	всяком случае	3	6
49	все эти	5	6
50	здесь и	2	6
51	в своих	7	6
52	бы в	2	6
53	но в	4	6
54	что он	5	6
55	еще не	4	6
56	было бы	4	6
57	все же	4	6
58	в своей	9	6
59	хотя бы	6	6
60	и для	3	6
61	в данном	5	6
62	во всяком	3	6
63	вместе с	7	6
64	независимо от	3	5
65	никогда не	11	5
66	в дальнейшем	4	5
67	совсем не	5	5
68	того чтобы	3	5
69	не является	2	5
70	друг друга	2	5
71	другой стороны	2	5
72	в ней	5	5
73	в результате	4	5
74	в истории	5	5
75	но не	4	5
76	и потому	10	5
77	что же	9	5
78	сводится к	3	5
79	тем что	5	5
80	связи с	2	5
81	уже в	3	4
82	то ни	3	4
83	прежде всего	10	4
84	в смысле	6	4
85	к тому	7	4
86	мы знаем	3	4
87	он был	2	4
88	да и	6	4
89	и как	7	4
90	до конца	4	4
91	для того	2	4
92	же и	2	4
93	мы видели	3	4
94	бы то	3	4
95	в целом	2	4
96	данном случае	2	4
97	со стороны	2	4
98	в связи	3	4
99	содержания и	2	4
100	о том	11	4
101	как это	4	4
102	по себе	6	4
103	не есть	10	4
104	том что	18	4
105	она не	2	4
106	только на	5	4
107	роль в	2	4
108	мы не	2	4
109	из этого	2	4
110	же как	3	3
111	бы и	4	3
112	что это	9	3
113	в этих	2	3
114	тому что	4	3
115	в какой	2	3
116	это не	3	3
117	в конце	12	3
118	является для	2	3
119	для нас	5	3
120	мы и	2	3
121	должна быть	2	3
122	того что	7	3
123	не о	2	3
124	в виду	3	3
125	мы мыслим	2	3
126	и тем	3	3
127	только то	2	3
128	этом отношении	2	3
129	и что	8	3
130	и на	6	3
131	никак не	4	3
132	сказать что	12	3
133	и с	9	3
134	к его	2	3
135	и более	2	3
136	раз и	8	3
137	у нас	5	3
138	того же	2	3
139	же самое	3	3
140	мы уже	5	3
141	еще в	5	3
142	оно не	3	3
143	ее в	3	3
144	а и	2	3
145	уже не	9	3
146	и эта	3	3
147	не на	2	3
148	жизнь и	3	3
149	то он	4	3
150	в себе	9	3
151	не нуждался	2	2
152	она должна	2	2
153	в сторону	2	2
154	в отношении	5	2
155	же деле	2	2
156	человека и	3	2
157	то по	2	2
158	но это	6	2
159	такой же	4	2
160	в этой	8	2
161	является не	3	2
162	смысле слова	6	2
163	не можем	2	2
164	с такой	2	2
165	в каких	2	2
166	но для	3	2
167	но если	5	2
168	в котором	4	2
169	был бы	3	2
170	учение о	24	2
171	из них	2	2
172	от того	4	2
173	что она	2	2
174	отличается от	3	2
175	в своем	8	2
176	и только	3	2
177	отношения к	5	2
178	можно только	2	2
179	ведь если	4	2
180	весь этот	3	2
181	и даже	6	2
182	в философии	3	2
183	знаем что	2	2
184	из этих	3	2
185	в россии	3	2
186	конце концов	5	2
187	это учение	5	2
188	с его	2	2
189	нисколько не	3	2
190	этом смысле	3	2
191	не как	2	2
192	к этому	2	2
193	стороны и	2	2
194	и притом	3	2
195	то в	6	2
196	самом же	2	2
197	что каждый	2	2
198	говорит в	3	2
199	мы должны	4	2
200	одной из	2	2
201	в сущности	2	2
202	за пределы	3	2
203	но оно	2	2
204	ни с	3	2
205	в основном	4	2
206	на почве	2	2
207	даже в	4	2
208	с таким	2	2
209	что и	7	2
210	тем не	10	2
211	но уже	2	2
212	как не	2	2
213	ровно ничего	2	2
214	который был	2	2
215	и речи	2	2
216	в отличие	3	2
217	в таком	3	2
218	что этот	3	2
219	если они	2	2
220	это значит	6	2
221	от этого	2	2
222	является в	2	2
223	в каком	4	2
224	и это	6	2
225	дело в	5	2
226	без всякой	2	2
227	здесь не	3	2
228	отличие от	3	2
229	ничего не	5	2
230	понимает как	2	2
