N	2gram	Trubetskoy_1	OGranits
1	и в	23	13
2	прежде всего	3	9
3	не может	17	8
4	и не	8	8
5	может быть	16	8
6	и их	5	7
7	точки зрения	13	7
8	в его	5	7
9	таким образом	31	6
10	не только	7	6
11	то что	18	6
12	только в	6	6
13	мы должны	4	6
14	как бы	10	6
15	все же	13	5
16	с точки	8	5
17	хотя бы	4	5
18	и т.д	4	5
19	и наконец	3	5
20	в процессе	2	5
21	то же	4	4
22	тех пор	2	4
23	до тех	2	4
24	все это	11	4
25	лишь в	5	4
26	мы можем	6	4
27	было бы	3	4
28	в сознании	6	4
29	но в	4	4
30	и уже	2	3
31	отношению к	9	3
32	что в	8	3
33	никогда не	4	3
34	но и	9	3
35	так и	10	3
36	что же	2	3
37	в их	4	3
38	по отношению	9	3
39	и все	7	3
40	точку зрения	2	3
41	самом деле	12	3
42	как и	9	3
43	не в	8	3
44	в которой	5	3
45	и то	4	3
46	ни один	3	3
47	в себе	5	3
48	говорить о	2	3
49	ничего общего	3	3
50	с этим	11	3
51	и для	6	3
52	общего с	2	3
53	так как	7	3
54	но для	2	3
55	не менее	7	2
56	для себя	2	2
57	с этой	3	2
58	в нем	3	2
59	в целом	5	2
60	данном случае	3	2
61	что эта	4	2
62	другой стороны	5	2
63	но так	2	2
64	с другой	6	2
65	в них	2	2
66	в связи	3	2
67	а в	3	2
68	с одной	3	2
69	в течение	4	2
70	все эти	19	2
71	вовсе не	2	2
72	те же	2	2
73	и истории	5	2
74	конечно в	2	2
75	в тех	3	2
76	к тому	8	2
77	и к	5	2
78	если бы	8	2
79	в общем	6	2
80	в том	30	2
81	так же	8	2
82	том что	19	2
83	с ними	2	2
84	в своих	2	2
85	в данном	3	2
86	что они	2	2
87	в этом	12	2
88	между тем	12	2
89	при этом	9	2
90	и ее	2	2
91	для него	2	2
92	в другом	2	2
93	во всем	3	2
94	тот же	3	2
95	одной стороны	2	2
96	и может	3	2
97	несмотря на	6	2
98	мы уже	4	2
99	в области	4	2
100	в самом	8	2
101	и при	6	2
102	имеет место	2	2
103	бы в	3	2
104	между собою	5	2
105	в ней	3	2
