N	2gram	Nazirov_Tv_2	RusskieA
1	и в	20	29
2	что в	7	22
3	том что	4	22
4	в том	8	22
5	как бы	11	18
6	может быть	8	13
7	так как	3	13
8	там же	9	12
9	как и	6	11
10	одна из	3	11
11	в этом	8	11
12	все это	6	10
13	в этот	2	10
14	и с	8	10
15	не только	13	10
16	о том	5	9
17	а в	4	9
18	во многих	2	9
19	и м	2	8
20	показывает что	4	8
21	но и	8	8
22	а а	4	8
23	его в	3	8
24	как в	4	7
25	мы не	4	6
26	еще не	5	6
27	вместе с	3	6
28	таким образом	10	6
29	при этом	8	6
30	и на	5	6
31	представление о	7	5
32	потому что	7	5
33	это не	7	5
34	к этому	3	5
35	то что	3	5
36	и что	2	5
37	но не	5	5
38	и т	13	5
39	к жизни	2	5
40	не может	7	5
41	т д	11	5
42	но в	4	5
43	именно в	6	4
44	а затем	3	4
45	уже не	3	4
46	так что	2	4
47	не в	4	4
48	из них	2	4
49	же как	3	4
50	том же	2	4
51	так же	5	4
52	то же	7	4
53	у нас	2	4
54	а не	6	4
55	в таком	3	4
56	в которых	3	4
57	их в	2	4
58	в виде	2	4
59	тем что	3	3
60	и других	2	3
61	и от	4	3
62	в xix	2	3
63	в году	16	3
64	в ее	2	3
65	в честь	2	3
66	а н	2	3
67	что она	4	3
68	но если	2	3
69	в котором	3	3
70	на землю	2	3
71	с другими	2	3
72	связь с	2	3
73	в свете	3	3
74	в отличие	2	3
75	и через	3	3
76	все эти	4	3
77	и по	2	3
78	друг друга	2	3
79	или даже	2	3
80	между тем	3	3
81	в этой	5	3
82	отличие от	2	3
83	не менее	2	2
84	начиная с	2	2
85	с этой	3	2
86	об этом	4	2
87	могут быть	2	2
88	никогда не	11	2
89	жизни в	3	2
90	с другой	2	2
91	в стороне	2	2
92	не столько	2	2
93	в образе	3	2
94	если он	5	2
95	прежде всего	8	2
96	чтобы вызвать	2	2
97	одним из	3	2
98	что на	2	2
99	из этого	2	2
100	один из	3	2
101	все же	5	2
102	в своей	6	2
103	в их	3	2
104	тогда как	3	2
105	и смеха	2	2
106	а с	3	2
107	не было	2	2
108	этот вопрос	3	2
109	так в	2	2
110	в своих	3	2
111	с другим	2	2
112	в руки	2	2
113	и ее	2	2
114	и еще	2	2
115	в то	10	2
116	характер в	2	2
117	в которой	2	2
