N	2gram	Voloshinov_1	Formalny
1	и в	16	38
2	в этом	9	27
3	может быть	17	23
4	и пр	12	21
5	и его	8	21
6	таким образом	9	20
7	и не	4	20
8	в самом	2	16
9	прежде всего	9	15
10	не может	8	14
11	в нем	4	13
12	но и	4	13
13	в пределах	2	12
14	с его	7	11
15	в том	3	11
16	в его	4	10
17	с помощью	2	10
18	с другими	3	10
19	и с	8	9
20	как и	2	9
21	при этом	6	9
22	не только	7	9
23	отнюдь не	4	8
24	что и	2	8
25	так и	4	8
26	самом деле	6	8
27	точки зрения	8	8
28	что в	3	7
29	не могут	2	7
30	для него	6	7
31	в своей	2	7
32	как мы	4	7
33	с точки	6	7
34	то что	3	6
35	и ее	4	6
36	в этой	4	6
37	было бы	2	6
38	вместе с	3	6
39	то же	2	6
40	все эти	5	6
41	могут быть	3	6
42	он не	2	6
43	только в	4	6
44	а в	3	6
45	хотя бы	4	6
46	в общем	3	5
47	что он	2	5
48	во всех	3	5
49	если мы	2	5
50	с этим	2	5
51	и только	9	5
52	и для	2	5
53	сводится к	2	5
54	в основе	3	5
55	говорить о	2	5
56	во всяком	3	5
57	всяком случае	3	5
58	оно не	2	4
59	и теперь	3	4
60	к этому	2	4
61	в большинстве	3	4
62	совершенно не	8	4
63	как бы	5	4
64	и к	6	4
65	за счет	2	4
66	что оно	2	4
67	пр и	3	4
68	что не	2	4
69	и наконец	4	4
70	и даже	4	4
71	они не	2	4
72	так как	4	4
73	но в	4	4
74	же как	2	3
75	и др	3	3
76	и может	4	3
77	из этих	2	3
78	мы знаем	3	3
79	и как	3	3
80	не есть	2	3
81	жизни и	3	3
82	и их	4	3
83	только на	3	3
84	все это	4	3
85	только и	2	3
86	на самом	4	3
87	большинстве случаев	3	3
88	мы не	2	3
89	и на	4	3
90	но ведь	2	3
91	и все	4	3
92	его в	4	3
93	что это	2	3
94	в области	3	3
95	самого начала	4	2
96	никогда не	2	2
97	в этих	3	2
98	для этого	2	2
99	с нею	2	2
100	между ними	3	2
101	и лишь	2	2
102	с самого	4	2
103	том что	3	2
104	но это	2	2
105	совсем не	2	2
106	но как	2	2
107	что на	2	2
108	на первый	2	2
109	едва ли	3	2
110	и о	2	2
111	на язык	3	2
112	к другим	2	2
113	один из	2	2
114	в развитии	2	2
115	этом смысле	3	2
116	не будет	2	2
117	отношение к	5	2
118	ни в	5	2
119	ее в	2	2
120	даже не	3	2
121	в систему	2	2
122	во всей	2	2
123	по аналогии	2	2
124	на этом	3	2
125	и других	2	2
126	находится в	2	2
127	и по	2	2
128	все остальные	2	2
129	с ними	4	2
130	их в	3	2
131	сказать что	7	2
132	и это	6	2
133	и этим	2	2
134	в чем	5	2
135	как это	3	2
136	с ним	2	2
