N	2gram	Bakhtin_Pr_1	Psycholo
1	то что	18	32
2	и в	23	31
3	в том	11	30
4	то есть	24	26
5	что в	8	23
6	может быть	21	22
7	таким образом	11	20
8	при этом	3	19
9	так как	7	18
10	не может	11	17
11	как и	8	16
12	том что	9	16
13	и не	34	16
14	точки зрения	21	15
15	только в	8	14
16	а не	20	13
17	не только	13	13
18	что и	5	13
19	так же	6	12
20	мы не	2	12
21	в этом	25	12
22	в самом	8	11
23	не в	6	11
24	в области	3	11
25	в сущности	5	10
26	того что	2	10
27	потому что	12	10
28	по себе	7	9
29	ни в	3	9
30	как в	6	9
31	самом деле	5	9
32	никогда не	5	8
33	вместе с	2	8
34	все это	7	8
35	во всяком	4	8
36	что он	10	7
37	есть в	3	7
38	и его	13	7
39	заключается в	2	7
40	того чтобы	4	7
41	тому как	3	7
42	сказать что	5	7
43	о том	2	7
44	вовсе не	8	6
45	зависимости от	3	6
46	художественного творчества	2	6
47	до конца	5	6
48	было бы	6	6
49	если бы	10	6
50	из этих	2	6
51	всяком случае	3	6
52	а в	7	6
53	что она	2	6
54	для того	2	6
55	и даже	3	6
56	в его	24	6
57	художественной формы	5	5
58	и есть	5	5
59	само по	2	5
60	и все	3	5
61	все же	5	5
62	мы видим	3	5
63	то время	2	5
64	для нас	3	5
65	она не	5	5
66	несмотря на	6	5
67	как бы	28	5
68	был бы	5	5
69	в зависимости	3	5
70	в целом	4	5
71	в процессе	4	5
72	другой стороны	2	5
73	и для	3	5
74	то же	10	5
75	с другой	2	5
76	подобно тому	3	5
77	в то	10	5
78	как будто	3	5
79	в которой	4	4
80	в котором	2	4
81	и другие	2	4
82	прежде всего	7	4
83	тому что	2	4
84	в себе	5	4
85	отличие от	2	4
86	по существу	4	4
87	одна из	2	4
88	у него	6	4
89	и о	3	4
90	никак не	2	4
91	точка зрения	7	4
92	один из	2	4
93	в этих	2	4
94	со стороны	2	4
95	к этому	2	4
96	в совершенно	2	4
97	и у	4	4
98	в своих	2	4
99	совпадает с	2	4
100	в результате	4	4
101	в искусстве	2	4
102	этого слова	2	4
103	там где	6	4
104	между тем	5	4
105	уже в	5	3
106	не могут	6	3
107	как на	2	3
108	в своем	8	3
109	точку зрения	4	3
110	только при	2	3
111	точно так	2	3
112	что все	3	3
113	в каждом	8	3
114	должна быть	2	3
115	вопрос о	4	3
116	а потому	2	3
117	и к	4	3
118	точек зрения	3	3
119	это и	9	3
120	но это	5	3
121	но не	8	3
122	все что	3	3
123	из его	3	3
124	до сих	2	3
125	из которых	2	3
126	например в	3	3
127	в этой	4	3
128	он не	4	3
129	сих пор	2	3
130	жизни и	6	3
131	в своей	11	3
132	так и	10	3
133	и другими	4	3
134	в отличие	2	3
135	с теорией	2	3
136	не было	3	3
137	и других	5	3
138	от того	2	3
139	и вот	2	3
140	и по	2	3
141	той же	6	3
142	роль в	2	3
143	в которых	2	3
144	в одной	4	3
145	все то	4	3
146	в конце	5	3
147	и это	5	3
148	в художественном	2	3
149	конце концов	4	3
150	мысли в	2	3
151	но в	4	3
152	в музыке	4	2
153	в основе	5	2
154	на вопрос	2	2
155	в книге	3	2
156	этом смысле	9	2
157	в другой	3	2
158	по этому	2	2
159	и как	8	2
160	в них	3	2
161	и во	2	2
162	в жизни	6	2
163	это в	2	2
164	с ним	6	2
165	и здесь	3	2
166	есть не	2	2
167	уже не	8	2
168	и потому	3	2
169	должна была	4	2
170	себя и	2	2
171	не дает	3	2
172	никак нельзя	2	2
173	в прошлое	2	2
174	тот же	2	2
175	него в	2	2
176	и их	2	2
177	даже в	2	2
178	наконец в	2	2
179	и тем	2	2
180	в нем	20	2
181	из них	2	2
182	зрения на	8	2
183	но и	11	2
184	мысли и	2	2
185	приводит к	3	2
186	как мы	5	2
187	отличается от	2	2
188	как раз	4	2
189	то и	2	2
190	этом отношении	5	2
191	на самом	4	2
192	в себя	3	2
193	идет о	3	2
194	именно и	2	2
195	к нему	3	2
196	с точки	15	2
197	что для	2	2
198	вот что	2	2
199	ничего не	6	2
200	их в	2	2
201	и с	4	2
202	как например	2	2
203	бы и	4	2
204	но как	3	2
205	в сознании	2	2
206	бы в	3	2
207	если же	2	2
208	его в	4	2
209	как он	2	2
210	материал его	2	2
211	только то	3	2
212	одном из	2	2
213	в одном	9	2
214	или как	5	2
