N	2gram	Nazirov_Tr_1	FransuaR
1	и в	18	65
2	то есть	3	45
3	как бы	7	22
4	и не	7	22
5	в том	2	16
6	в этом	9	15
7	но в	6	14
8	в нем	4	13
9	прежде всего	4	11
10	и на	7	11
11	и его	6	10
12	не только	8	10
13	но и	4	10
14	так и	5	10
15	все эти	3	10
16	в его	3	9
17	все это	4	9
18	в своем	3	8
19	в дальнейшем	5	8
20	и даже	4	8
21	его в	2	7
22	никогда не	2	6
23	том что	4	6
24	все же	5	6
25	еще не	4	6
26	при этом	3	6
27	может быть	7	6
28	в году	9	6
29	с его	2	5
30	в одном	2	5
31	в частности	2	5
32	потому что	2	5
33	отличие от	2	5
34	для него	3	5
35	как в	3	5
36	как и	5	5
37	и все	4	5
38	это уже	2	4
39	не в	2	4
40	в этой	4	4
41	отношение к	2	4
42	в самом	2	4
43	и до	2	4
44	в отличие	2	4
45	не могут	2	3
46	что в	4	3
47	это не	5	3
48	не просто	2	3
49	что он	6	3
50	в ее	2	3
51	но все	2	3
52	но это	4	3
53	к нему	3	3
54	то что	4	3
55	не может	5	3
56	в известной	2	3
57	уже не	2	3
58	друг друга	2	3
59	он и	2	3
60	в себе	4	3
61	и здесь	2	3
62	с ним	3	3
63	ничего не	2	3
64	и с	7	3
65	к тому	2	2
66	раз и	2	2
67	но при	2	2
68	он был	2	2
69	в романе	10	2
70	до конца	2	2
71	в это	2	2
72	и он	3	2
73	несмотря на	5	2
74	он не	2	2
75	в основном	3	2
76	в целом	4	2
77	от всего	2	2
78	к жизни	5	2
79	но эта	2	2
80	в таком	2	2
81	еще раз	2	2
82	о том	2	2
83	и это	2	2
84	это очень	5	2
