N	3gram	Voloshinov_1	Marksizm
1	с точки зрения	5	20
2	не может быть	2	13
3	в связи с	2	7
4	с самого начала	4	4
5	то же самое	4	3
6	связи с этим	2	3
7	в то же	9	3
8	то же время	7	3
9	можно сказать что	2	3
10	в конце концов	3	3
11	социального общения и	3	3
12	в этом отношении	2	3
13	в этом случае	3	3
14	но все же	2	3
15	для того чтобы	7	3
16	речевого общения в	2	2
17	не становится знаком	2	2
18	смысле этого слова	2	2
19	и той же	2	2
20	или хотя бы	2	2
21	может быть понято	2	2
22	в свою очередь	4	2
23	но при этом	2	2
24	при этом конечно	2	2
25	но в то	2	2
26	внутренней речи и	2	2
27	одной и той	2	2
