N	2gram	Potebnia_M_4	Istorich
1	и в	23	26
2	так как	14	18
3	мы имеем	4	14
4	никогда не	3	13
5	потому что	33	13
6	что в	17	12
7	таким образом	24	12
8	в том	23	12
9	и на	3	12
10	в этом	23	12
11	может быть	26	11
12	с другой	2	10
13	в образе	2	10
14	том что	12	10
15	и т	7	10
16	и не	18	10
17	не только	10	10
18	что он	4	9
19	еще не	3	9
20	но и	11	9
21	а именно	4	9
22	в нем	7	8
23	на том	2	8
24	вместе с	6	8
25	т д	3	8
26	все эти	3	8
27	и это	2	8
28	с ним	5	8
29	превращается в	2	7
30	уже не	3	7
31	мы можем	10	7
32	например в	3	7
33	и его	2	7
34	о том	8	7
35	но в	8	7
36	этом случае	5	6
37	то что	29	6
38	мы уже	3	6
39	как в	7	6
40	так в	3	6
41	не может	11	6
42	в виде	2	6
43	эта связь	2	6
44	в более	2	6
45	и с	4	6
46	мы не	8	6
47	же мы	2	5
48	у нас	2	5
49	как и	14	5
50	мы видим	2	5
51	в ней	2	5
52	в его	5	5
53	то это	8	5
54	не будет	3	5
55	так и	6	5
56	то же	14	5
57	и что	7	5
58	тем что	10	5
59	в то	4	5
60	только в	15	5
61	его в	4	5
62	там где	3	5
63	есть и	2	4
64	с тем	7	4
65	что между	3	4
66	это не	7	4
67	из этих	2	4
68	не всегда	3	4
69	здесь мы	2	4
70	но это	3	4
71	до сих	4	4
72	все что	2	4
73	не имели	2	4
74	в это	2	4
75	на его	3	4
76	как бы	5	4
77	и тем	4	4
78	что и	7	4
79	сих пор	4	4
80	как мы	2	4
81	и по	3	4
82	в других	2	4
83	себе в	3	4
84	ее не	3	3
85	при помощи	3	3
86	независимо от	6	3
87	если бы	13	3
88	могут быть	7	3
89	в них	3	3
90	на котором	4	3
91	в одном	4	3
92	вопрос о	2	3
93	таким же	5	3
94	так что	5	3
95	не в	11	3
96	от него	2	3
97	кроме того	3	3
98	она не	2	3
99	но есть	4	3
100	от того	4	3
101	один из	2	3
102	другими словами	8	3
103	во сне	2	3
104	из этого	2	3
105	данном случае	2	3
106	что она	2	3
107	со стороны	3	3
108	а в	5	3
109	при этом	15	3
110	и других	3	3
111	там же	3	3
112	из которых	2	3
113	но так	2	3
114	в своих	2	3
115	в данном	4	3
116	и то	5	3
117	их в	3	3
118	сказать что	8	3
119	и только	3	3
120	в себе	14	3
121	не было	12	3
122	предположить что	4	3
123	того как	6	3
124	может иметь	2	2
125	и как	2	2
126	в этих	3	2
127	в своем	8	2
128	что у	3	2
129	с этим	7	2
130	вовсе не	7	2
131	на то	7	2
132	можно сказать	4	2
133	к тому	3	2
134	для нас	14	2
135	что иное	2	2
136	на той	2	2
137	по отношению	10	2
138	так же	4	2
139	и хотя	3	2
140	после того	2	2
141	что мы	10	2
142	в греческом	2	2
143	было бы	8	2
144	не так	2	2
145	никто не	2	2
146	всяком случае	3	2
147	и др	2	2
148	даже в	2	2
149	что эти	3	2
150	но мы	2	2
151	не есть	9	2
152	нам кажется	2	2
153	отношению к	8	2
154	не имеет	5	2
155	и до	3	2
156	тела и	2	2
157	что же	5	2
158	то и	4	2
159	точно так	2	2
160	тогда как	4	2
161	он не	2	2
162	только что	3	2
163	и они	2	2
164	человека в	2	2
165	представления и	3	2
166	именно на	2	2
167	и другое	2	2
168	тем самым	4	2
169	а не	12	2
170	того что	14	2
171	что не	6	2
172	должны быть	3	2
173	такое количество	2	2
174	известно что	6	2
175	пока не	2	2
176	можно было	2	2
177	тех которые	2	2
178	с ними	3	2
179	во всяком	5	2
180	в которых	3	2
181	видно что	4	2
182	ту же	3	2
183	мы должны	2	2
184	что это	7	2
185	когда мы	6	2
186	то он	2	2
187	из него	2	2
188	представления в	4	2
189	не вполне	2	2
