N	2gram	Tiupa_Narr_2	EvropaiC
1	таким образом	5	32
2	в том	14	31
3	и в	13	24
4	том что	13	20
5	все эти	3	19
6	не может	8	18
7	то что	8	17
8	может быть	10	15
9	все же	6	15
10	точки зрения	5	13
11	в своем	6	12
12	самом деле	3	12
13	в этом	13	12
14	между тем	3	11
15	отношению к	5	10
16	как бы	6	10
17	по отношению	5	10
18	все что	4	10
19	так и	9	10
20	на то	2	9
21	при этом	14	9
22	в результате	2	9
23	как и	4	9
24	что в	4	9
25	не в	8	8
26	в самом	2	8
27	так же	2	8
28	если бы	4	8
29	и все	4	8
30	с точки	2	8
31	не менее	4	7
32	к тому	9	7
33	но и	15	7
34	и не	14	7
35	и что	2	7
36	из этих	2	7
37	по своей	3	7
38	о котором	3	7
39	о том	5	7
40	что он	5	7
41	в силу	4	7
42	на самом	2	7
43	того чтобы	3	7
44	должна быть	2	6
45	с другой	5	6
46	в этой	4	6
47	несмотря на	2	6
48	того что	6	6
49	как на	2	6
50	с ним	4	6
51	в сознании	2	6
52	еще не	2	6
53	что и	2	6
54	тогда как	15	6
55	в мире	4	6
56	только в	11	6
57	именно в	2	5
58	что это	4	5
59	столь же	2	5
60	тому же	4	5
61	у него	6	5
62	что с	2	5
63	в целом	3	5
64	как к	3	5
65	потому что	2	5
66	но в	6	5
67	и к	6	5
68	в то	5	5
69	по своему	2	5
70	в его	6	5
71	не только	26	5
72	не будет	2	5
73	и для	3	5
74	в себе	8	5
75	далеко не	5	5
76	никогда не	6	4
77	в конце	4	4
78	тем не	5	4
79	хотя и	5	4
80	между собой	3	4
81	иначе говоря	7	4
82	он не	5	4
83	то же	4	4
84	а с	2	4
85	в течение	2	4
86	и у	4	4
87	хотя бы	2	4
88	в таком	3	4
89	в виде	2	4
90	и т.д	4	4
91	в области	2	4
92	же как	2	3
93	с одной	5	3
94	в нашем	2	3
95	для нас	2	3
96	как у	4	3
97	не вполне	2	3
98	в нем	5	3
99	данном случае	6	3
100	и по	3	3
101	а в	9	3
102	это не	3	3
103	в начале	2	3
104	бы в	2	3
105	можно назвать	2	3
106	прежде всего	6	3
107	в жизни	6	3
108	и того	3	3
109	у нас	2	3
110	только что	2	3
111	может служить	2	3
112	или иначе	2	3
113	в данном	10	3
114	тем более	2	3
115	отличие от	5	3
116	в частности	11	2
117	двух или	2	2
118	тому что	3	2
119	точку зрения	3	2
120	что у	2	2
121	о них	2	2
122	с этой	3	2
123	вследствие этого	2	2
124	сводится к	9	2
125	для него	4	2
126	что они	3	2
127	же время	3	2
128	в свою	2	2
129	одной стороны	5	2
130	и сам	3	2
131	ни для	2	2
132	но для	2	2
133	в ней	2	2
134	в котором	5	2
135	и уже	4	2
136	по его	2	2
137	на том	3	2
138	что она	2	2
139	то и	3	2
140	имеет место	2	2
141	и состоит	2	2
142	те же	2	2
143	они не	2	2
144	в глазах	4	2
145	с ними	3	2
146	не следует	3	2
147	одно из	2	2
148	говорить о	2	2
149	все то	2	2
150	то есть	9	2
151	и более	2	2
152	только не	2	2
153	отнюдь не	4	2
154	давно уже	2	2
155	представить себе	3	2
156	вовсе не	2	2
157	со своими	2	2
158	а к	3	2
159	одна из	3	2
160	но не	3	2
161	было бы	2	2
162	со своей	2	2
163	жизни и	4	2
164	в процессе	2	2
165	на него	5	2
166	в себя	4	2
167	о которой	3	2
168	тем самым	5	2
169	в другом	4	2
170	все его	4	2
